Date,Time,Price,Volume,Type
2021-04-07,13:00:14,15.1,200,B
2021-04-07,13:00:14,15.1,200,B
2021-04-07,11:18:47,15.1,5700,S
2021-04-07,11:18:47,15.05,5100,S
2021-04-07,11:18:47,15.05,200,S
2021-04-07,11:18:47,15.05,1900,S
2021-04-07,11:18:47,15.05,1000,S
2021-04-07,11:18:47,15.05,6100,S
2021-04-07,11:18:47,15.1,5700,S
2021-04-07,11:18:47,15.05,5100,S
2021-04-07,11:18:47,15.05,200,S
2021-04-07,11:18:47,15.05,1900,S
2021-04-07,11:18:47,15.05,1000,S
2021-04-07,11:18:47,15.05,6100,S
2021-04-07,11:18:34,15.1,100,S
2021-04-07,11:18:21,15.15,7400,B
2021-04-07,11:18:08,15.1,5100,B
2021-04-07,11:18:08,15.1,5100,B
2021-04-07,11:18:07,15.1,2000,S
2021-04-07,11:17:44,15.1,100,B
2021-04-07,11:17:44,15.1,1000,B
2021-04-07,11:17:44,15.1,2000,B
2021-04-07,11:17:21,15.1,300,B
2021-04-07,11:17:10,15.1,300,S
2021-04-07,11:17:10,15.1,300,S
2021-04-07,11:17:10,15.1,300,S
2021-04-07,11:17:10,15.1,300,S
2021-04-07,11:17:00,15.15,3600,B
2021-04-07,11:17:00,15.15,1400,B
2021-04-07,11:17:00,15.15,3600,B
2021-04-07,11:17:00,15.15,1400,B
2021-04-07,11:16:40,15.1,4700,B
2021-04-07,11:16:40,15.1,4700,B
2021-04-07,11:16:40,15.1,4700,B
2021-04-07,11:16:33,15.1,300,S
2021-04-07,11:16:22,15.15,3000,B
2021-04-07,11:16:22,15.15,3000,B
2021-04-07,11:16:22,15.15,3000,B
2021-04-07,11:16:10,15.1,400,S
2021-04-07,11:16:10,15.1,4000,S
2021-04-07,11:16:10,15.1,1500,S
2021-04-07,11:16:10,15.1,100,S
2021-04-07,11:16:10,15.1,4000,S
2021-04-07,11:16:10,15.1,500,S
2021-04-07,11:16:10,15.1,1500,S
2021-04-07,11:16:10,15.1,100,S
2021-04-07,11:16:10,15.1,100,S
2021-04-07,11:16:10,15.1,3000,S
2021-04-07,11:16:10,15.1,600,S
2021-04-07,11:16:10,15.1,200,S
2021-04-07,11:15:58,15.15,14300,B
