Date,Time,Price,Volume,Type
2021-04-07,11:29:35,23.5,6000,S
2021-04-07,11:29:35,23.5,6000,S
2021-04-07,11:26:38,23.5,100,S
2021-04-07,11:23:29,23.5,100,S
2021-04-07,11:18:58,23.5,200,S
2021-04-07,11:18:47,23.5,100,S
2021-04-07,11:18:36,23.5,1000,S
2021-04-07,11:18:36,23.5,1000,S
2021-04-07,11:18:34,23.5,700,S
2021-04-07,11:18:34,23.5,100,S
2021-04-07,11:17:45,23.5,200,S
2021-04-07,11:17:32,23.5,500,S
2021-04-07,11:16:42,23.5,1000,S
2021-04-07,11:16:42,23.5,1000,S
2021-04-07,11:16:42,23.5,1000,S
2021-04-07,11:16:42,23.5,1000,S
2021-04-07,11:16:39,23.5,1000,S
2021-04-07,11:16:39,23.5,1000,S
2021-04-07,11:16:39,23.5,1000,S
2021-04-07,11:16:39,23.5,1000,S
2021-04-07,11:14:50,23.5,300,S
2021-04-07,11:13:59,23.5,100,S
2021-04-07,11:13:34,23.5,100,S
2021-04-07,11:13:34,23.5,100,S
2021-04-07,11:13:34,23.5,100,S
2021-04-07,11:13:16,23.5,3000,S
2021-04-07,11:13:16,23.5,3000,S
2021-04-07,11:13:16,23.5,3000,S
2021-04-07,11:13:16,23.5,3000,S
2021-04-07,11:13:02,23.5,200,S
2021-04-07,11:13:02,23.5,200,S
2021-04-07,11:12:56,23.5,2400,S
2021-04-07,11:12:56,23.5,2200,S
2021-04-07,11:12:56,23.5,400,S
2021-04-07,11:12:56,23.5,200,S
2021-04-07,11:12:56,23.5,100,S
2021-04-07,11:12:56,23.5,2400,S
2021-04-07,11:12:56,23.5,2200,S
2021-04-07,11:12:56,23.5,400,S
2021-04-07,11:12:35,23.5,100,S
2021-04-07,11:12:02,23.5,1000,S
2021-04-07,11:12:02,23.5,1000,S
2021-04-07,11:11:58,23.5,1000,S
2021-04-07,11:11:58,23.5,1000,S
2021-04-07,11:11:45,23.5,200,S
2021-04-07,11:11:45,23.5,200,S
2021-04-07,11:11:42,23.5,200,S
2021-04-07,11:11:30,23.5,3000,S
2021-04-07,11:11:07,23.5,700,S
2021-04-07,11:11:07,23.5,4300,S
2021-04-07,11:11:07,23.5,700,S
