Date,Time,Price,Volume,Type
2021-04-07,11:19:29,87.0,700,B
2021-04-07,11:19:04,87.0,200,B
2021-04-07,11:18:58,87.0,100,B
2021-04-07,11:18:58,87.0,100,B
2021-04-07,11:18:47,87.0,100,B
2021-04-07,11:18:07,87.1,200,S
2021-04-07,11:18:07,87.1,100,S
2021-04-07,11:18:07,87.0,500,S
2021-04-07,11:15:00,87.7,1000,B
2021-04-07,11:14:10,87.7,200,B
2021-04-07,11:14:10,87.7,300,B
2021-04-07,11:14:10,87.7,200,B
2021-04-07,11:14:10,87.7,300,B
2021-04-07,11:11:44,87.0,4500,B
2021-04-07,11:11:44,87.7,1500,B
2021-04-07,11:11:44,88.0,1000,B
2021-04-07,11:11:44,88.0,400,B
2021-04-07,11:11:44,88.0,1000,B
2021-04-07,11:11:44,88.0,400,B
2021-04-07,11:11:44,87.0,4500,B
2021-04-07,11:11:44,87.7,1500,B
2021-04-07,11:11:44,88.0,1000,B
2021-04-07,11:11:44,88.0,400,B
2021-04-07,11:11:44,88.0,1000,B
2021-04-07,11:11:44,88.0,400,B
2021-04-07,11:11:19,87.0,500,B
2021-04-07,11:10:30,87.0,4600,B
2021-04-07,11:10:30,87.0,100,B
2021-04-07,11:10:30,87.0,500,B
2021-04-07,11:10:30,87.0,100,B
2021-04-07,11:10:30,87.0,100,B
2021-04-07,11:10:30,87.0,100,B
2021-04-07,11:10:30,87.0,5000,B
2021-04-07,11:10:30,87.0,1000,B
2021-04-07,11:10:30,87.0,100,B
2021-04-07,11:10:30,87.0,100,B
2021-04-07,11:10:30,87.1,200,B
2021-04-07,11:10:30,87.4,200,B
2021-04-07,11:10:30,87.5,500,B
2021-04-07,11:10:30,87.7,3500,B
2021-04-07,11:10:20,87.0,4500,B
2021-04-07,11:10:20,87.0,4500,B
2021-04-07,11:09:45,87.0,400,B
2021-04-07,11:07:38,87.0,100,B
2021-04-07,11:07:38,87.0,300,B
2021-04-07,11:07:38,87.0,500,B
2021-04-07,11:06:11,87.0,100,B
2021-04-07,11:06:11,87.0,900,B
2021-04-07,11:04:42,86.8,2100,B
2021-04-07,11:04:42,86.9,100,B
2021-04-07,11:04:42,86.9,1000,B
