Date,Time,Price,Volume,Type
2021-04-07,13:01:20,14.05,1000,S
2021-04-07,13:01:20,14.05,1500,S
2021-04-07,11:18:58,14.05,2000,B
2021-04-07,11:18:36,14.05,200,S
2021-04-07,11:18:36,14.05,2800,S
2021-04-07,11:18:36,14.05,200,S
2021-04-07,11:18:36,14.05,2800,S
2021-04-07,11:18:36,14.05,200,S
2021-04-07,11:18:36,14.05,2800,S
2021-04-07,11:18:36,14.05,200,S
2021-04-07,11:18:36,14.05,2800,S
2021-04-07,11:18:36,14.05,200,S
2021-04-07,11:18:36,14.05,2800,S
2021-04-07,11:17:33,14.05,800,B
2021-04-07,11:17:32,14.0,900,S
2021-04-07,11:17:32,14.0,1000,S
2021-04-07,11:17:32,14.0,500,S
2021-04-07,11:17:32,14.0,2600,S
2021-04-07,11:17:10,14.05,1000,B
2021-04-07,11:17:10,14.05,700,B
2021-04-07,11:17:10,14.05,4600,B
2021-04-07,11:17:10,14.05,100,B
2021-04-07,11:17:10,14.05,100,B
2021-04-07,11:17:10,14.05,1200,B
2021-04-07,11:17:10,14.05,1000,B
2021-04-07,11:17:10,14.05,700,B
2021-04-07,11:17:10,14.05,4600,B
2021-04-07,11:17:10,14.05,100,B
2021-04-07,11:17:10,14.05,100,B
2021-04-07,11:17:10,14.05,1200,B
2021-04-07,11:17:00,14.0,100,S
2021-04-07,11:17:00,14.0,100,S
2021-04-07,11:16:12,14.0,100,S
2021-04-07,11:16:12,14.0,100,S
2021-04-07,11:16:12,14.0,2000,S
2021-04-07,11:16:12,14.0,2000,S
2021-04-07,11:16:12,14.0,3000,S
2021-04-07,11:16:12,14.0,1000,S
2021-04-07,11:16:12,14.0,1000,S
2021-04-07,11:16:12,14.0,400,S
2021-04-07,11:16:12,14.0,3700,S
2021-04-07,11:16:12,14.0,200,S
2021-04-07,11:16:12,14.0,300,S
2021-04-07,11:16:12,14.0,500,S
2021-04-07,11:16:12,14.0,500,S
2021-04-07,11:16:12,14.0,200,S
2021-04-07,11:16:12,14.0,2000,S
2021-04-07,11:16:12,14.0,3000,S
2021-04-07,11:16:10,14.05,5000,B
2021-04-07,11:16:10,14.05,500,B
2021-04-07,11:15:46,14.05,500,B
