Date,Time,Price,Volume,Type
2021-04-07,13:03:08,8.0,500,B
2021-04-07,13:03:08,8.0,500,B
2021-04-07,13:01:20,8.0,400,B
2021-04-07,13:00:14,8.0,200,B
2021-04-07,11:30:25,8.0,1000,B
2021-04-07,11:30:25,8.0,1000,B
2021-04-07,11:30:25,8.0,500,B
2021-04-07,11:30:25,8.0,500,B
2021-04-07,11:30:25,8.0,600,B
2021-04-07,11:30:25,8.0,3400,B
2021-04-07,11:30:25,8.0,1000,B
2021-04-07,11:30:25,8.0,1000,B
2021-04-07,11:30:25,8.0,500,B
2021-04-07,11:30:25,8.0,500,B
2021-04-07,11:30:25,8.0,600,B
2021-04-07,11:30:25,8.0,3400,B
2021-04-07,11:30:25,8.0,1000,B
2021-04-07,11:30:25,8.0,1000,B
2021-04-07,11:30:25,8.0,500,B
2021-04-07,11:30:25,8.0,500,B
2021-04-07,11:30:25,8.0,600,B
2021-04-07,11:30:25,8.0,3400,B
2021-04-07,11:29:15,8.0,800,B
2021-04-07,11:29:15,8.0,1000,B
2021-04-07,11:29:15,8.0,800,B
2021-04-07,11:28:54,7.9,200,S
2021-04-07,11:28:54,7.9,200,S
2021-04-07,11:28:54,7.9,200,S
2021-04-07,11:28:15,7.99,15300,B
2021-04-07,11:28:15,8.0,700,B
2021-04-07,11:28:15,7.99,15300,B
2021-04-07,11:28:15,8.0,700,B
2021-04-07,11:23:57,7.9,4100,B
2021-04-07,11:23:57,7.95,1200,B
2021-04-07,11:23:57,7.99,4700,B
2021-04-07,11:23:57,7.85,10000,B
2021-04-07,11:23:57,7.9,4100,B
2021-04-07,11:23:57,7.95,1200,B
2021-04-07,11:23:57,7.99,4700,B
2021-04-07,11:23:06,7.78,300,S
2021-04-07,11:23:06,7.75,30000,S
2021-04-07,11:23:06,7.75,100,S
2021-04-07,11:23:06,7.75,8500,S
2021-04-07,11:23:05,7.8,2600,S
2021-04-07,11:23:05,7.78,10000,S
2021-04-07,11:23:05,7.78,20000,S
2021-04-07,11:22:31,7.8,4000,S
2021-04-07,11:22:31,7.8,2000,S
2021-04-07,11:22:31,7.8,100,S
2021-04-07,11:22:31,7.8,200,S
2021-04-07,11:22:31,7.8,11000,S
