Date,Time,Price,Volume,Type
2021-04-07,13:00:29,22.8,100,B
2021-04-07,13:00:12,22.8,300,B
2021-04-07,11:24:31,22.7,1400,S
2021-04-07,11:22:43,22.7,2000,B
2021-04-07,11:19:34,22.6,300,B
2021-04-07,11:18:55,22.6,4800,S
2021-04-07,11:18:26,22.7,200,S
2021-04-07,11:15:11,22.7,2800,B
2021-04-07,11:14:47,22.7,2500,B
2021-04-07,11:14:46,22.7,200,B
2021-04-07,11:12:55,22.7,100,B
2021-04-07,11:12:29,22.7,100,B
2021-04-07,11:10:42,22.7,500,B
2021-04-07,11:08:35,22.7,100,B
2021-04-07,11:03:10,22.7,100,B
2021-04-07,11:00:27,22.7,3600,S
2021-04-07,10:59:24,22.7,1500,S
2021-04-07,10:58:41,22.7,400,B
2021-04-07,10:58:20,22.7,600,S
2021-04-07,10:53:58,22.7,800,S
2021-04-07,10:46:56,22.8,4200,S
2021-04-07,10:37:51,22.9,500,B
2021-04-07,10:33:28,22.9,1700,B
2021-04-07,10:33:24,22.8,100,S
2021-04-07,10:32:19,22.8,800,S
2021-04-07,10:30:43,22.8,2000,S
2021-04-07,10:26:27,22.8,3900,B
2021-04-07,10:26:10,22.8,6100,S
2021-04-07,10:25:20,22.8,3900,B
2021-04-07,10:25:01,22.8,100,S
2021-04-07,10:24:45,22.8,10000,S
2021-04-07,10:19:37,22.6,2000,S
2021-04-07,10:12:48,22.6,800,S
2021-04-07,10:07:28,22.7,100,B
2021-04-07,10:04:57,22.7,100,S
2021-04-07,10:00:59,22.7,900,B
2021-04-07,10:00:11,22.7,500,B
2021-04-07,09:59:20,22.6,1000,S
2021-04-07,09:56:27,22.7,500,B
2021-04-07,09:55:08,22.7,200,B
2021-04-07,09:52:30,22.7,1000,B
2021-04-07,09:51:28,22.7,200,B
2021-04-07,09:44:52,22.7,1100,S
2021-04-07,09:40:05,22.7,1400,S
2021-04-07,09:36:40,22.7,1400,S
2021-04-07,09:28:41,22.7,2000,S
2021-04-07,09:28:27,22.7,1000,S
2021-04-07,09:25:45,22.7,200,B
2021-04-07,09:25:34,22.7,200,S
2021-04-07,09:19:08,22.7,3000,S
2021-04-07,09:15:08,22.9,1000,B
