Date,Time,Price,Volume,Type
2021-04-07,13:01:26,45.4,1000,B
2021-04-07,11:26:43,45.3,100,S
2021-04-07,11:25:49,45.3,500,S
2021-04-07,11:25:17,45.3,900,S
2021-04-07,11:23:05,45.3,800,S
2021-04-07,11:02:47,45.4,500,B
2021-04-07,10:52:51,45.4,600,B
2021-04-07,10:51:05,45.4,700,B
2021-04-07,10:50:41,45.3,1000,S
2021-04-07,10:50:20,45.3,1000,S
2021-04-07,10:39:32,45.4,3000,B
2021-04-07,10:32:35,45.4,100,B
2021-04-07,10:31:44,45.4,2000,B
2021-04-07,10:28:09,45.3,600,B
2021-04-07,10:21:30,45.3,2500,B
2021-04-07,10:10:27,45.1,500,S
2021-04-07,10:08:33,45.2,1500,B
2021-04-07,10:01:55,45.2,1500,S
2021-04-07,10:01:53,45.2,100,S
2021-04-07,10:00:54,45.2,1000,B
2021-04-07,09:55:20,45.2,1500,S
2021-04-07,09:48:41,45.2,5000,S
2021-04-07,09:47:39,45.3,200,B
2021-04-07,09:45:06,45.3,1700,S
2021-04-07,09:44:38,45.4,200,B
2021-04-07,09:41:44,45.3,300,B
2021-04-07,09:41:35,45.3,700,S
2021-04-07,09:41:29,45.3,300,B
2021-04-07,09:41:13,45.3,1200,S
2021-04-07,09:39:42,45.3,100,B
2021-04-07,09:39:39,45.3,100,B
2021-04-07,09:39:30,45.3,300,B
2021-04-07,09:34:53,45.3,800,B
2021-04-07,09:34:43,45.3,1000,B
2021-04-07,09:34:32,45.3,1000,S
2021-04-07,09:29:20,45.3,600,S
2021-04-07,09:28:34,45.3,400,S
2021-04-07,09:24:22,45.4,1000,S
2021-04-07,09:21:02,45.4,100,S
2021-04-07,09:16:44,45.2,200,S
2021-04-07,09:12:34,45.7,200,B
