Date,Time,Price,Volume,Type
2021-04-07,13:01:53,9.3,2000,S
2021-04-07,13:00:55,9.3,2100,B
2021-04-07,13:00:55,9.3,5000,B
2021-04-07,13:00:51,9.3,10000,B
2021-04-07,13:00:26,9.3,5000,B
2021-04-07,13:00:04,9.3,5000,B
2021-04-07,11:27:28,9.2,2000,S
2021-04-07,11:26:50,9.2,1800,S
2021-04-07,11:26:37,9.3,2000,B
2021-04-07,11:25:53,9.3,500,B
2021-04-07,11:22:53,9.2,3000,S
2021-04-07,11:22:49,9.2,3200,S
2021-04-07,11:21:25,9.2,2800,S
2021-04-07,11:21:21,9.3,100,B
2021-04-07,11:20:39,9.3,10000,B
2021-04-07,11:20:26,9.2,10000,S
2021-04-07,11:20:26,9.3,3000,B
2021-04-07,11:20:18,9.3,200,B
2021-04-07,11:20:12,9.3,3000,B
2021-04-07,11:19:49,9.3,400,B
2021-04-07,11:19:45,9.3,400,S
2021-04-07,11:19:33,9.3,1300,S
2021-04-07,11:19:09,9.3,300,B
2021-04-07,11:19:06,9.3,100,B
2021-04-07,11:18:45,9.3,10000,S
2021-04-07,11:17:35,9.3,1200,B
2021-04-07,11:17:35,9.3,3000,B
2021-04-07,11:17:27,9.3,5400,B
2021-04-07,11:17:20,9.3,10000,B
2021-04-07,11:17:13,9.2,3500,S
2021-04-07,11:16:58,9.3,5000,B
2021-04-07,11:16:42,9.3,600,B
2021-04-07,11:16:24,9.3,2000,B
2021-04-07,11:16:07,9.3,500,B
2021-04-07,11:16:01,9.3,5000,B
2021-04-07,11:14:23,9.3,2000,B
2021-04-07,11:14:17,9.3,3000,B
2021-04-07,11:14:14,9.3,5200,B
2021-04-07,11:13:49,9.3,10000,B
2021-04-07,11:13:06,9.3,13400,B
2021-04-07,11:12:42,9.2,1000,S
2021-04-07,11:12:40,9.2,1100,B
2021-04-07,11:12:30,9.2,5000,B
2021-04-07,11:12:04,9.2,10000,B
2021-04-07,11:11:17,9.2,30000,B
2021-04-07,11:10:15,9.2,1100,B
2021-04-07,11:09:57,9.2,1600,B
2021-04-07,11:09:46,9.2,20000,B
2021-04-07,11:09:21,9.1,1200,B
2021-04-07,11:08:39,9.1,1000,B
2021-04-07,11:08:22,9.1,300,B
