Date,Time,Price,Volume,Type
2021-04-07,13:00:06,9.0,500,B
2021-04-07,13:00:04,9.0,1000,B
2021-04-07,13:00:03,9.0,200,B
2021-04-07,11:23:58,9.0,3000,B
2021-04-07,11:18:36,9.0,1000,S
2021-04-07,11:17:47,9.0,10000,S
2021-04-07,11:16:31,9.0,500,S
2021-04-07,11:12:06,9.0,5900,B
2021-04-07,11:08:42,9.0,500,B
2021-04-07,11:06:23,9.0,900,B
2021-04-07,11:03:33,9.0,2400,B
2021-04-07,11:01:24,9.0,4200,B
2021-04-07,11:00:55,9.0,100,B
2021-04-07,11:00:31,9.0,2100,S
2021-04-07,11:00:22,9.0,1000,S
2021-04-07,10:59:20,9.0,1000,S
2021-04-07,10:59:19,9.1,100,B
2021-04-07,10:58:07,9.1,1000,B
2021-04-07,10:57:29,9.1,1000,B
2021-04-07,10:55:19,9.1,8000,B
2021-04-07,10:54:20,9.0,2100,S
2021-04-07,10:51:36,9.0,1500,S
2021-04-07,10:48:38,9.0,6700,B
2021-04-07,10:47:45,9.0,100,B
2021-04-07,10:45:25,9.0,3200,S
2021-04-07,10:43:50,9.0,5000,S
2021-04-07,10:38:50,9.0,300,B
2021-04-07,10:38:43,9.0,5000,B
2021-04-07,10:37:59,9.0,100,B
2021-04-07,10:37:35,9.0,100,S
2021-04-07,10:36:54,9.0,500,S
2021-04-07,10:35:29,9.0,400,B
2021-04-07,10:35:22,9.0,1000,B
2021-04-07,10:34:34,9.0,400,B
2021-04-07,10:33:47,9.0,2400,S
2021-04-07,10:31:51,9.1,100,B
2021-04-07,10:31:48,9.1,300,B
2021-04-07,10:30:20,9.1,300,B
2021-04-07,10:30:05,9.0,100,B
2021-04-07,10:29:53,9.0,1000,B
2021-04-07,10:29:31,9.0,2000,B
2021-04-07,10:28:45,8.9,33300,B
2021-04-07,10:28:37,8.8,400,S
2021-04-07,10:28:03,8.8,300,B
2021-04-07,10:28:03,8.8,1000,B
2021-04-07,10:26:24,8.7,7100,B
2021-04-07,10:25:17,8.7,100,B
2021-04-07,10:24:56,8.7,3000,B
2021-04-07,10:22:05,8.7,2000,B
2021-04-07,10:21:52,8.7,500,B
2021-04-07,10:21:43,8.7,1700,B
