Date,Time,Price,Volume,Type
2021-04-21,14:45:34,11.75,2200, 
2021-04-21,14:25:44,11.75,500,B
2021-04-21,14:25:44,11.75,500,B
2021-04-21,14:24:49,11.75,2000,B
2021-04-21,14:24:49,11.75,2000,B
2021-04-21,14:20:18,11.75,500,S
2021-04-21,14:19:18,11.75,500,B
2021-04-21,14:18:18,11.75,500,B
2021-04-21,14:17:57,11.75,500,B
2021-04-21,14:17:57,11.75,500,B
2021-04-21,14:17:57,11.75,500,B
2021-04-21,14:17:57,11.75,500,B
2021-04-21,14:17:57,11.75,500,B
2021-04-21,14:17:57,11.75,500,B
2021-04-21,14:17:36,11.75,1400,B
2021-04-21,14:17:36,11.75,1400,B
2021-04-21,14:16:32,11.6,400,B
2021-04-21,14:12:34,11.5,100,S
2021-04-21,14:12:34,11.5,500,S
2021-04-21,14:12:34,11.5,3000,S
2021-04-21,14:12:34,11.5,800,S
2021-04-21,14:12:34,11.5,300,S
2021-04-21,14:12:34,11.5,100,S
2021-04-21,14:12:34,11.5,200,S
2021-04-21,14:12:34,11.5,100,S
2021-04-21,14:12:34,11.5,500,S
2021-04-21,14:12:34,11.5,3000,S
2021-04-21,14:12:34,11.5,800,S
2021-04-21,14:12:34,11.5,300,S
2021-04-21,14:12:34,11.5,100,S
2021-04-21,14:12:34,11.5,200,S
2021-04-21,14:11:22,11.6,100,B
2021-04-21,14:04:37,11.7,200,S
2021-04-21,14:04:37,11.7,500,S
2021-04-21,14:04:37,11.7,300,S
2021-04-21,14:04:37,11.7,200,S
2021-04-21,14:04:37,11.7,500,S
2021-04-21,14:04:37,11.7,300,S
2021-04-21,14:01:34,11.75,100,B
2021-04-21,13:57:18,11.75,1000,S
2021-04-21,13:52:39,11.8,100,S
2021-04-21,13:52:39,11.8,100,S
2021-04-21,13:52:39,11.8,100,S
2021-04-21,13:52:39,11.8,200,S
2021-04-21,13:52:39,11.8,500,S
2021-04-21,13:52:39,11.8,1000,S
2021-04-21,13:52:39,11.8,100,S
2021-04-21,13:52:39,11.8,1400,S
2021-04-21,13:52:39,11.8,2500,S
2021-04-21,13:44:44,11.8,3000,S
2021-04-21,13:44:44,11.8,500,S
