Date,Time,Price,Volume,Type
2021-04-21,14:45:03,25.0,50500,B
2021-04-21,14:29:23,25.3,2600,B
2021-04-21,14:29:11,25.3,500,B
2021-04-21,14:29:07,25.3,1000,B
2021-04-21,14:29:03,25.3,100,B
2021-04-21,14:28:54,25.3,500,S
2021-04-21,14:27:24,25.4,1900,B
2021-04-21,14:26:35,25.3,100,B
2021-04-21,14:26:21,25.3,300,B
2021-04-21,14:26:03,25.3,500,B
2021-04-21,14:25:53,25.3,1300,S
2021-04-21,14:24:14,25.3,3000,S
2021-04-21,14:24:01,25.4,300,S
2021-04-21,14:22:44,25.4,100,S
2021-04-21,14:21:47,25.4,3000,S
2021-04-21,14:21:08,25.4,2000,S
2021-04-21,14:19:28,25.4,100,S
2021-04-21,14:19:25,25.4,1100,S
2021-04-21,14:16:51,25.4,4100,B
2021-04-21,14:16:48,25.3,500,S
2021-04-21,14:16:16,25.3,300,S
2021-04-21,14:16:12,25.3,2200,B
2021-04-21,14:16:03,25.3,500,B
2021-04-21,14:15:55,25.2,1200,S
2021-04-21,14:15:46,25.2,600,B
2021-04-21,14:15:40,25.2,100,B
2021-04-21,14:15:38,25.1,500,S
2021-04-21,14:15:37,25.2,200,B
2021-04-21,14:15:29,25.2,100,B
2021-04-21,14:15:28,25.2,100,B
2021-04-21,14:15:24,25.2,100,B
2021-04-21,14:15:14,25.2,3500,B
2021-04-21,14:14:42,25.1,1700,B
2021-04-21,14:14:36,25.1,100,B
2021-04-21,14:14:35,25.1,100,B
2021-04-21,14:14:28,25.1,100,B
2021-04-21,14:14:06,25.0,100,B
2021-04-21,14:14:04,25.0,1000,B
2021-04-21,14:14:04,25.0,1500,B
2021-04-21,14:14:03,25.0,100,B
2021-04-21,14:13:58,25.0,10500,B
2021-04-21,14:13:53,25.0,5000,B
2021-04-21,14:13:51,25.0,500,B
2021-04-21,14:13:49,25.0,5000,B
2021-04-21,14:13:46,25.0,500,B
2021-04-21,14:13:40,25.0,100,B
2021-04-21,14:13:39,25.0,500,B
2021-04-21,14:13:32,25.0,2000,B
2021-04-21,14:13:13,25.0,100,B
2021-04-21,14:13:10,24.9,500,S
2021-04-21,14:12:38,25.0,800,B
