Date,Time,Price,Volume,Type
2021-04-21,14:45:21,7.86,821500, 
2021-04-21,14:30:10,7.84,100,B
2021-04-21,14:30:08,7.84,5000,B
2021-04-21,14:30:08,7.84,1000,B
2021-04-21,14:30:08,7.84,5000,B
2021-04-21,14:30:08,7.84,1000,B
2021-04-21,14:30:04,7.84,500,B
2021-04-21,14:30:04,7.84,500,B
2021-04-21,14:29:57,7.84,5000,B
2021-04-21,14:29:57,7.84,5000,B
2021-04-21,14:29:54,7.84,500,B
2021-04-21,14:29:51,7.84,13000,B
2021-04-21,14:29:49,7.84,2500,B
2021-04-21,14:29:49,7.84,1500,B
2021-04-21,14:29:49,7.84,3000,B
2021-04-21,14:29:45,7.84,100,B
2021-04-21,14:29:45,7.84,100,B
2021-04-21,14:29:44,7.85,1000,B
2021-04-21,14:29:44,7.84,2900,S
2021-04-21,14:29:44,7.84,3000,S
2021-04-21,14:29:44,7.85,1000,B
2021-04-21,14:29:44,7.84,2900,S
2021-04-21,14:29:44,7.84,3000,S
2021-04-21,14:29:43,7.84,6700,S
2021-04-21,14:29:43,7.84,1000,S
2021-04-21,14:29:43,7.84,2600,S
2021-04-21,14:29:43,7.84,20000,S
2021-04-21,14:29:43,7.84,11000,S
2021-04-21,14:29:43,7.84,5000,S
2021-04-21,14:29:43,7.84,3600,S
2021-04-21,14:29:43,7.84,6700,S
2021-04-21,14:29:43,7.84,1000,S
2021-04-21,14:29:43,7.84,2600,S
2021-04-21,14:29:43,7.84,20000,S
2021-04-21,14:29:43,7.84,11000,S
2021-04-21,14:29:43,7.84,5000,S
2021-04-21,14:29:43,7.84,3600,S
2021-04-21,14:29:43,7.84,6700,S
2021-04-21,14:29:43,7.84,1000,S
2021-04-21,14:29:43,7.84,2600,S
2021-04-21,14:29:43,7.84,20000,S
2021-04-21,14:29:43,7.84,11000,S
2021-04-21,14:29:43,7.84,5000,S
2021-04-21,14:29:43,7.84,3600,S
2021-04-21,14:29:39,7.85,500,B
2021-04-21,14:29:36,7.85,500,B
2021-04-21,14:29:33,7.85,1600,B
2021-04-21,14:29:33,7.85,1600,B
2021-04-21,14:29:30,7.85,500,B
2021-04-21,14:29:30,7.85,100,B
2021-04-21,14:29:30,7.85,500,B
