Date,Time,Price,Volume,Type
2021-04-21,14:45:03,3.7,28600,S
2021-04-21,14:28:23,3.7,100,B
2021-04-21,14:26:30,3.7,100,B
2021-04-21,14:24:32,3.7,100,B
2021-04-21,14:20:31,3.7,100,B
2021-04-21,14:20:22,3.7,1000,B
2021-04-21,14:16:41,3.7,5000,B
2021-04-21,14:14:43,3.7,1800,B
2021-04-21,14:08:29,3.6,5000,S
2021-04-21,14:07:56,3.6,5000,S
2021-04-21,14:06:47,3.6,20000,S
2021-04-21,14:06:27,3.6,10000,S
2021-04-21,14:03:22,3.6,9000,S
2021-04-21,14:02:27,3.6,2800,S
2021-04-21,14:01:58,3.6,27000,S
2021-04-21,14:00:45,3.6,100,S
2021-04-21,14:00:36,3.7,800,B
2021-04-21,13:59:58,3.7,21800,S
2021-04-21,13:59:32,3.7,3000,S
2021-04-21,13:59:14,3.7,10000,S
2021-04-21,13:58:52,3.7,10000,S
2021-04-21,13:58:03,3.7,500,S
2021-04-21,13:57:30,3.7,1000,S
2021-04-21,13:57:08,3.7,900,S
2021-04-21,13:55:32,3.7,3000,S
2021-04-21,13:54:53,3.8,200,B
2021-04-21,13:54:31,3.8,1000,B
2021-04-21,13:52:42,3.8,5000,B
2021-04-21,13:51:46,3.8,200,B
2021-04-21,13:51:31,3.8,10000,B
2021-04-21,13:51:27,3.8,200,B
2021-04-21,13:51:20,3.8,400,B
2021-04-21,13:50:34,3.8,2000,B
2021-04-21,13:46:14,3.8,1000,B
2021-04-21,13:46:12,3.8,3700,B
2021-04-21,13:42:38,3.8,100,B
2021-04-21,13:38:10,3.7,5900,B
2021-04-21,13:37:58,3.7,1000,B
2021-04-21,13:37:40,3.7,1100,S
2021-04-21,13:37:28,3.7,7500,S
2021-04-21,13:36:55,3.7,10000,S
2021-04-21,13:35:34,3.7,22500,B
2021-04-21,13:35:33,3.7,1000,B
2021-04-21,13:35:14,3.7,21500,B
2021-04-21,13:34:27,3.6,2200,S
2021-04-21,13:33:33,3.7,1000,B
2021-04-21,13:33:25,3.7,800,B
2021-04-21,13:31:45,3.7,800,B
2021-04-21,13:30:48,3.7,9000,B
2021-04-21,13:30:09,3.7,21500,B
2021-04-21,13:27:16,3.7,2100,B
