Date,Time,Price,Volume,Type
2021-04-22,14:46:16,49.2,4200, 
2021-04-22,14:30:33,49.2,200,S
2021-04-22,14:14:30,49.5,400,B
2021-04-22,14:11:25,49.6,6400,S
2021-04-22,14:11:25,49.6,1500,S
2021-04-22,14:11:25,49.6,6400,S
2021-04-22,14:11:25,49.6,1500,S
2021-04-22,14:10:41,49.7,1200,S
2021-04-22,14:08:50,49.7,100,S
2021-04-22,14:07:51,49.7,400,B
2021-04-22,14:07:51,49.7,100,B
2021-04-22,14:07:51,49.7,400,B
2021-04-22,14:07:51,49.7,100,B
2021-04-22,14:07:08,49.6,100,S
2021-04-22,14:06:00,49.8,3400,B
2021-04-22,14:06:00,49.8,100,B
2021-04-22,14:06:00,49.7,4600,S
2021-04-22,14:06:00,49.8,3400,B
2021-04-22,14:06:00,49.8,100,B
2021-04-22,14:06:00,49.7,4600,S
2021-04-22,14:05:37,49.8,1400,S
2021-04-22,14:02:37,49.8,400,S
2021-04-22,14:02:04,49.8,100,S
2021-04-22,14:01:52,49.8,1600,B
2021-04-22,14:01:52,49.8,100,B
2021-04-22,14:01:52,49.8,1600,B
2021-04-22,14:01:52,49.8,100,B
2021-04-22,14:00:56,49.8,3500,B
2021-04-22,14:00:56,49.8,200,B
2021-04-22,14:00:56,49.8,1300,B
2021-04-22,13:58:53,49.8,2500,B
2021-04-22,13:58:53,49.8,100,B
2021-04-22,13:56:42,49.7,200,B
2021-04-22,13:56:30,49.7,3300,B
2021-04-22,13:56:30,49.7,1700,B
2021-04-22,13:56:30,49.7,3300,B
2021-04-22,13:56:30,49.7,1700,B
2021-04-22,13:56:30,49.7,3300,B
2021-04-22,13:56:30,49.7,1700,B
2021-04-22,13:56:30,49.7,3300,B
2021-04-22,13:56:30,49.7,1700,B
2021-04-22,13:56:30,49.7,3300,B
2021-04-22,13:56:30,49.7,1700,B
2021-04-22,13:54:57,49.7,100,S
2021-04-22,13:54:57,49.7,2900,S
2021-04-22,13:54:57,49.7,100,S
2021-04-22,13:52:51,49.7,3500,B
2021-04-22,13:52:51,49.7,3500,B
2021-04-22,13:52:51,49.7,3500,B
2021-04-22,13:52:51,49.7,3500,B
2021-04-22,13:52:51,49.7,3500,B
