Date,Time,Price,Volume,Type
2021-04-22,14:45:02,11.1,31800,B
2021-04-22,14:29:52,11.3,200,S
2021-04-22,14:29:31,11.3,1000,S
2021-04-22,14:29:02,11.3,1600,S
2021-04-22,14:28:41,11.3,1000,S
2021-04-22,14:28:00,11.3,800,S
2021-04-22,14:26:56,11.3,300,B
2021-04-22,14:26:46,11.3,2200,B
2021-04-22,14:25:29,11.3,3000,S
2021-04-22,14:25:25,11.3,300,S
2021-04-22,14:24:59,11.3,500,S
2021-04-22,14:24:32,11.3,1000,S
2021-04-22,14:24:15,11.3,1000,S
2021-04-22,14:23:52,11.3,6800,B
2021-04-22,14:23:00,11.3,100,B
2021-04-22,14:21:52,11.2,1000,S
2021-04-22,14:21:23,11.3,1500,S
2021-04-22,14:20:18,11.3,3500,B
2021-04-22,14:20:05,11.3,5900,B
2021-04-22,14:19:42,11.2,200,S
2021-04-22,14:19:03,11.3,200,B
2021-04-22,14:19:02,11.3,200,S
2021-04-22,14:18:43,11.3,1600,S
2021-04-22,14:18:36,11.3,500,S
2021-04-22,14:18:08,11.3,600,S
2021-04-22,14:18:06,11.3,1200,S
2021-04-22,14:17:58,11.3,9800,S
2021-04-22,14:17:52,11.3,100,S
2021-04-22,14:17:51,11.3,300,S
2021-04-22,14:17:44,11.3,2000,S
2021-04-22,14:17:21,11.3,10000,S
2021-04-22,14:17:17,11.3,2000,S
2021-04-22,14:17:15,11.3,500,S
2021-04-22,14:17:11,11.3,5000,S
2021-04-22,14:16:22,11.3,2000,S
2021-04-22,14:15:53,11.3,10000,S
2021-04-22,14:14:11,11.4,5000,B
2021-04-22,14:13:46,11.4,4000,B
2021-04-22,14:09:38,11.4,200,S
2021-04-22,14:09:37,11.4,800,B
2021-04-22,14:09:36,11.4,5000,B
2021-04-22,14:06:49,11.4,200,S
2021-04-22,14:06:32,11.4,100,S
2021-04-22,14:06:09,11.4,100,S
2021-04-22,14:06:05,11.4,2900,S
2021-04-22,14:04:59,11.4,4000,S
2021-04-22,14:04:44,11.4,5500,S
2021-04-22,14:04:40,11.4,1200,S
2021-04-22,14:02:14,11.4,1000,S
2021-04-22,14:00:42,11.4,2000,S
2021-04-22,13:59:03,11.5,1100,B
