Date,Time,Price,Volume,Type
2021-04-22,14:45:33,36.8,94900, 
2021-04-22,14:30:23,37.0,6800,S
2021-04-22,14:30:13,37.05,1000,S
2021-04-22,14:30:13,37.0,13000,S
2021-04-22,14:28:08,37.0,1000,S
2021-04-22,14:14:28,37.1,500,S
2021-04-22,14:14:28,37.1,1200,S
2021-04-22,14:14:28,37.1,200,S
2021-04-22,14:14:05,37.1,2700,S
2021-04-22,14:14:05,37.1,3300,S
2021-04-22,14:11:02,37.3,2000,S
2021-04-22,14:08:37,37.3,500,S
2021-04-22,14:08:37,37.3,2000,S
2021-04-22,14:08:37,37.2,1400,S
2021-04-22,14:08:37,37.3,500,S
2021-04-22,14:08:37,37.3,2000,S
2021-04-22,14:08:37,37.2,1400,S
2021-04-22,14:07:08,37.3,2000,S
2021-04-22,14:07:08,37.2,200,S
2021-04-22,14:07:08,37.3,2000,S
2021-04-22,14:07:08,37.2,200,S
2021-04-22,14:05:14,37.35,100,S
2021-04-22,14:05:14,37.3,100,S
2021-04-22,14:05:14,37.3,2000,S
2021-04-22,14:05:14,37.2,600,S
2021-04-22,14:05:14,37.2,100,S
2021-04-22,14:05:14,37.2,1000,S
2021-04-22,14:05:14,37.2,100,S
2021-04-22,14:04:08,37.35,100,S
2021-04-22,14:03:57,37.35,1000,S
2021-04-22,14:03:46,37.35,3800,S
2021-04-22,13:54:11,37.75,2000,B
2021-04-22,13:50:43,37.4,2000,S
2021-04-22,13:50:43,37.4,100,S
2021-04-22,13:50:43,37.25,2000,S
2021-04-22,13:50:43,37.2,400,S
2021-04-22,13:50:43,37.4,2000,S
2021-04-22,13:50:43,37.4,100,S
2021-04-22,13:50:43,37.25,2000,S
2021-04-22,13:50:43,37.2,400,S
2021-04-22,13:45:53,37.5,300,B
2021-04-22,13:45:53,37.75,2100,B
2021-04-22,13:45:53,37.8,2700,B
2021-04-22,13:45:53,38.0,600,B
2021-04-22,13:45:53,38.0,2000,B
2021-04-22,13:45:53,37.5,300,B
2021-04-22,13:45:53,37.75,2100,B
2021-04-22,13:45:53,37.8,2700,B
2021-04-22,13:45:53,38.0,600,B
2021-04-22,13:45:14,37.5,700,S
2021-04-22,13:43:51,37.5,100,S
