Date,Time,Price,Volume,Type
2021-04-22,14:45:55,18.7,213400, 
2021-04-22,14:31:02,18.8,300,B
2021-04-22,14:30:50,18.85,100,S
2021-04-22,14:30:50,18.8,100,S
2021-04-22,14:30:03,18.8,1700,B
2021-04-22,14:30:03,18.85,500,B
2021-04-22,14:30:03,18.85,100,B
2021-04-22,14:30:03,18.8,1700,B
2021-04-22,14:30:03,18.85,500,B
2021-04-22,14:30:03,18.85,100,B
2021-04-22,14:28:08,18.8,1300,S
2021-04-22,14:28:08,18.8,3700,S
2021-04-22,14:14:18,18.75,1200,S
2021-04-22,14:13:54,18.8,500,B
2021-04-22,14:13:54,18.8,500,B
2021-04-22,14:13:43,18.8,500,B
2021-04-22,14:13:19,18.8,1000,B
2021-04-22,14:11:40,18.9,500,S
2021-04-22,14:11:40,18.9,2000,S
2021-04-22,14:11:40,18.9,500,S
2021-04-22,14:11:40,18.9,100,S
2021-04-22,14:11:40,18.9,100,S
2021-04-22,14:11:40,18.9,1000,S
2021-04-22,14:11:40,18.9,2000,S
2021-04-22,14:11:40,18.9,5000,S
2021-04-22,14:11:40,18.9,2000,S
2021-04-22,14:11:40,18.9,300,S
2021-04-22,14:11:40,18.9,200,S
2021-04-22,14:11:40,18.9,3000,S
2021-04-22,14:11:40,18.9,100,S
2021-04-22,14:11:40,18.9,200,S
2021-04-22,14:11:40,18.9,200,S
2021-04-22,14:11:40,18.9,300,S
2021-04-22,14:11:40,18.9,100,S
2021-04-22,14:11:40,18.9,2300,S
2021-04-22,14:11:40,18.85,1500,S
2021-04-22,14:11:40,18.85,100,S
2021-04-22,14:11:40,18.85,100,S
2021-04-22,14:11:40,18.85,100,S
2021-04-22,14:11:40,18.85,3000,S
2021-04-22,14:11:40,18.85,100,S
2021-04-22,14:11:40,18.85,2000,S
2021-04-22,14:11:40,18.8,500,S
2021-04-22,14:11:40,18.8,2000,S
2021-04-22,14:11:40,18.8,1000,S
2021-04-22,14:11:40,18.8,2000,S
2021-04-22,14:11:40,18.8,1000,S
2021-04-22,14:11:40,18.8,500,S
2021-04-22,14:11:40,18.8,1000,S
2021-04-22,14:11:40,18.8,500,S
2021-04-22,14:11:40,18.8,100,S
