Date,Time,Price,Volume,Type
2021-04-22,14:45:54,6.69,91100, 
2021-04-22,14:32:06,6.71,100,S
2021-04-22,14:32:06,6.7,500,S
2021-04-22,14:32:06,6.7,1000,S
2021-04-22,14:32:06,6.7,100,S
2021-04-22,14:32:06,6.7,2000,S
2021-04-22,14:32:06,6.7,300,S
2021-04-22,14:32:06,6.7,400,S
2021-04-22,14:32:06,6.7,100,S
2021-04-22,14:32:06,6.7,2000,S
2021-04-22,14:32:06,6.7,2600,S
2021-04-22,14:32:06,6.71,100,S
2021-04-22,14:32:06,6.7,500,S
2021-04-22,14:32:06,6.7,1000,S
2021-04-22,14:32:06,6.7,100,S
2021-04-22,14:32:06,6.7,2000,S
2021-04-22,14:32:06,6.7,300,S
2021-04-22,14:32:06,6.7,400,S
2021-04-22,14:32:06,6.7,100,S
2021-04-22,14:32:06,6.7,2000,S
2021-04-22,14:32:06,6.7,2600,S
2021-04-22,14:31:02,6.7,3000,S
2021-04-22,14:30:50,6.7,1500,S
2021-04-22,14:29:07,6.72,200,B
2021-04-22,14:29:06,6.71,3500,S
2021-04-22,14:28:43,6.7,1500,S
2021-04-22,14:28:43,6.7,1500,S
2021-04-22,14:28:19,6.72,300,B
2021-04-22,14:28:19,6.7,200,S
2021-04-22,14:28:19,6.7,600,S
2021-04-22,14:28:19,6.7,100,S
2021-04-22,14:28:19,6.7,200,S
2021-04-22,14:28:19,6.7,3000,S
2021-04-22,14:28:08,6.7,200,S
2021-04-22,14:28:08,6.7,9800,S
2021-04-22,14:16:00,6.73,3000,S
2021-04-22,14:16:00,6.73,1000,S
2021-04-22,14:16:00,6.73,5000,S
2021-04-22,14:16:00,6.73,500,S
2021-04-22,14:14:40,6.73,500,S
2021-04-22,14:14:40,6.73,2000,S
2021-04-22,14:13:54,6.75,900,S
2021-04-22,14:13:54,6.75,2000,S
2021-04-22,14:13:54,6.75,2000,S
2021-04-22,14:13:54,6.75,900,S
2021-04-22,14:13:54,6.75,2000,S
2021-04-22,14:13:54,6.75,2000,S
2021-04-22,14:13:30,6.75,3600,S
2021-04-22,14:13:30,6.75,1100,S
2021-04-22,14:13:18,6.76,200,B
2021-04-22,14:11:25,6.76,10000,S
