Date,Time,Price,Volume,Type
2021-04-22,14:56:31,23.7,100,S
2021-04-22,14:55:10,23.8,600,S
2021-04-22,14:51:33,23.7,1000,S
2021-04-22,14:51:12,23.7,1000,S
2021-04-22,14:47:01,23.8,5000,S
2021-04-22,14:43:03,23.8,100,S
2021-04-22,14:42:34,23.8,3000,S
2021-04-22,14:40:55,23.8,5000,S
2021-04-22,14:40:08,23.9,1100,S
2021-04-22,14:39:43,23.9,1000,S
2021-04-22,14:37:28,23.9,600,S
2021-04-22,14:30:05,23.9,1100,S
2021-04-22,14:29:07,23.9,900,B
2021-04-22,14:23:32,23.9,400,B
2021-04-22,14:22:00,23.9,1800,S
2021-04-22,14:18:30,23.9,500,S
2021-04-22,14:17:03,23.9,100,S
2021-04-22,14:14:36,23.9,1300,S
2021-04-22,14:12:40,24.0,500,S
2021-04-22,14:12:39,24.0,1000,S
2021-04-22,14:07:53,24.0,400,S
2021-04-22,14:07:40,24.0,100,S
2021-04-22,14:07:38,24.0,1100,S
2021-04-22,14:06:08,24.0,10000,S
2021-04-22,14:05:39,24.0,100,S
2021-04-22,14:04:38,24.0,2000,S
2021-04-22,14:04:23,24.0,100,S
2021-04-22,14:01:33,24.0,3500,B
2021-04-22,13:47:00,23.9,1000,S
2021-04-22,13:38:56,24.0,300,B
2021-04-22,13:37:21,24.0,100,B
2021-04-22,13:35:16,24.0,1000,B
2021-04-22,13:34:00,23.9,200,B
2021-04-22,13:33:27,23.9,300,B
2021-04-22,13:29:33,23.9,500,S
2021-04-22,13:27:07,23.8,1000,S
2021-04-22,13:23:58,23.9,100,B
2021-04-22,13:23:17,23.9,100,B
2021-04-22,13:23:15,23.8,1000,S
2021-04-22,13:20:52,23.8,300,S
2021-04-22,13:20:41,23.9,3100,B
2021-04-22,13:18:25,23.9,2000,S
2021-04-22,13:16:50,24.0,100,B
2021-04-22,13:16:14,24.0,11600,S
2021-04-22,13:11:06,24.1,2200,S
2021-04-22,13:01:20,24.3,5000,B
2021-04-22,11:27:35,24.3,200,B
2021-04-22,11:26:37,24.2,100,B
2021-04-22,11:24:33,24.0,600,S
2021-04-22,11:23:46,24.0,900,S
2021-04-22,11:10:20,24.0,1300,S
