Date,Time,Price,Volume,Type
2021-04-22,14:45:02,3.0,127500,B
2021-04-22,14:29:55,3.0,1000,S
2021-04-22,14:29:41,3.0,1200,S
2021-04-22,14:29:35,3.0,7000,S
2021-04-22,14:28:11,3.0,2500,S
2021-04-22,14:27:06,3.1,200,B
2021-04-22,14:26:56,3.1,200,B
2021-04-22,14:26:47,3.0,200,S
2021-04-22,14:26:08,3.0,10500,S
2021-04-22,14:25:07,3.0,10000,S
2021-04-22,14:24:47,3.0,20000,S
2021-04-22,14:24:08,3.0,3000,S
2021-04-22,14:22:49,3.0,1000,S
2021-04-22,14:22:24,3.0,10200,S
2021-04-22,14:22:21,3.0,200,S
2021-04-22,14:22:09,3.0,10000,S
2021-04-22,14:21:58,3.0,20000,S
2021-04-22,14:21:53,3.0,3000,S
2021-04-22,14:21:10,3.0,10000,S
2021-04-22,14:21:03,3.1,1000,B
2021-04-22,14:21:01,3.0,50000,S
2021-04-22,14:20:22,3.0,12500,S
2021-04-22,14:19:53,3.0,3000,S
2021-04-22,14:18:51,3.1,200,B
2021-04-22,14:18:46,3.1,200,B
2021-04-22,14:18:30,3.1,1000,B
2021-04-22,14:17:50,3.0,1100,S
2021-04-22,14:16:52,3.0,11000,S
2021-04-22,14:16:04,3.0,800,S
2021-04-22,14:15:56,3.0,41000,S
2021-04-22,14:15:52,3.0,300,S
2021-04-22,14:15:39,3.0,3300,S
2021-04-22,14:13:20,3.1,4000,B
2021-04-22,14:13:08,3.0,1000,S
2021-04-22,14:08:34,3.0,1000,S
2021-04-22,14:07:09,3.0,1100,S
2021-04-22,14:05:31,3.1,100,B
2021-04-22,14:04:49,3.0,200,S
2021-04-22,14:04:27,3.1,1700,B
2021-04-22,14:01:59,3.1,300,B
2021-04-22,14:00:51,3.0,1000,S
2021-04-22,13:57:03,3.0,64200,S
2021-04-22,13:57:02,3.1,1000,B
2021-04-22,13:55:37,3.1,800,B
2021-04-22,13:55:35,3.1,800,B
2021-04-22,13:55:11,3.1,100,B
2021-04-22,13:54:03,3.1,200,B
2021-04-22,13:52:16,3.1,25300,S
2021-04-22,13:50:20,3.1,200,S
2021-04-22,13:49:42,3.1,1400,S
2021-04-22,13:49:19,3.1,100,S
