Date,Time,Price,Volume,Type
2021-04-22,14:59:12,27.7,5000,B
2021-04-22,14:45:03,27.7,5139100,B
2021-04-22,14:29:54,27.8,30000,B
2021-04-22,14:29:50,27.7,2000,S
2021-04-22,14:29:46,27.7,4000,S
2021-04-22,14:29:41,27.7,20000,S
2021-04-22,14:29:38,27.8,700,B
2021-04-22,14:29:37,27.8,100000,B
2021-04-22,14:29:36,27.8,100,B
2021-04-22,14:29:34,27.7,20100,S
2021-04-22,14:29:30,27.7,100,S
2021-04-22,14:29:30,27.7,400,S
2021-04-22,14:29:14,27.7,50000,S
2021-04-22,14:29:09,27.7,5000,S
2021-04-22,14:28:50,27.7,50000,S
2021-04-22,14:28:41,27.7,800,S
2021-04-22,14:28:39,27.8,4000,B
2021-04-22,14:28:38,27.7,100000,S
2021-04-22,14:28:36,27.7,40000,S
2021-04-22,14:28:32,27.7,2000,S
2021-04-22,14:28:31,27.7,1000,S
2021-04-22,14:28:13,27.7,100,S
2021-04-22,14:28:01,27.8,158000,B
2021-04-22,14:27:58,27.7,300,S
2021-04-22,14:27:52,27.8,600,B
2021-04-22,14:27:50,27.8,200,B
2021-04-22,14:27:35,27.8,71700,B
2021-04-22,14:27:33,27.8,6000,B
2021-04-22,14:27:32,27.7,30000,S
2021-04-22,14:27:20,27.8,8300,B
2021-04-22,14:27:19,27.8,48000,B
2021-04-22,14:27:16,27.8,4100,B
2021-04-22,14:27:16,27.7,3000,S
2021-04-22,14:27:03,27.7,1500,S
2021-04-22,14:27:03,27.7,1000,S
2021-04-22,14:26:56,27.8,120500,B
2021-04-22,14:26:51,27.7,1000,S
2021-04-22,14:26:50,27.7,200,S
2021-04-22,14:26:49,27.7,5000,S
2021-04-22,14:26:44,27.7,500,S
2021-04-22,14:26:42,27.7,5500,S
2021-04-22,14:26:38,27.7,3000,S
2021-04-22,14:26:24,27.7,10000,S
2021-04-22,14:26:23,27.8,100000,B
2021-04-22,14:26:19,27.7,70000,S
2021-04-22,14:26:14,27.8,7000,B
2021-04-22,14:26:12,27.7,4000,S
2021-04-22,14:26:09,27.8,3200,B
2021-04-22,14:26:08,27.7,20000,S
2021-04-22,14:26:07,27.8,18500,B
2021-04-22,14:26:02,27.7,50000,S
