Date,Time,Price,Volume,Type
2021-04-22,14:59:51,80.3,700,S
2021-04-22,14:59:15,80.5,500,B
2021-04-22,14:55:32,80.5,500,B
2021-04-22,14:53:48,80.5,1600,B
2021-04-22,14:53:20,80.5,100,B
2021-04-22,14:53:18,80.3,400,B
2021-04-22,14:51:17,80.2,1000,
2021-04-22,14:51:00,80.2,400,B
2021-04-22,14:50:31,80.2,100,B
2021-04-22,14:50:25,80.2,300,B
2021-04-22,14:49:11,80.2,100,B
2021-04-22,14:49:07,80.2,200,B
2021-04-22,14:48:38,80.2,200,B
2021-04-22,14:48:31,80.1,1000,S
2021-04-22,14:48:25,80.2,500,B
2021-04-22,14:48:03,80.2,500,B
2021-04-22,14:47:59,80.2,200,B
2021-04-22,14:47:33,80.2,200,B
2021-04-22,14:47:28,80.2,100,B
2021-04-22,14:46:29,80.1,2000,S
2021-04-22,14:46:13,80.1,2000,S
2021-04-22,14:45:22,80.2,200,S
2021-04-22,14:45:08,80.2,200,S
2021-04-22,14:44:45,80.2,200,S
2021-04-22,14:44:11,80.2,200,B
2021-04-22,14:44:08,80.2,100,B
2021-04-22,14:43:42,80.2,100,S
2021-04-22,14:43:07,80.2,100,S
2021-04-22,14:41:09,80.3,100,B
2021-04-22,14:40:58,80.3,700,S
2021-04-22,14:40:47,80.3,200,S
2021-04-22,14:40:04,80.3,200,S
2021-04-22,14:38:43,80.3,3400,S
2021-04-22,14:38:09,80.6,1400,B
2021-04-22,14:36:39,80.5,200,S
2021-04-22,14:35:22,80.5,1000,B
2021-04-22,14:34:48,80.5,100,S
2021-04-22,14:34:37,80.5,400,S
2021-04-22,14:34:33,80.5,200,S
2021-04-22,14:34:31,80.5,200,S
2021-04-22,14:33:59,80.5,1200,B
2021-04-22,14:33:42,80.5,100,S
2021-04-22,14:33:36,80.5,500,S
2021-04-22,14:32:22,80.5,200,S
2021-04-22,14:32:17,80.6,500,S
2021-04-22,14:30:13,80.5,200,S
2021-04-22,14:28:03,80.4,200,S
2021-04-22,14:27:12,81.0,1200,B
2021-04-22,14:26:03,81.0,100,B
2021-04-22,14:25:54,81.0,100,S
2021-04-22,14:23:49,81.0,200,S
