date,close,change,volume,open,high,low
2018-06-25,15.80,3.60 (29.51 %),362000,15.80,15.80,15.80
2018-06-26,17.30,1.50 (9.49 %),800200,17.3,17.30,16.00
2018-06-27,16.50,-0.80 (-4.62 %),532700,19.00,19.00,16.50
2018-06-28,16.60,0.10 (0.61 %),210300,16.5,16.80,16.50
2018-06-29,16.70,0.10 (0.60 %),108100,16.60,16.80,16.50
2018-07-02,16.70,0.00 (0.00 %),129000,16.7,16.80,16.10
2018-07-03,16.60,-0.10 (-0.60 %),98800,16.60,16.80,16.50
2018-07-04,16.50,-0.10 (-0.60 %),80500,16.6,16.70,16.50
2018-07-05,16.50,0.00 (0.00 %),144700,16.50,16.70,16.40
2018-07-06,16.70,0.20 (1.21 %),232100,16.5,16.80,16.40
2018-07-09,16.70,0.00 (0.00 %),248300,16.70,16.90,16.50
2018-07-10,16.60,-0.10 (-0.60 %),151100,16.7,16.80,16.50
2018-07-11,16.60,0.00 (0.00 %),82500,16.60,16.70,16.30
2018-07-12,18.20,1.60 (9.64 %),518100,16.6,18.20,16.50
2018-07-13,20.00,1.80 (9.89 %),482500,18.20,20.00,18.20
2018-07-16,22.00,2.00 (10.00 %),479500,20.0,22.00,20.00
2018-07-17,22.10,0.10 (0.45 %),103000,22.10,22.20,21.50
2018-07-18,22.60,0.50 (2.26 %),79800,22.1,22.60,21.60
2018-07-19,22.70,0.10 (0.44 %),64300,22.70,22.80,22.40
2018-07-20,22.20,-0.50 (-2.20 %),62800,22.7,22.70,22.00
2018-07-23,22.40,0.20 (0.90 %),61600,22.30,22.60,22.00
2018-07-24,21.40,-1.00 (-4.46 %),58400,22.5,22.50,21.40
2018-07-25,21.00,-0.40 (-1.87 %),68600,21.50,21.60,21.00
2018-07-26,21.10,0.10 (0.48 %),64000,20.9,21.20,20.60
2018-07-27,21.40,0.30 (1.42 %),67100,21.00,21.60,21.00
2018-07-30,21.30,-0.10 (-0.47 %),42100,21.5,21.60,21.30
2018-07-31,21.30,0.00 (0.00 %),50300,21.40,21.60,21.80
2018-08-01,21.00,-0.60 (-2.78 %),62700,21.7,21.90,21.00
2018-08-02,20.90,-0.10 (-0.48 %),140600,21.10,21.50,20.40
2018-08-03,21.90,1.00 (4.78 %),150400,21.0,22.00,20.80
2018-08-06,22.40,0.50 (2.28 %),176800,21.50,22.60,20.70
2018-08-07,22.60,0.20 (0.89 %),118000,22.3,22.70,21.50
2018-08-08,22.20,-0.40 (-1.77 %),98900,22.60,22.80,22.00
2018-08-09,24.40,2.20 (9.91 %),443400,22.1,24.40,21.60
2018-08-10,26.80,2.40 (9.84 %),216700,26.40,26.80,26.40
