date,close,change,volume,open,high,low
2020-01-09,30.00,5.00 (20.00 %),403500,30.00,30.00,30.00
2020-01-10,30.40,0.40 (1.33 %),382330,30.50,31.30,30.40
2020-01-13,30.15,-0.25 (-0.82 %),263410,30.50,30.55,30.15
2020-01-14,29.50,-0.65 (-2.16 %),573820,29.90,29.90,29.25
2020-01-15,29.65,0.15 (0.51 %),228400,29.45,29.75,29.45
2020-01-16,29.85,0.20 (0.67 %),283220,29.50,30.05,29.35
2020-01-17,29.70,-0.15 (-0.50 %),229940,29.80,29.90,29.65
2020-01-20,29.65,-0.05 (-0.17 %),238670,29.80,29.90,29.55
2020-01-21,29.80,0.15 (0.51 %),248440,29.70,29.90,29.60
2020-01-22,30.10,0.30 (1.01 %),228590,29.85,30.10,29.70
2020-01-30,30.20,0.10 (0.33 %),183910,30.00,30.60,29.80
2020-01-31,29.75,-0.45 (-1.49 %),211690,30.15,30.15,29.75
2020-02-03,29.50,-0.25 (-0.84 %),213310,29.50,29.65,29.25
2020-02-04,29.70,0.20 (0.68 %),208640,29.55,29.85,29.50
2020-02-05,29.60,-0.10 (-0.34 %),199390,29.60,29.65,29.50
2020-02-06,29.65,0.05 (0.17 %),206740,29.60,29.80,29.60
2020-02-07,29.45,-0.20 (-0.67 %),245720,29.65,29.70,29.40
2020-02-10,29.55,0.10 (0.34 %),190510,29.45,29.60,29.35
2020-02-11,29.30,-0.25 (-0.85 %),197110,29.50,29.55,29.30
2020-02-12,29.05,-0.25 (-0.85 %),190780,29.35,29.35,28.90
2020-02-13,28.95,-0.10 (-0.34 %),206670,29.05,29.20,28.85
2020-02-14,28.85,-0.10 (-0.35 %),201670,28.90,28.90,28.75
2020-02-17,29.00,0.15 (0.52 %),207150,28.80,29.10,28.80
2020-02-18,28.85,-0.15 (-0.52 %),208630,29.00,29.00,28.55
2020-02-19,28.90,0.05 (0.17 %),200730,28.85,29.10,28.80
2020-02-20,28.80,-0.10 (-0.35 %),206170,28.90,29.05,28.70
2020-02-21,28.80,0.00 (0.00 %),203920,28.80,29.00,28.75
2020-02-24,28.70,-0.10 (-0.35 %),190740,28.75,28.80,28.60
2020-02-25,28.75,0.05 (0.17 %),202890,28.75,28.80,28.50
2020-02-26,28.55,-0.20 (-0.70 %),190600,28.70,28.70,28.45
2020-02-27,28.35,-0.20 (-0.70 %),196230,28.55,28.65,28.30
2020-02-28,27.45,-0.90 (-3.17 %),167630,28.25,28.25,27.40
