date,close,change,volume,open,high,low
2018-06-12,3.20,0.90 (39.13 %),300,3.2,3.20,3.20
2018-06-13,3.60,0.40 (12.50 %),300,3.60,3.60,3.60
2018-06-14,4.10,0.50 (13.89 %),130,4.1,4.10,4.10
2018-06-15,4.70,0.60 (14.63 %),1800,4.70,4.70,4.70
2018-06-18,5.40,0.70 (14.89 %),26400,5.4,5.40,5.40
2018-06-19,6.20,0.80 (14.81 %),1900,6.20,6.20,6.20
2018-06-20,7.10,0.90 (14.52 %),4400,7.1,7.10,7.10
2018-06-21,8.10,1.00 (14.08 %),74620,8.10,8.10,8.10
2018-06-22,9.30,1.20 (14.81 %),23550,9.3,9.30,9.30
2018-06-25,10.60,1.30 (13.98 %),497300,10.60,10.60,9.50
2018-06-26,12.00,1.50 (14.29 %),147610,12.0,12.00,11.20
2018-06-27,13.60,1.70 (14.29 %),45830,13.60,13.60,13.60
2018-06-28,15.60,2.00 (14.71 %),60300,15.6,15.60,15.60
2018-06-29,15.70,0.10 (0.64 %),208123,17.90,17.90,15.30
2018-07-02,14.20,-2.40 (-14.46 %),185725,15.5,15.50,14.20
2018-07-03,13.10,-1.20 (-8.39 %),78825,14.20,14.20,12.80
2018-07-04,13.10,-0.30 (-2.24 %),165965,13.0,13.30,12.00
2018-07-05,12.60,-0.40 (-3.08 %),100720,12.00,13.00,12.00
2018-07-06,14.10,1.80 (14.63 %),17720,13.0,14.10,13.00
2018-07-09,14.10,0.50 (3.68 %),28785,14.30,14.50,14.00
2018-07-10,14.00,-0.40 (-2.78 %),225252,14.5,15.80,14.00
2018-07-11,14.00,-1.40 (-9.09 %),30950,14.60,14.80,14.00
2018-07-12,13.60,-0.70 (-4.90 %),58830,14.3,14.30,12.20
2018-07-13,15.20,1.90 (14.29 %),69480,13.50,15.20,13.20
2018-07-16,14.90,0.00 (0.00 %),60450,14.5,15.20,14.50
2018-07-17,16.00,1.10 (7.38 %),23270,14.90,16.00,14.90
2018-07-18,15.50,0.00 (0.00 %),17880,15.2,15.50,15.10
2018-07-19,16.00,0.80 (5.26 %),64515,15.10,16.50,15.10
2018-07-20,15.70,0.00 (0.00 %),10068,15.6,15.90,15.30
2018-07-23,15.00,-0.50 (-3.23 %),42922,15.30,15.50,14.90
2018-07-24,15.00,0.00 (0.00 %),7675,15.0,15.00,15.00
