date,close,change,volume,open,high,low
2014-02-19,24.90,1.60 (6.87 %),112640,23.80,24.90,23.30
2014-02-20,24.40,-0.50 (-2.01 %),130990,25.00,25.10,23.20
2014-02-21,24.40,0.00 (0.00 %),7980,24.40,24.40,24.00
2014-02-24,24.90,0.50 (2.05 %),18060,25.00,25.00,24.00
2014-02-25,25.80,0.90 (3.61 %),41860,25.50,25.80,24.40
2014-02-26,24.80,-1.00 (-3.88 %),86810,26.00,26.00,24.60
2014-02-27,24.40,-0.40 (-1.61 %),77620,24.30,24.50,24.10
2014-02-28,24.20,-0.20 (-0.82 %),33650,24.60,24.60,23.90
2014-03-03,23.50,-0.70 (-2.89 %),34250,24.00,24.00,23.50
2014-03-04,23.00,-0.50 (-2.13 %),850,23.50,23.50,22.90
2014-03-05,23.00,0.00 (0.00 %),22980,23.70,23.70,22.90
2014-03-06,24.40,1.40 (6.09 %),40920,23.00,24.40,23.00
2014-03-07,24.10,-0.30 (-1.23 %),98990,24.40,24.40,23.90
2014-03-10,24.30,0.20 (0.83 %),105910,24.00,24.50,24.00
2014-03-11,25.00,0.70 (2.88 %),60890,24.20,25.00,24.20
2014-03-12,24.90,-0.10 (-0.40 %),209570,25.00,25.00,24.50
2014-03-13,25.10,0.20 (0.80 %),110550,24.90,25.10,24.80
2014-03-14,25.40,0.30 (1.20 %),194550,25.10,25.40,24.90
2014-03-17,26.30,0.90 (3.54 %),247510,25.50,26.30,25.10
2014-03-18,27.50,1.20 (4.56 %),353380,26.40,27.50,25.50
2014-03-19,28.00,0.50 (1.82 %),352240,28.50,28.50,27.80
2014-03-20,28.00,0.00 (0.00 %),218970,28.40,28.40,27.70
2014-03-21,26.90,-1.10 (-3.93 %),126370,28.00,28.00,26.30
2014-03-24,27.00,0.10 (0.37 %),203030,26.80,27.00,26.80
2014-03-25,26.60,-0.40 (-1.48 %),188530,27.10,27.10,26.50
2014-03-26,26.30,-0.30 (-1.13 %),291350,26.60,26.90,26.00
2014-03-27,26.50,0.20 (0.76 %),150930,26.30,26.80,26.10
2014-03-28,26.80,0.30 (1.13 %),31960,26.50,27.50,26.50
2014-03-31,25.70,-1.10 (-4.10 %),29430,26.80,26.80,25.70
2014-04-01,25.20,-0.50 (-1.95 %),30580,25.00,25.90,25.00
2014-04-02,25.40,0.20 (0.79 %),24430,25.00,26.40,25.00
2014-04-03,24.50,-0.90 (-3.54 %),23800,25.60,25.70,24.50
2014-04-04,24.60,0.10 (0.41 %),4130,23.70,25.20,23.70
2014-04-07,24.80,0.20 (0.81 %),3700,25.40,25.40,24.80
