date,close,change,volume,open,high,low
2017-07-10,41.50,0.00 (0.00 %),1200,42.00,42.00,41.50
2017-07-11,41.60,0.00 (0.00 %),0,41.6,41.60,41.60
2017-07-12,35.40,-6.20 (-14.90 %),2000,35.40,35.40,35.40
2017-07-13,35.50,0.10 (0.28 %),3200,38.0,38.00,35.00
2017-07-14,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-07-17,36.90,0.00 (0.00 %),0,36.9,36.90,36.90
2017-07-18,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-07-19,36.90,0.00 (0.00 %),0,36.9,36.90,36.90
2017-07-20,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-07-21,36.90,0.00 (0.00 %),0,36.9,36.90,36.90
2017-07-24,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-07-25,36.90,0.00 (0.00 %),0,36.9,36.90,36.90
2017-07-26,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-07-27,36.90,0.00 (0.00 %),0,36.9,36.90,36.90
2017-07-28,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-07-31,36.90,0.00 (0.00 %),0,36.9,36.90,36.90
2017-08-01,36.90,0.00 (0.00 %),0,36.90,36.90,36.90
2017-08-02,32.00,-4.90 (-13.28 %),2000,32.0,32.00,32.00
2017-08-03,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-04,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-07,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-08,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-09,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-10,32.00,0.00 (0.00 %),3000,32.0,32.00,32.00
2017-08-11,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-14,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-15,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-16,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-17,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-18,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-21,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-22,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-23,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-24,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-25,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-28,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-29,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-08-30,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-08-31,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-01,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-05,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-06,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-07,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-08,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-12,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-13,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-14,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-15,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-18,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-19,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-20,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-21,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-22,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-25,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-26,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-27,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-09-28,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-09-29,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-02,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-10-03,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-04,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-10-05,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-06,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-10-09,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-10,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-10-11,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-12,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-10-13,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-16,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
2017-10-17,32.00,0.00 (0.00 %),0,32.0,32.00,32.00
2017-10-18,32.00,0.00 (0.00 %),0,32.00,32.00,32.00
