date,close,change,volume,open,high,low
2016-03-15,45.20,0.00 (0.00 %),0,45.2,45.20,45.20
2016-03-16,45.20,0.00 (0.00 %),0,45.20,45.20,45.20
2016-03-17,45.20,0.00 (0.00 %),0,45.2,45.20,45.20
2016-03-18,45.20,0.00 (0.00 %),0,45.20,45.20,45.20
2016-03-21,45.20,0.00 (0.00 %),0,45.2,45.20,45.20
2016-03-22,45.20,0.00 (0.00 %),0,45.20,45.20,45.20
2016-03-23,45.20,0.00 (0.00 %),0,45.2,45.20,45.20
2016-03-24,45.20,0.00 (0.00 %),0,45.20,45.20,45.20
2016-03-25,45.20,0.00 (0.00 %),0,45.2,45.20,45.20
2016-03-28,45.20,0.00 (0.00 %),0,45.20,45.20,45.20
2016-03-29,45.20,0.00 (0.00 %),0,45.2,45.20,45.20
2016-03-30,50.00,4.80 (10.62 %),600,50.00,50.00,50.00
2016-03-31,50.00,0.00 (0.00 %),60,50.0,50.00,50.00
2016-04-01,50.00,0.00 (0.00 %),30,50.00,50.00,50.00
2016-04-04,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-05,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-06,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-07,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-08,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-11,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-12,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-13,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-14,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-15,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-19,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-20,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-21,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-22,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-25,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-26,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-27,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-04-28,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-04-29,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-04,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-05-05,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-06,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-05-09,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-10,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-05-11,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-12,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-05-13,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-16,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-05-17,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-18,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
2016-05-19,50.00,0.00 (0.00 %),0,50.0,50.00,50.00
2016-05-20,50.00,0.00 (0.00 %),0,50.00,50.00,50.00
