date,close,change,volume,open,high,low
2017-03-06,24.50,-0.30 (-1.21 %),600,25.5,25.50,24.50
2017-03-07,24.50,0.00 (0.00 %),5400,25.50,25.50,24.00
2017-03-08,25.30,0.80 (3.27 %),100,25.3,25.30,25.30
2017-03-09,25.50,0.20 (0.79 %),15000,24.00,25.50,24.00
2017-03-10,25.50,0.00 (0.00 %),22300,25.5,25.50,24.50
2017-03-13,25.50,0.00 (0.00 %),0,25.50,25.50,25.50
2017-03-14,24.90,-0.60 (-2.35 %),5500,25.0,25.00,24.50
2017-03-15,25.00,0.10 (0.40 %),2400,25.50,25.50,24.50
2017-03-16,24.90,-0.10 (-0.40 %),3100,24.5,24.90,24.30
2017-03-17,25.40,0.50 (2.01 %),100,25.40,25.40,25.40
2017-03-20,24.20,-1.20 (-4.72 %),6200,24.5,24.90,24.20
2017-03-21,24.50,0.30 (1.24 %),16700,25.00,25.00,23.70
2017-03-22,24.10,-0.40 (-1.63 %),5200,24.1,24.30,24.00
2017-03-23,24.00,-0.10 (-0.41 %),1100,24.50,24.50,24.00
2017-03-24,24.00,0.00 (0.00 %),2000,24.0,24.00,24.00
2017-03-27,24.40,0.40 (1.67 %),400,24.50,24.50,23.70
2017-03-28,24.00,-0.40 (-1.64 %),600,24.0,24.00,24.00
2017-03-29,24.00,0.00 (0.00 %),400,24.50,24.50,24.00
2017-03-30,23.60,-0.40 (-1.67 %),400,23.8,23.80,23.60
2017-03-31,23.80,0.20 (0.85 %),6400,24.00,24.00,21.50
2017-04-03,23.80,0.00 (0.00 %),0,23.8,23.80,23.80
2017-04-04,23.40,-0.40 (-1.68 %),1000,23.50,23.50,22.50
2017-04-05,22.00,-1.40 (-5.98 %),15700,22.0,23.00,21.50
2017-04-07,22.00,0.00 (0.00 %),2200,22.00,22.00,22.00
2017-04-10,22.20,0.20 (0.91 %),700,22.5,22.50,21.40
2017-04-11,22.00,-0.20 (-0.90 %),9600,21.50,22.20,21.50
