date,close,change,volume,open,high,low
2009-06-26,17.30,1.50 (9.49 %),2500,15.8,17.30,15.80
2009-06-29,15.50,-1.80 (-10.40 %),500,16.90,15.60,15.30
2009-06-30,15.00,-0.50 (-3.23 %),310,15.5,17.00,15.00
2009-07-01,15.70,0.70 (4.67 %),0,15.70,15.70,15.70
2009-07-02,15.70,0.00 (0.00 %),100,15.7,15.70,15.70
2009-07-03,14.30,-1.40 (-8.92 %),200,15.70,15.70,14.30
2009-07-06,13.50,-0.80 (-5.59 %),13430,15.0,14.20,13.50
2009-07-07,12.20,-1.30 (-9.63 %),16770,13.50,12.20,12.20
2009-07-08,11.10,-1.10 (-9.02 %),65340,12.2,11.20,11.00
2009-07-09,11.00,-0.10 (-0.90 %),9158,11.00,11.10,9.90
2009-07-10,11.00,0.00 (0.00 %),1996,10.3,11.30,11.00
2009-07-13,11.00,0.00 (0.00 %),4471,11.10,12.20,10.10
2009-07-14,9.90,-1.10 (-10.00 %),15700,10.8,11.80,9.80
2009-07-15,10.00,0.10 (1.01 %),11689,10.60,11.60,9.90
2009-07-16,11.10,1.10 (11.00 %),230,10.1,11.10,10.50
2009-07-17,10.00,-1.10 (-9.91 %),6205,10.60,10.00,9.60
2009-07-20,10.60,0.60 (6.00 %),5180,9.7,10.60,9.80
2009-07-21,11.20,0.60 (5.66 %),1820,10.20,11.20,10.20
2009-07-22,10.40,-0.80 (-7.14 %),2130,10.4,11.40,9.50
2009-07-23,10.30,-0.10 (-0.96 %),4900,10.40,11.10,9.40
2009-07-24,10.50,0.20 (1.94 %),24850,10.8,11.80,10.50
2009-07-27,10.20,-0.30 (-2.86 %),6979,11.00,12.10,9.90
2009-07-28,9.90,-0.30 (-2.94 %),78548,10.9,11.90,9.90
2009-07-29,10.50,0.60 (6.06 %),2330,11.60,11.00,10.50
2009-07-30,9.50,-1.00 (-9.52 %),19310,10.5,9.60,9.50
2009-07-31,10.30,0.80 (8.42 %),3940,9.50,10.40,10.00
2009-08-03,9.40,-0.90 (-8.74 %),1200,10.3,11.00,9.30
2009-08-04,10.60,1.20 (12.77 %),10,9.70,10.60,10.60
2009-08-05,10.00,-0.60 (-5.66 %),420,10.6,10.50,10.00
2009-08-06,9.50,-0.50 (-5.00 %),13850,10.50,10.00,9.50
2009-08-07,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2009-08-10,9.80,0.30 (3.16 %),191110,9.20,10.10,9.50
2009-08-11,9.20,-0.60 (-6.12 %),3410,10.0,11.00,9.10
