date,close,change,volume,open,high,low
2017-03-02,17.10,-0.90 (-5.00 %),320,17.05,17.10,17.05
2017-03-03,18.00,0.90 (5.26 %),3660,17.95,18.00,17.95
2017-03-06,19.00,1.00 (5.56 %),750,18.00,19.00,18.00
2017-03-07,19.00,0.00 (0.00 %),2000,18.65,19.00,18.65
2017-03-08,19.30,0.30 (1.58 %),60,17.85,19.30,17.85
2017-03-09,19.20,-0.10 (-0.52 %),20,19.30,19.30,19.20
2017-03-10,18.00,-1.20 (-6.25 %),20,19.20,19.20,18.00
2017-03-13,18.45,0.45 (2.50 %),30,18.45,18.45,18.45
2017-03-14,18.50,0.05 (0.27 %),300,17.30,18.50,17.30
2017-03-15,18.00,-0.50 (-2.70 %),3000,18.00,18.00,18.00
2017-03-16,18.00,0.00 (0.00 %),4960,18.00,18.10,18.00
2017-03-17,18.50,0.50 (2.78 %),500,18.50,18.50,18.50
2017-03-20,18.50,0.00 (0.00 %),20,18.50,18.50,18.50
2017-03-21,19.50,1.00 (5.41 %),710,17.25,19.50,17.25
2017-03-22,19.00,-0.50 (-2.56 %),8020,20.00,20.00,19.00
2017-03-23,20.00,1.00 (5.26 %),60,20.00,20.00,20.00
2017-03-24,19.00,-1.00 (-5.00 %),1970,18.60,19.00,18.60
2017-03-27,18.50,-0.50 (-2.63 %),30,18.50,18.50,18.50
2017-03-28,18.50,0.00 (0.00 %),10,18.50,18.50,18.50
2017-03-29,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-03-30,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-03-31,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-04-03,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-04-04,18.50,0.00 (0.00 %),2100,18.60,18.60,18.50
2017-04-05,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-04-07,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-04-10,19.00,0.50 (2.70 %),9030,18.50,19.00,18.50
2017-04-11,18.50,-0.50 (-2.63 %),5500,18.50,18.50,18.50
2017-04-12,18.50,0.00 (0.00 %),260,19.50,19.50,18.50
2017-04-13,18.70,0.20 (1.08 %),400,18.70,18.70,18.70
2017-04-14,18.70,0.00 (0.00 %),5000,18.70,18.70,18.70
2017-04-17,18.70,0.00 (0.00 %),0,18.70,18.70,18.70
2017-04-18,18.00,-0.70 (-3.74 %),20,18.00,18.00,18.00
2017-04-19,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-20,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-21,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-24,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-25,17.50,-0.50 (-2.78 %),5000,17.50,17.50,17.50
2017-04-26,17.10,-0.40 (-2.29 %),70,17.10,17.10,17.10
2017-04-27,17.10,0.00 (0.00 %),0,17.10,17.10,17.10
2017-04-28,17.10,0.00 (0.00 %),0,17.10,17.10,17.10
2017-05-03,18.25,1.15 (6.73 %),60,18.25,18.25,18.25
2017-05-04,17.50,-0.75 (-4.11 %),3000,17.50,17.50,17.50
2017-05-05,17.00,-0.50 (-2.86 %),2130,18.25,18.25,17.00
2017-05-08,17.50,0.50 (2.94 %),3000,17.00,17.50,17.00
2017-05-09,18.00,0.50 (2.86 %),60,18.00,18.00,18.00
2017-05-10,17.50,-0.50 (-2.78 %),3000,17.50,17.50,17.50
2017-05-11,17.50,0.00 (0.00 %),0,17.50,17.50,17.50
2017-05-12,18.50,1.00 (5.71 %),400,17.05,18.50,17.05
2017-05-15,18.50,0.00 (0.00 %),3980,18.50,18.50,18.50
2017-05-16,18.50,0.00 (0.00 %),10,18.50,18.50,18.50
2017-05-17,19.75,1.25 (6.76 %),20,18.50,19.75,18.50
2017-05-18,21.05,1.30 (6.58 %),20,19.75,21.05,19.75
2017-05-19,21.95,0.90 (4.28 %),20,21.00,21.95,21.00
2017-05-22,21.95,0.00 (0.00 %),110,20.50,21.95,20.50
2017-05-23,20.45,-1.50 (-6.83 %),250,20.45,20.45,20.45
2017-05-24,20.00,-0.45 (-2.20 %),10,20.00,20.00,20.00
2017-05-25,20.00,0.00 (0.00 %),0,20.00,20.00,20.00
2017-05-26,18.60,-1.40 (-7.00 %),30,18.60,18.60,18.60
2017-05-29,19.70,1.10 (5.91 %),230,17.30,19.70,17.30
2017-05-30,19.70,0.00 (0.00 %),0,19.70,19.70,19.70
2017-05-31,20.50,0.80 (4.06 %),10,20.50,20.50,20.50
2017-06-01,20.50,0.00 (0.00 %),0,20.50,20.50,20.50
2017-06-02,19.10,-1.40 (-6.83 %),10,19.10,19.10,19.10
2017-06-05,19.10,0.00 (0.00 %),0,19.10,19.10,19.10
2017-06-06,18.50,-0.60 (-3.14 %),2180,17.80,18.50,17.80
2017-06-07,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-06-08,18.50,0.00 (0.00 %),5000,18.50,18.50,18.50
2017-06-09,19.75,1.25 (6.76 %),20,19.75,19.75,19.75
2017-06-12,19.75,0.00 (0.00 %),0,19.75,19.75,19.75
2017-06-13,21.00,1.25 (6.33 %),10,21.00,21.00,21.00
2017-06-14,21.00,0.00 (0.00 %),0,21.00,21.00,21.00
2017-06-15,21.00,0.00 (0.00 %),0,21.00,21.00,21.00
2017-06-16,20.00,-1.00 (-4.76 %),3350,20.00,20.00,20.00
2017-06-19,21.00,1.00 (5.00 %),30,18.60,21.00,18.60
2017-06-20,19.55,-1.45 (-6.90 %),50,19.55,19.55,19.55
2017-06-21,20.80,1.25 (6.39 %),60,18.25,20.80,18.25
2017-06-22,19.40,-1.40 (-6.73 %),30,19.35,21.60,19.35
2017-06-23,19.45,0.75 (4.01 %),20,19.45,19.45,19.45
2017-06-26,19.45,0.00 (0.00 %),0,19.45,19.45,19.45
2017-06-27,19.00,-0.45 (-2.31 %),480,19.00,19.00,19.00
2017-06-28,20.25,1.25 (6.58 %),10,20.25,20.25,20.25
2017-06-29,20.20,-0.05 (-0.25 %),10,20.20,20.20,20.20
2017-06-30,19.00,-1.20 (-5.94 %),2000,19.00,19.00,19.00
2017-07-03,20.10,1.10 (5.79 %),20,20.25,20.25,20.10
2017-07-04,19.50,-0.60 (-2.99 %),10,19.50,19.50,19.50
2017-07-05,19.50,0.00 (0.00 %),1000,19.50,19.50,19.50
2017-07-06,19.30,-0.20 (-1.03 %),5010,19.50,19.50,19.30
2017-07-07,20.00,0.70 (3.63 %),1100,19.50,20.00,19.50
2017-07-10,21.10,1.10 (5.50 %),110,20.00,21.10,20.00
2017-07-11,21.35,0.25 (1.18 %),20,21.35,21.35,21.35
2017-07-12,19.90,-1.45 (-6.79 %),20,19.90,19.90,19.90
2017-07-13,21.00,1.10 (5.53 %),7500,18.60,21.00,18.60
2017-07-14,21.70,0.70 (3.33 %),20,21.85,21.85,21.70
2017-07-17,22.50,0.80 (3.69 %),110,20.20,22.50,20.20
2017-07-18,20.95,-1.55 (-6.89 %),10,20.95,20.95,20.95
2017-07-19,19.50,-1.45 (-6.92 %),50,20.95,20.95,19.50
2017-07-20,19.00,-0.50 (-2.56 %),1110,19.50,19.50,19.00
2017-07-21,20.25,1.25 (6.58 %),1190,19.00,20.25,17.70
2017-07-24,21.00,0.75 (3.70 %),10,21.00,21.00,21.00
2017-07-25,21.00,0.00 (0.00 %),0,21.00,21.00,21.00
2017-07-26,19.55,-1.45 (-6.90 %),10,19.55,19.55,19.55
2017-07-27,19.00,-0.55 (-2.81 %),930,19.60,20.25,19.00
2017-07-28,20.25,1.25 (6.58 %),7410,18.60,20.25,18.50
2017-07-31,20.80,0.55 (2.72 %),100,20.80,20.80,20.80
2017-08-01,19.35,-1.45 (-6.97 %),20,19.35,19.35,19.35
2017-08-02,19.50,0.15 (0.78 %),1000,19.50,19.50,19.50
2017-08-03,19.00,-0.50 (-2.56 %),1120,20.00,20.00,19.00
2017-08-04,19.00,0.00 (0.00 %),10,19.00,19.00,19.00
2017-08-07,19.00,0.00 (0.00 %),1490,19.00,19.00,19.00
2017-08-08,19.00,0.00 (0.00 %),5000,19.00,19.00,19.00
2017-08-09,19.00,0.00 (0.00 %),70,19.00,19.00,19.00
2017-08-10,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2017-08-11,19.00,0.00 (0.00 %),40,18.70,19.00,18.70
2017-08-14,19.00,0.00 (0.00 %),2700,18.50,19.00,18.00
2017-08-15,19.70,0.70 (3.68 %),100,19.70,19.70,19.70
2017-08-16,19.70,0.00 (0.00 %),0,19.70,19.70,19.70
2017-08-17,19.70,0.00 (0.00 %),0,19.70,19.70,19.70
2017-08-18,19.70,0.00 (0.00 %),0,19.70,19.70,19.70
2017-08-21,19.70,0.00 (0.00 %),0,19.70,19.70,19.70
2017-08-22,19.70,0.00 (0.00 %),0,19.70,19.70,19.70
2017-08-23,19.00,-0.70 (-3.55 %),2000,19.00,19.00,19.00
2017-08-24,17.70,-1.30 (-6.84 %),1600,17.70,17.70,17.70
2017-08-25,18.90,1.20 (6.78 %),240,18.85,18.90,18.85
2017-08-28,18.50,-0.40 (-2.12 %),5040,19.30,20.20,18.50
2017-08-29,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-08-30,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-08-31,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-09-01,18.50,0.00 (0.00 %),4510,18.50,18.50,18.50
2017-09-05,19.70,1.20 (6.49 %),1210,18.00,19.70,18.00
2017-09-06,19.90,0.20 (1.02 %),3030,20.00,20.00,18.50
2017-09-07,19.90,0.00 (0.00 %),0,19.90,19.90,19.90
2017-09-08,21.25,1.35 (6.78 %),30,19.90,21.25,19.90
2017-09-11,19.80,-1.45 (-6.82 %),190,20.00,21.95,19.80
2017-09-12,19.00,-0.80 (-4.04 %),2510,20.95,20.95,19.00
2017-09-13,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2017-09-14,17.80,-1.20 (-6.32 %),10,17.80,17.80,17.80
2017-09-15,18.15,0.35 (1.97 %),5170,16.60,19.00,16.60
2017-09-18,18.50,0.35 (1.93 %),2100,18.50,18.50,18.50
2017-09-19,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-09-20,17.35,-1.15 (-6.22 %),10,17.35,17.35,17.35
2017-09-21,16.35,-1.00 (-5.76 %),10,16.35,16.35,16.35
2017-09-22,17.45,1.10 (6.73 %),10,17.45,17.45,17.45
2017-09-25,18.65,1.20 (6.88 %),4120,16.35,18.65,16.35
2017-09-26,19.90,1.25 (6.70 %),1140,18.70,19.95,18.70
2017-09-27,20.90,1.00 (5.03 %),140,19.50,21.00,19.50
2017-09-28,19.45,-1.45 (-6.94 %),1480,21.20,22.30,19.45
2017-09-29,19.50,0.05 (0.26 %),6140,19.00,20.65,18.50
2017-10-02,18.90,-0.60 (-3.08 %),4280,20.00,20.85,18.50
2017-10-03,18.50,-0.40 (-2.12 %),1270,20.15,20.15,18.50
2017-10-04,19.15,0.65 (3.51 %),1010,18.50,19.15,18.50
2017-10-05,19.45,0.30 (1.57 %),30,20.45,20.45,19.45
2017-10-06,19.00,-0.45 (-2.31 %),13510,19.95,19.95,19.00
2017-10-09,18.65,-0.35 (-1.84 %),3010,19.00,19.00,18.65
2017-10-10,18.65,0.00 (0.00 %),0,18.65,18.65,18.65
2017-10-11,18.50,-0.15 (-0.80 %),12000,18.70,18.70,18.50
2017-10-12,18.50,0.00 (0.00 %),3300,18.50,18.50,18.50
2017-10-13,18.50,0.00 (0.00 %),400,18.50,18.50,18.50
2017-10-16,19.00,0.50 (2.70 %),1970,18.90,19.00,18.90
2017-10-17,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2017-10-18,20.00,1.00 (5.26 %),3910,19.00,20.00,19.00
2017-10-19,19.00,-1.00 (-5.00 %),10,19.00,19.00,19.00
2017-10-20,19.00,0.00 (0.00 %),100,19.00,19.00,19.00
2017-10-23,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2017-10-24,17.70,-1.30 (-6.84 %),16000,18.50,18.50,17.70
2017-10-25,18.00,0.30 (1.69 %),3000,18.00,18.00,18.00
2017-10-26,18.50,0.50 (2.78 %),4000,18.50,18.50,18.50
2017-10-27,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-10-30,18.60,0.10 (0.54 %),600,18.60,18.60,18.60
2017-10-31,18.50,-0.10 (-0.54 %),600,18.50,18.50,18.50
2017-11-01,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2017-11-02,19.00,0.50 (2.70 %),5000,18.50,19.00,18.50
2017-11-03,19.00,0.00 (0.00 %),700,19.00,19.00,19.00
2017-11-06,19.00,0.00 (0.00 %),890,19.00,19.10,19.00
2017-11-07,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2017-11-08,19.50,0.50 (2.63 %),2000,19.50,19.50,19.50
2017-11-09,19.50,0.00 (0.00 %),0,19.50,19.50,19.50
2017-11-10,19.15,-0.35 (-1.79 %),120,20.00,20.00,19.15
2017-11-13,20.00,0.85 (4.44 %),1110,18.00,20.00,17.90
2017-11-14,20.00,0.00 (0.00 %),0,20.00,20.00,20.00
2017-11-15,20.00,0.00 (0.00 %),0,20.00,20.00,20.00
2017-11-16,18.60,-1.40 (-7.00 %),1090,18.60,18.60,18.60
2017-11-17,18.60,0.00 (0.00 %),0,18.60,18.60,18.60
2017-11-20,18.00,-0.60 (-3.23 %),1810,18.50,18.50,18.00
2017-11-21,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-11-22,17.80,-0.20 (-1.11 %),250,17.80,17.80,17.75
2017-11-23,19.00,1.20 (6.74 %),10,19.00,19.00,19.00
2017-11-24,18.05,-0.95 (-5.00 %),10,18.05,18.05,18.05
2017-11-27,17.85,-0.20 (-1.11 %),2810,17.75,18.00,17.75
2017-11-28,19.05,1.20 (6.72 %),180,19.05,19.05,18.90
2017-11-29,20.30,1.25 (6.56 %),10,20.30,20.30,20.30
2017-11-30,18.90,-1.40 (-6.90 %),266550,18.90,20.30,18.90
2017-12-01,17.85,-1.05 (-5.56 %),20,17.75,17.85,17.75
2017-12-04,19.00,1.15 (6.44 %),1370,18.00,19.00,18.00
2017-12-05,18.30,-0.70 (-3.68 %),10,18.30,18.30,18.30
2017-12-06,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2017-12-07,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2017-12-08,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2017-12-11,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2017-12-12,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2017-12-13,19.40,1.10 (6.01 %),10,19.40,19.40,19.40
2017-12-14,18.05,-1.35 (-6.96 %),10,18.05,18.05,18.05
2017-12-15,19.30,1.25 (6.93 %),1780,18.00,19.30,18.00
2017-12-18,19.20,-0.10 (-0.52 %),30,18.05,19.20,18.05
2017-12-19,19.20,0.00 (0.00 %),0,19.20,19.20,19.20
2017-12-20,18.25,-0.95 (-4.95 %),10,18.25,18.25,18.25
2017-12-21,17.85,-0.40 (-2.19 %),780,18.15,18.15,17.85
2017-12-22,17.85,0.00 (0.00 %),0,17.85,17.85,17.85
2017-12-25,17.85,0.00 (0.00 %),0,17.85,17.85,17.85
2017-12-26,16.80,-1.05 (-5.88 %),30,16.80,16.80,16.80
2017-12-27,17.95,1.15 (6.85 %),10,17.95,17.95,17.95
2017-12-28,19.00,1.05 (5.85 %),200,19.00,19.00,19.00
2017-12-29,18.15,-0.85 (-4.47 %),13470,17.80,20.30,17.80
2018-01-02,18.15,0.00 (0.00 %),150,18.15,18.15,18.15
2018-01-03,18.15,0.00 (0.00 %),0,18.15,18.15,18.15
2018-01-04,19.40,1.25 (6.89 %),1420,19.40,19.40,19.40
2018-01-05,19.40,0.00 (0.00 %),30,19.40,19.40,19.40
2018-01-08,18.20,-1.20 (-6.19 %),10,18.20,18.20,18.20
2018-01-09,18.20,0.00 (0.00 %),0,18.20,18.20,18.20
2018-01-10,18.20,0.00 (0.00 %),0,18.20,18.20,18.20
2018-01-11,18.50,0.30 (1.65 %),300,17.50,18.50,17.50
2018-01-12,19.60,1.10 (5.95 %),20,17.30,19.60,17.30
2018-01-15,18.30,-1.30 (-6.63 %),10,18.30,18.30,18.30
2018-01-16,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2018-01-17,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2018-01-18,18.30,0.00 (0.00 %),0,18.30,18.30,18.30
2018-01-19,18.50,0.20 (1.09 %),150,17.30,18.50,17.30
2018-01-22,18.50,0.00 (0.00 %),0,18.50,18.50,18.50
2018-01-25,19.00,0.50 (2.70 %),1730,17.25,19.00,17.25
2018-01-26,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2018-01-29,17.95,-1.05 (-5.53 %),10,17.95,17.95,17.95
2018-01-30,18.00,0.05 (0.28 %),20,16.70,18.00,16.70
2018-01-31,17.40,-0.60 (-3.33 %),9270,18.50,18.50,17.40
2018-02-01,17.55,0.15 (0.86 %),2780,17.40,18.60,17.40
2018-02-02,17.60,0.05 (0.28 %),120,17.70,17.70,17.60
2018-02-05,17.60,0.00 (0.00 %),10,17.60,17.60,17.60
2018-02-06,17.60,0.00 (0.00 %),0,17.60,17.60,17.60
2018-02-07,17.60,0.00 (0.00 %),0,17.60,17.60,17.60
2018-02-08,17.60,0.00 (0.00 %),0,17.60,17.60,17.60
2018-02-09,17.60,0.00 (0.00 %),20,17.60,17.60,17.60
2018-02-12,17.65,0.05 (0.28 %),30,18.70,18.70,17.65
2018-02-13,17.65,0.00 (0.00 %),0,17.65,17.65,17.65
2018-02-21,18.85,1.20 (6.80 %),10,18.85,18.85,18.85
2018-02-22,20.10,1.25 (6.63 %),10,20.10,20.10,20.10
2018-02-23,18.70,-1.40 (-6.97 %),4040,19.00,19.00,18.70
2018-02-26,19.00,0.30 (1.60 %),3980,19.00,20.00,19.00
2018-02-27,19.00,0.00 (0.00 %),0,19.00,19.00,19.00
2018-02-28,19.70,0.70 (3.68 %),40,18.30,19.70,18.30
2018-03-01,19.50,-0.20 (-1.02 %),2210,19.00,19.50,19.00
2018-03-02,19.50,0.00 (0.00 %),0,19.50,19.50,19.50
2018-03-05,19.50,0.00 (0.00 %),90,20.85,20.85,19.50
2018-03-06,19.50,0.00 (0.00 %),10,19.50,19.50,19.50
2018-03-07,19.50,0.00 (0.00 %),1300,19.70,20.30,19.50
2018-03-08,19.60,0.10 (0.51 %),280,19.50,20.20,19.45
2018-03-09,19.50,-0.10 (-0.51 %),50,18.60,19.50,18.60
2018-03-12,19.00,-0.50 (-2.56 %),5550,19.50,19.00,18.50
2018-03-13,19.00,0.00 (0.00 %),110,19.00,19.15,19.00
