date,close,change,volume,open,high,low
2017-02-24,11.00,1.20 (12.24 %),700,11.0,11.00,11.00
2017-02-27,12.60,1.60 (14.55 %),100,12.60,12.60,12.60
2017-02-28,14.00,1.40 (11.11 %),400,14.0,14.00,14.00
2017-03-01,14.00,0.00 (0.00 %),0,14.00,14.00,14.00
2017-03-02,11.90,-2.10 (-15.00 %),300,11.9,11.90,11.90
2017-03-03,10.20,-1.70 (-14.29 %),200,10.20,10.20,10.20
2017-03-06,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-03-07,11.70,1.50 (14.71 %),206,11.70,11.70,11.70
2017-03-08,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-03-09,13.40,1.70 (14.53 %),500,13.40,13.40,13.40
2017-03-10,13.40,0.00 (0.00 %),90,13.4,13.40,13.40
2017-03-13,13.40,0.00 (0.00 %),0,13.40,13.40,13.40
2017-03-14,13.40,0.00 (0.00 %),0,13.4,13.40,13.40
2017-03-15,15.40,2.00 (14.93 %),1640,15.40,15.40,15.40
2017-03-16,15.40,0.00 (0.00 %),1000,15.4,15.40,15.40
2017-03-17,15.40,0.00 (0.00 %),0,15.40,15.40,15.40
2017-03-20,15.40,0.00 (0.00 %),100,15.4,15.40,15.40
2017-03-21,15.40,0.00 (0.00 %),0,15.40,15.40,15.40
2017-03-22,15.40,0.00 (0.00 %),36,15.4,15.40,15.40
2017-03-23,15.40,0.00 (0.00 %),0,15.40,15.40,15.40
2017-03-24,15.40,0.00 (0.00 %),0,15.4,15.40,15.40
2017-03-27,15.40,0.00 (0.00 %),0,15.40,15.40,15.40
2017-03-28,15.40,0.00 (0.00 %),0,15.4,15.40,15.40
2017-03-29,15.40,0.00 (0.00 %),0,15.40,15.40,15.40
2017-03-30,15.40,0.00 (0.00 %),0,15.4,15.40,15.40
2017-03-31,17.70,2.30 (14.94 %),100,17.70,17.70,17.70
2017-04-03,17.70,0.00 (0.00 %),0,17.7,17.70,17.70
2017-04-04,17.70,0.00 (0.00 %),0,17.70,17.70,17.70
2017-04-05,17.70,0.00 (0.00 %),0,17.7,17.70,17.70
2017-04-07,20.30,2.60 (14.69 %),100,20.30,20.30,20.30
2017-04-10,20.30,0.00 (0.00 %),0,20.3,20.30,20.30
2017-04-11,20.30,0.00 (0.00 %),0,20.30,20.30,20.30
2017-04-12,20.30,0.00 (0.00 %),0,20.3,20.30,20.30
2017-04-13,20.30,0.00 (0.00 %),0,20.30,20.30,20.30
2017-04-14,23.30,3.00 (14.78 %),100,23.3,23.30,23.30
2017-04-17,23.30,0.00 (0.00 %),0,23.30,23.30,23.30
2017-04-18,23.30,0.00 (0.00 %),0,23.3,23.30,23.30
2017-04-19,23.30,0.00 (0.00 %),0,23.30,23.30,23.30
2017-04-20,23.30,0.00 (0.00 %),0,23.3,23.30,23.30
2017-04-21,23.30,0.00 (0.00 %),0,23.30,23.30,23.30
2017-04-24,23.30,0.00 (0.00 %),0,23.3,23.30,23.30
2017-04-25,23.30,0.00 (0.00 %),0,23.30,23.30,23.30
2017-04-26,23.30,0.00 (0.00 %),0,23.3,23.30,23.30
2017-04-27,23.30,0.00 (0.00 %),0,23.30,23.30,23.30
2017-04-28,23.30,0.00 (0.00 %),0,23.3,23.30,23.30
2017-05-03,23.30,0.00 (0.00 %),0,23.30,23.30,23.30
2017-05-04,23.30,0.00 (0.00 %),10,23.3,23.30,23.30
2017-05-05,26.70,3.40 (14.59 %),120,26.70,26.70,26.70
2017-05-08,26.70,0.00 (0.00 %),0,26.7,26.70,26.70
2017-05-09,26.70,0.00 (0.00 %),0,26.70,26.70,26.70
2017-05-10,26.70,0.00 (0.00 %),0,26.7,26.70,26.70
2017-05-11,26.70,0.00 (0.00 %),0,26.70,26.70,26.70
2017-05-12,30.70,4.00 (14.98 %),100,30.7,30.70,30.70
2017-05-15,30.70,0.00 (0.00 %),0,30.70,30.70,30.70
2017-05-16,30.70,0.00 (0.00 %),0,30.7,30.70,30.70
2017-05-17,26.10,-4.60 (-14.98 %),106,26.10,26.10,26.10
2017-05-18,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-05-19,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-05-22,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-05-23,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-05-24,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-05-25,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-05-26,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-05-29,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-05-30,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-05-31,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-01,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-02,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-05,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-06,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-07,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-08,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-09,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-12,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-13,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-14,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-16,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-19,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-20,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-21,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-22,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-23,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-26,26.10,0.00 (0.00 %),0,26.1,26.10,26.10
2017-06-27,26.10,0.00 (0.00 %),0,26.10,26.10,26.10
2017-06-28,15.70,-10.40 (-39.85 %),100,15.7,15.70,15.70
2017-06-29,15.70,0.00 (0.00 %),0,15.70,15.70,15.70
2017-06-30,13.40,-2.30 (-14.65 %),100,13.4,13.40,13.40
2017-07-03,13.00,-0.40 (-2.99 %),100,13.00,13.00,13.00
2017-07-04,13.00,0.00 (0.00 %),114,13.0,13.00,13.00
2017-07-05,13.00,0.00 (0.00 %),0,13.00,13.00,13.00
2017-07-06,13.00,0.00 (0.00 %),0,13.0,13.00,13.00
2017-07-07,14.90,1.90 (14.62 %),400,14.90,14.90,14.90
2017-07-10,14.90,0.00 (0.00 %),0,14.9,14.90,14.90
2017-07-11,14.90,0.00 (0.00 %),0,14.90,14.90,14.90
2017-07-12,14.90,0.00 (0.00 %),0,14.9,14.90,14.90
2017-07-13,14.90,0.00 (0.00 %),0,14.90,14.90,14.90
2017-07-14,14.90,0.00 (0.00 %),0,14.9,14.90,14.90
2017-07-17,14.90,0.00 (0.00 %),0,14.90,14.90,14.90
2017-07-18,14.90,0.00 (0.00 %),0,14.9,14.90,14.90
2017-07-19,14.90,0.00 (0.00 %),0,14.90,14.90,14.90
2017-07-20,14.90,0.00 (0.00 %),0,14.9,14.90,14.90
2017-07-21,14.90,0.00 (0.00 %),0,14.90,14.90,14.90
2017-07-24,14.90,0.00 (0.00 %),0,14.9,14.90,14.90
