date,close,change,volume,open,high,low
2017-02-24,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-02-27,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-02-28,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-01,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-02,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-03,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-06,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-07,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-08,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-09,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-10,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-13,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-14,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-15,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-16,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-17,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-20,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-21,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-22,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-23,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-24,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-27,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-28,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-29,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-03-30,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-03-31,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-03,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-04,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-05,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-07,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-10,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-11,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-12,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-13,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-14,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-17,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-18,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-19,13.70,0.00 (0.00 %),0,13.70,13.70,13.70
2017-04-20,13.70,0.00 (0.00 %),0,13.7,13.70,13.70
2017-04-21,8.30,-5.40 (-39.42 %),100,8.30,8.30,8.30
2017-04-24,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-04-25,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-04-26,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-04-27,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-04-28,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-03,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-04,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-05,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-08,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-09,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-10,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-11,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-12,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-15,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-16,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-17,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-18,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-19,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-22,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-23,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-24,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-25,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-26,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-29,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-05-30,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-05-31,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-06-01,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-06-02,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-06-05,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-06-06,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-06-07,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
2017-06-08,8.30,0.00 (0.00 %),0,8.30,8.30,8.30
2017-06-09,8.30,0.00 (0.00 %),0,8.3,8.30,8.30
