date,close,change,volume,open,high,low
2017-02-23,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-02-24,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-02-27,11.00,0.80 (7.84 %),100,11.0,11.00,11.00
2017-02-28,11.00,0.00 (0.00 %),100,11.00,11.00,11.00
2017-03-01,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2017-03-02,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2017-03-03,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2017-03-06,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2017-03-07,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2017-03-08,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2017-03-09,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2017-03-10,11.00,0.00 (0.00 %),100,11.00,11.00,11.00
2017-03-13,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2017-03-14,11.00,0.00 (0.00 %),100,11.00,11.00,11.00
2017-03-15,11.70,0.70 (6.36 %),100,11.7,11.70,11.70
2017-03-16,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-03-17,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-03-20,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-03-21,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-03-22,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-03-23,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-03-24,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-03-27,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-03-28,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-03-29,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-03-30,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-03-31,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-04-03,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-04-04,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-04-05,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-04-07,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-04-10,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-04-11,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-04-12,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-04-13,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-04-14,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-04-17,11.70,0.00 (0.00 %),0,11.7,11.70,11.70
2017-04-18,11.70,0.00 (0.00 %),0,11.70,11.70,11.70
2017-04-19,10.00,-1.70 (-14.53 %),1000,10.0,10.00,10.00
2017-04-20,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-21,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-24,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-25,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-26,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-04-27,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-04-28,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-03,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-04,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-05,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-08,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-09,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-10,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-11,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-12,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-15,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-16,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2017-05-17,10.00,0.00 (0.00 %),0,10.0,10.00,10.00
2017-05-18,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
