date,close,change,volume,open,high,low
2018-08-01,16.80,4.80 (40.00 %),18400,16.80,16.80,16.80
2018-08-02,16.80,0.00 (0.00 %),6600,19.0,19.00,16.80
2018-08-03,15.70,-2.70 (-14.67 %),2200,16.80,16.80,15.70
2018-08-06,13.50,-2.30 (-14.56 %),300,13.5,13.50,13.50
2018-08-07,11.50,-2.00 (-14.81 %),1400,11.50,11.50,11.50
2018-08-08,9.80,-1.70 (-14.78 %),49500,9.8,10.50,9.80
2018-08-09,10.40,0.60 (6.12 %),24500,10.00,10.50,9.80
2018-08-10,10.30,0.30 (3.00 %),16400,10.4,10.50,10.00
2018-08-13,10.30,0.00 (0.00 %),14800,10.30,10.30,10.20
2018-08-14,10.00,-0.30 (-2.91 %),8600,10.3,10.30,10.00
2018-08-15,9.50,-0.60 (-5.94 %),17100,10.10,10.30,9.50
2018-08-16,10.00,0.00 (0.00 %),5000,10.1,10.50,10.00
2018-08-17,10.00,-0.10 (-0.99 %),3000,10.10,10.10,10.00
2018-08-20,10.40,0.30 (2.97 %),700,10.2,10.40,10.20
2018-08-21,10.30,0.00 (0.00 %),127700,10.40,11.80,10.30
2018-08-22,11.40,0.60 (5.56 %),11100,11.0,11.40,10.80
2018-08-23,10.50,-0.40 (-3.67 %),15700,10.90,10.90,10.50
2018-08-24,12.30,1.60 (14.95 %),89200,10.7,12.30,10.10
2018-08-27,13.40,1.70 (14.53 %),101800,13.00,13.40,12.60
2018-08-28,14.80,1.70 (12.98 %),79400,13.4,15.00,13.40
2018-08-29,16.40,2.10 (14.69 %),100900,14.30,16.40,14.30
2018-08-30,13.80,-2.10 (-13.21 %),76200,16.1,16.30,13.80
2018-08-31,14.10,-1.50 (-9.62 %),53200,13.70,14.90,13.30
2018-09-04,15.00,1.30 (9.49 %),36000,14.4,15.00,13.70
2018-09-05,14.30,-0.10 (-0.69 %),28600,13.30,14.30,13.30
2018-09-06,13.90,-0.40 (-2.80 %),28000,14.0,14.00,13.80
2018-09-07,13.00,-0.90 (-6.47 %),22200,14.00,14.00,13.00
2018-09-10,12.50,-1.10 (-8.09 %),18900,13.0,13.20,12.50
2018-09-11,12.90,0.00 (0.00 %),20300,12.70,13.00,11.50
2018-09-12,12.50,0.00 (0.00 %),33000,12.5,12.70,12.30
2018-09-13,13.00,0.50 (4.00 %),21100,13.00,13.20,12.70
2018-09-14,13.10,0.10 (0.77 %),23700,12.9,13.10,12.40
2018-09-17,14.40,1.50 (11.63 %),13000,13.00,14.40,13.00
2018-09-18,14.60,0.80 (5.80 %),30000,13.8,14.60,13.80
2018-09-19,13.50,-0.90 (-6.25 %),20700,13.80,14.20,13.40
2018-09-20,13.40,-0.30 (-2.19 %),15000,13.7,13.70,13.00
2018-09-21,11.50,-1.90 (-14.18 %),56100,12.50,12.50,11.40
2018-09-24,10.50,-1.30 (-11.02 %),76500,11.0,11.00,10.10
2018-09-25,11.80,1.50 (14.56 %),338200,10.20,11.80,10.20
2018-09-26,11.90,1.50 (14.42 %),669700,10.8,11.90,10.70
2018-09-27,12.90,1.60 (14.16 %),488100,11.50,12.90,11.50
2018-09-28,12.50,0.50 (4.17 %),345100,13.5,13.50,12.50
2018-10-01,12.60,0.00 (0.00 %),295900,12.50,13.50,12.50
2018-10-02,12.10,-0.80 (-6.20 %),225500,12.8,12.80,12.00
2018-10-03,12.50,0.30 (2.46 %),181900,12.10,12.80,12.10
2018-10-04,12.60,0.00 (0.00 %),168700,12.6,13.10,12.60
2018-10-05,12.60,-0.20 (-1.56 %),147100,12.60,13.30,12.60
2018-10-08,13.00,0.00 (0.00 %),160700,13.0,13.10,12.60
2018-10-09,12.80,-0.10 (-0.78 %),128500,12.90,13.20,12.50
2018-10-10,12.50,-0.40 (-3.10 %),158700,12.8,12.80,12.50
2018-10-11,12.10,-0.50 (-3.97 %),32400,12.50,12.50,12.10
2018-10-12,12.30,0.00 (0.00 %),4800,12.1,12.30,12.10
2018-10-15,13.00,0.80 (6.56 %),100,13.00,13.00,13.00
2018-10-16,12.30,-0.70 (-5.38 %),133300,13.0,13.00,12.30
2018-10-17,11.90,-0.60 (-4.80 %),98600,12.50,12.50,11.90
2018-10-18,12.00,-0.10 (-0.83 %),117000,12.0,12.20,12.00
2018-10-19,12.00,-0.10 (-0.83 %),49800,12.00,12.20,12.00
2018-10-22,11.80,-0.20 (-1.67 %),37000,11.9,12.00,11.80
2018-10-23,11.60,-0.30 (-2.52 %),50100,12.00,12.00,11.50
2018-10-24,12.00,0.40 (3.45 %),108500,13.3,13.30,11.50
2018-10-25,11.50,-0.20 (-1.71 %),51900,11.70,11.80,11.50
2018-10-26,11.50,0.00 (0.00 %),38300,12.0,12.00,11.50
2018-10-29,11.50,0.00 (0.00 %),4500,12.80,12.80,11.50
2018-10-30,11.90,0.40 (3.48 %),14800,11.6,11.90,11.30
2018-10-31,11.50,0.00 (0.00 %),33800,12.00,12.00,11.50
2018-11-01,11.50,-0.10 (-0.86 %),11800,11.8,11.80,11.50
2018-11-02,11.50,-0.30 (-2.54 %),24500,12.00,12.00,11.40
2018-11-05,11.50,-0.20 (-1.71 %),19000,11.8,11.80,11.50
2018-11-06,11.20,-0.50 (-4.27 %),78800,11.90,11.90,11.20
2018-11-07,10.40,-0.90 (-7.96 %),61800,11.4,11.40,10.40
2018-11-08,10.50,-0.40 (-3.67 %),112200,10.80,10.80,10.50
2018-11-09,10.50,-0.30 (-2.78 %),104600,10.7,10.70,10.50
2018-11-12,10.50,-0.10 (-0.94 %),21300,11.00,11.00,10.50
2018-11-13,12.00,1.50 (14.29 %),77600,10.9,12.00,10.20
2018-11-14,11.00,0.00 (0.00 %),10000,11.00,11.00,11.00
2018-11-15,11.00,0.00 (0.00 %),18000,11.5,11.50,11.00
2018-11-16,10.50,-0.80 (-7.08 %),19400,11.00,11.00,10.50
2018-11-19,10.50,-0.30 (-2.78 %),28100,10.8,10.80,10.50
2018-11-20,10.90,0.20 (1.87 %),108800,10.70,11.00,10.20
2018-11-21,10.30,-0.40 (-3.74 %),86300,10.5,10.50,10.30
2018-11-22,10.20,-0.20 (-1.92 %),10300,10.20,10.20,10.20
2018-11-23,10.00,-0.20 (-1.96 %),2000,10.5,10.60,10.00
2018-11-26,10.20,-0.10 (-0.97 %),20100,10.40,10.40,10.20
2018-11-27,10.00,-0.30 (-2.91 %),13300,10.5,10.50,10.00
2018-11-28,10.00,-0.40 (-3.85 %),12700,10.40,10.40,10.00
2018-11-29,11.50,1.50 (15.00 %),900,10.0,11.50,10.00
2018-11-30,10.60,0.00 (0.00 %),16200,10.60,10.60,10.00
2018-12-03,10.30,-0.10 (-0.96 %),84900,9.8,10.60,9.40
2018-12-04,10.30,0.30 (3.00 %),14700,10.50,10.50,10.30
2018-12-05,10.30,-0.20 (-1.90 %),18500,10.5,10.50,10.00
2018-12-06,10.30,-0.10 (-0.96 %),100,10.30,10.30,10.30
2018-12-07,10.40,0.10 (0.97 %),9500,10.5,10.50,10.40
2018-12-10,9.90,-0.60 (-5.71 %),7100,10.00,10.00,9.90
2018-12-11,10.50,0.60 (6.06 %),10100,10.5,10.50,10.50
2018-12-12,10.20,-0.30 (-2.86 %),10100,10.40,10.40,10.20
2018-12-13,9.70,-0.70 (-6.73 %),19200,10.4,10.40,9.70
2018-12-14,10.00,0.20 (2.04 %),10100,10.50,10.50,10.00
2018-12-17,10.30,-0.20 (-1.90 %),17400,10.3,10.30,10.30
2018-12-18,10.10,-0.20 (-1.94 %),500,10.10,10.10,10.10
2018-12-19,10.40,0.30 (2.97 %),8100,10.4,10.40,10.40
2018-12-20,10.30,-0.10 (-0.96 %),100,10.30,10.30,10.30
2018-12-21,9.10,-1.20 (-11.65 %),2200,9.2,9.70,9.10
2018-12-24,10.00,0.90 (9.89 %),100,10.00,10.00,10.00
2018-12-25,10.00,0.00 (0.00 %),100,10.0,10.00,10.00
2018-12-26,9.90,-0.10 (-1.00 %),100,9.90,9.90,9.90
2018-12-27,9.60,-0.30 (-3.03 %),2100,10.6,10.60,9.60
2018-12-28,10.00,0.40 (4.17 %),11100,8.80,10.10,8.80
2019-01-02,10.30,0.30 (3.00 %),100,10.3,10.30,10.30
2019-01-03,10.00,-0.30 (-2.91 %),5100,9.20,10.00,9.20
2019-01-04,9.90,-0.10 (-1.00 %),1100,8.9,9.90,8.90
2019-01-07,10.00,0.20 (2.04 %),100,10.00,10.00,10.00
2019-01-08,9.80,-0.20 (-2.00 %),200,9.9,9.90,9.80
2019-01-09,9.90,0.00 (0.00 %),100,9.90,9.90,9.90
2019-01-10,10.00,0.10 (1.01 %),200,8.7,10.00,8.70
2019-01-11,10.10,0.70 (7.45 %),100,10.10,10.10,10.10
2019-01-14,8.60,-1.50 (-14.85 %),1300,10.0,10.00,8.60
2019-01-15,8.70,-0.30 (-3.33 %),200,9.90,9.90,8.70
2019-01-16,8.60,-0.70 (-7.53 %),300,10.0,10.00,8.60
2019-01-17,8.60,-0.50 (-5.49 %),200,9.80,9.80,8.60
2019-01-18,9.00,-0.20 (-2.17 %),100,9.0,9.00,9.00
2019-01-21,9.00,0.00 (0.00 %),100,9.00,9.00,9.00
2019-01-22,8.80,-0.20 (-2.22 %),300,8.8,8.80,8.80
2019-01-23,9.10,0.30 (3.41 %),1500,9.40,9.40,7.80
