date,close,change,volume,open,high,low
2006-10-13,39.00,-0.50 (-1.27 %),7330,39.50,39.50,39.00
2006-10-16,39.00,0.00 (0.00 %),10760,39.50,39.50,39.00
2006-10-17,39.00,0.00 (0.00 %),10660,39.00,39.00,39.00
2006-10-18,39.40,0.40 (1.03 %),8300,39.00,39.40,39.00
2006-10-19,41.00,1.60 (4.06 %),19900,40.00,41.00,40.00
2006-10-20,41.00,0.00 (0.00 %),9100,41.50,41.50,41.00
2006-10-23,40.50,-0.50 (-1.22 %),2520,41.00,41.00,39.50
2006-10-24,40.90,0.40 (0.99 %),5200,39.50,40.90,39.50
2006-10-25,40.50,-0.40 (-0.98 %),2700,40.40,40.50,40.00
2006-10-26,40.00,-0.50 (-1.23 %),4400,40.00,40.00,39.50
2006-10-27,39.90,-0.10 (-0.25 %),4600,39.00,39.90,39.00
2006-10-30,39.00,-0.90 (-2.26 %),2200,39.90,39.90,39.00
2006-10-31,38.90,-0.10 (-0.26 %),3700,39.00,39.00,38.90
2006-11-01,39.00,0.10 (0.26 %),1750,39.50,39.50,39.00
2006-11-02,40.00,1.00 (2.56 %),1700,40.00,40.00,40.00
2006-11-03,39.00,-1.00 (-2.50 %),2990,40.00,40.00,40.00
2006-11-06,39.00,0.00 (0.00 %),1850,39.40,39.40,39.00
2006-11-07,38.90,-0.10 (-0.26 %),4180,39.00,39.00,38.90
2006-11-08,38.70,-0.20 (-0.51 %),2300,39.00,39.00,38.90
2006-11-09,39.00,0.30 (0.78 %),1700,38.80,39.00,38.80
2006-11-10,38.50,-0.50 (-1.28 %),650,38.70,38.70,38.50
2006-11-13,37.40,-1.10 (-2.86 %),3780,38.00,38.00,37.40
2006-11-14,37.80,0.40 (1.07 %),2700,37.80,37.80,37.80
2006-11-15,37.80,0.00 (0.00 %),3750,37.80,37.80,37.80
2006-11-16,37.80,0.00 (0.00 %),800,37.80,37.80,37.80
2006-11-17,37.20,-0.60 (-1.59 %),1950,37.80,37.80,37.80
2006-11-20,36.50,-0.70 (-1.88 %),5120,37.00,37.00,36.50
2006-11-21,36.50,0.00 (0.00 %),4950,36.00,36.80,36.00
2006-11-22,36.00,-0.50 (-1.37 %),1540,36.50,36.50,36.00
2006-11-23,35.50,-0.50 (-1.39 %),15200,35.10,35.50,35.10
2006-11-24,37.20,1.70 (4.79 %),15290,37.00,37.20,37.00
2006-11-27,37.50,0.30 (0.81 %),6420,38.50,38.50,37.50
2006-11-28,38.00,0.50 (1.33 %),11580,38.50,38.50,37.50
2006-11-29,37.00,-1.00 (-2.63 %),4500,38.00,38.00,37.00
2006-11-30,37.00,0.00 (0.00 %),19940,35.50,37.00,35.50
2006-12-01,35.30,-1.70 (-4.59 %),11700,35.30,35.30,35.30
2006-12-04,33.60,-1.70 (-4.82 %),13630,34.50,34.50,33.60
2006-12-05,32.00,-1.60 (-4.76 %),16900,32.50,32.50,32.00
2006-12-06,32.50,0.50 (1.56 %),13490,32.00,32.50,32.00
2006-12-07,34.00,1.50 (4.62 %),19800,33.50,34.00,33.50
2006-12-08,35.00,1.00 (2.94 %),1300,35.00,35.00,35.00
2006-12-11,36.50,1.50 (4.29 %),32060,36.70,36.70,36.50
2006-12-12,34.70,-1.80 (-4.93 %),11330,37.50,37.50,34.70
2006-12-13,33.00,-1.70 (-4.90 %),7400,36.00,36.00,33.00
2006-12-14,33.30,0.30 (0.91 %),10590,33.00,33.30,33.00
2006-12-15,34.50,1.20 (3.60 %),19790,34.40,34.50,34.40
2006-12-18,34.50,0.00 (0.00 %),7730,34.90,34.90,34.50
2006-12-19,34.50,0.00 (0.00 %),12800,34.00,34.50,34.00
2006-12-20,33.50,-1.00 (-2.90 %),13010,34.00,34.50,34.00
2006-12-21,32.00,-1.50 (-4.48 %),7080,33.00,33.00,32.00
2006-12-22,32.00,0.00 (0.00 %),15920,32.00,32.00,32.00
2006-12-25,32.00,0.00 (0.00 %),6200,32.00,32.00,32.00
2006-12-26,32.00,0.00 (0.00 %),10100,32.50,32.50,32.00
2006-12-27,33.00,1.00 (3.13 %),6010,32.00,33.00,32.00
2006-12-28,32.00,-1.00 (-3.03 %),3670,33.00,33.00,32.00
2006-12-29,32.00,0.00 (0.00 %),4370,32.00,32.00,32.00
2007-01-02,30.40,-0.60 (-1.94 %),20220,30.40,31.00,30.40
2007-01-03,30.40,0.00 (0.00 %),20550,30.40,30.40,30.20
2007-01-04,31.40,1.00 (3.29 %),7150,31.40,31.40,30.40
2007-01-05,32.00,0.60 (1.91 %),8300,32.90,32.90,32.00
2007-01-08,31.50,-0.50 (-1.56 %),13250,33.00,33.00,31.50
2007-01-09,31.00,-0.50 (-1.59 %),8950,31.00,31.00,31.00
2007-01-10,30.50,-0.50 (-1.61 %),28530,30.50,30.50,29.60
2007-01-11,30.50,0.00 (0.00 %),14340,30.50,30.50,30.50
2007-01-12,30.50,0.00 (0.00 %),10660,30.50,31.00,30.50
2007-01-15,30.50,0.00 (0.00 %),10820,30.50,30.50,30.40
2007-01-16,30.50,0.00 (0.00 %),22950,31.00,31.00,30.50
2007-01-17,31.00,0.50 (1.64 %),18320,31.00,31.30,31.00
