date,close,change,volume,open,high,low
2018-04-26,150.00,25.00 (20.00 %),948210,150.00,150.00,140.00
2018-04-27,160.50,10.50 (7.00 %),2520730,160.50,160.50,153.50
2018-05-02,168.00,7.50 (4.67 %),657340,168.00,168.00,166.50
2018-05-03,157.00,-11.00 (-6.55 %),261780,156.30,167.50,156.30
2018-05-04,149.00,-8.00 (-5.10 %),57020,147.00,154.00,147.00
2018-05-07,152.00,3.00 (2.01 %),67180,154.80,154.80,140.20
2018-05-08,150.00,-2.00 (-1.32 %),59090,155.00,155.00,149.00
2018-05-09,152.40,2.40 (1.60 %),96890,150.00,153.50,149.00
2018-05-10,154.80,2.40 (1.57 %),89910,154.00,154.80,152.50
2018-05-11,153.10,-1.70 (-1.10 %),23700,156.00,156.50,153.10
2018-05-14,150.50,-2.60 (-1.70 %),40720,153.10,159.50,150.50
2018-05-15,157.00,6.50 (4.32 %),82190,155.00,159.90,151.00
2018-05-16,157.00,0.00 (0.00 %),113000,160.00,160.00,157.00
2018-05-17,159.50,2.50 (1.59 %),40650,160.00,160.00,158.00
2018-05-18,159.50,0.00 (0.00 %),35230,159.50,160.00,158.20
2018-05-21,156.10,-3.40 (-2.13 %),58530,159.90,159.90,156.00
2018-05-22,156.10,0.00 (0.00 %),188830,160.00,163.00,156.10
2018-05-23,157.00,0.90 (0.58 %),148490,154.50,160.00,154.50
2018-05-24,93.60,1.25 (1.36 %),186210,98.80,98.80,93.00
2018-05-25,93.60,0.00 (0.00 %),185010,93.60,94.10,93.60
2018-05-28,91.30,-2.30 (-2.46 %),31840,93.60,93.60,90.50
2018-05-29,91.00,-0.30 (-0.33 %),48230,92.00,92.00,87.00
2018-05-30,87.00,-4.00 (-4.40 %),89010,91.00,91.00,87.00
2018-05-31,90.40,3.40 (3.91 %),30530,87.00,90.50,87.00
2018-06-01,90.30,-0.10 (-0.11 %),37140,90.40,90.40,89.50
2018-06-04,89.00,-1.30 (-1.44 %),36140,90.30,90.30,88.50
2018-06-05,89.10,0.10 (0.11 %),41780,89.00,90.00,89.00
2018-06-06,89.30,0.20 (0.22 %),14560,89.10,89.30,89.00
2018-06-07,90.00,0.70 (0.78 %),120650,90.00,91.00,89.30
2018-06-08,89.90,-0.10 (-0.11 %),31310,90.00,90.00,89.00
2018-06-11,90.00,0.10 (0.11 %),43460,90.00,90.00,89.80
2018-06-12,89.00,-1.00 (-1.11 %),31120,90.10,90.10,88.00
2018-06-13,90.00,1.00 (1.12 %),92830,88.50,90.70,88.50
2018-06-14,87.00,-3.00 (-3.33 %),18400,91.00,91.00,87.00
2018-06-15,87.10,0.10 (0.11 %),1690,89.00,89.00,87.10
2018-06-18,87.10,0.00 (0.00 %),10520,86.80,87.10,82.10
2018-06-19,81.10,-6.00 (-6.89 %),59070,86.00,86.00,81.10
2018-06-20,82.50,1.40 (1.73 %),44480,75.50,82.50,75.50
2018-06-21,80.00,-2.50 (-3.03 %),65370,83.50,83.50,79.90
2018-06-22,79.00,-1.00 (-1.25 %),20150,74.50,81.00,74.50
2018-06-25,79.20,0.20 (0.25 %),51350,78.00,80.80,77.50
2018-06-26,79.00,-0.20 (-0.25 %),27380,79.90,79.90,75.00
2018-06-27,80.50,1.50 (1.90 %),88550,78.00,81.00,78.00
