date,close,change,volume,open,high,low
2010-11-23,9.70,-1.80 (-15.65 %),1070900,11.5,11.50,9.20
2010-11-24,9.50,1.13 (13.48 %),892500,9.70,9.90,9.30
2010-11-25,10.00,1.80 (21.97 %),501600,9.6,10.00,9.50
2010-11-26,10.40,1.77 (20.50 %),813400,10.40,10.40,10.00
2010-11-29,10.50,1.52 (16.98 %),753100,10.3,10.60,10.00
2010-11-30,11.00,1.94 (21.39 %),1824300,10.40,11.00,10.40
2010-12-01,10.60,1.11 (11.66 %),645600,11.1,11.20,10.60
2010-12-02,11.00,1.85 (20.24 %),885600,10.60,11.10,10.60
2010-12-03,11.50,2.01 (21.14 %),3856800,11.0,11.50,11.00
2010-12-06,11.60,1.67 (16.88 %),3502800,11.70,12.10,11.50
2010-12-07,11.20,1.19 (11.87 %),2688000,11.8,11.90,11.10
2010-12-08,10.70,1.03 (10.70 %),1658600,11.00,11.50,10.70
2010-12-09,10.70,1.47 (15.87 %),1676900,11.0,11.60,10.20
2010-12-10,11.30,2.07 (22.37 %),1487700,11.00,11.40,10.80
2010-12-13,11.80,2.05 (21.00 %),1847700,11.3,11.80,11.30
2010-12-14,12.60,2.42 (23.72 %),16071300,12.60,12.60,12.00
2010-12-15,13.40,2.53 (23.23 %),12626100,13.4,13.40,13.00
2010-12-16,12.50,0.94 (8.09 %),2870900,13.80,13.90,12.50
2010-12-17,12.90,2.11 (19.58 %),4851000,12.3,13.30,12.20
2010-12-20,12.20,1.07 (9.58 %),4897800,12.90,13.00,12.10
2010-12-21,11.70,1.17 (11.12 %),5401000,12.0,12.20,11.60
2010-12-22,12.00,1.90 (18.84 %),2779000,12.10,12.50,11.70
2010-12-23,11.50,1.14 (11.04 %),1973900,12.3,12.30,11.40
2010-12-24,11.50,1.57 (15.87 %),1413400,11.60,11.80,11.30
2010-12-27,11.60,1.67 (16.88 %),1059800,11.7,11.80,11.40
2010-12-28,12.00,1.99 (19.86 %),2593100,11.50,12.10,11.40
2010-12-29,11.60,1.24 (12.01 %),1377500,12.0,12.20,11.60
2010-12-30,11.50,1.49 (14.87 %),1554900,11.80,11.80,11.40
2010-12-31,11.80,1.87 (18.89 %),1355900,11.5,11.90,11.40
2011-01-04,11.50,1.32 (12.92 %),900200,11.80,11.90,11.40
2011-01-05,11.20,1.27 (12.85 %),2904700,11.7,11.70,11.10
2011-01-06,11.20,1.53 (15.87 %),1247400,11.10,11.20,11.00
2011-01-07,11.00,1.33 (13.80 %),2463100,11.2,11.30,11.00
2011-01-10,10.90,1.41 (14.82 %),2014600,11.30,11.30,10.80
2011-01-11,10.70,1.29 (13.74 %),2484700,10.9,10.90,10.60
2011-01-12,10.80,1.57 (16.95 %),1124800,10.70,11.00,10.60
2011-01-13,11.00,1.68 (18.01 %),1650400,10.8,11.10,10.80
2011-01-14,11.20,1.71 (17.98 %),2046300,11.00,11.20,11.00
2011-01-17,11.80,2.13 (22.08 %),4825700,11.3,11.80,11.20
2011-01-18,11.50,1.32 (12.92 %),1958100,12.00,12.00,11.50
2011-01-19,11.50,1.57 (15.87 %),1670900,11.6,11.80,11.40
2011-01-20,11.50,1.57 (15.87 %),1528700,11.60,11.60,11.40
2011-01-21,11.80,1.87 (18.89 %),2503300,11.5,12.10,11.50
2011-01-24,11.60,1.42 (13.90 %),1668700,11.90,11.90,11.60
2011-01-25,11.60,1.59 (15.87 %),1188200,11.5,11.70,11.50
2011-01-26,11.30,1.29 (12.87 %),580600,11.40,11.40,11.00
2011-01-27,11.30,1.02 (9.88 %),1673200,11.2,11.40,11.20
2011-01-28,11.40,1.12 (10.85 %),1372800,11.30,11.50,11.30
2011-02-08,11.30,0.92 (8.91 %),983200,11.6,11.60,11.30
2011-02-09,11.30,1.02 (9.88 %),1637500,11.50,11.60,11.10
2011-02-10,11.20,0.92 (8.91 %),484300,11.3,11.30,11.10
2011-02-11,11.10,0.91 (8.90 %),697100,11.10,11.20,11.00
2011-02-14,10.90,0.80 (7.90 %),1096300,11.3,11.30,10.80
2011-02-15,10.80,0.88 (8.87 %),594200,10.90,10.90,10.70
2011-02-16,10.60,0.77 (7.84 %),801800,10.9,10.90,10.60
2011-02-17,10.70,1.05 (10.91 %),1058200,10.60,10.70,10.50
2011-02-18,10.50,0.76 (7.82 %),1100100,10.6,10.70,10.40
2011-02-21,9.90,0.34 (3.60 %),2228000,10.50,10.50,9.80
2011-02-22,10.00,0.99 (10.99 %),1568500,10.0,10.30,9.70
2011-02-23,10.20,1.10 (12.08 %),1279600,10.00,10.20,9.90
2011-02-24,10.10,0.82 (8.80 %),1885300,10.4,10.40,9.80
2011-02-25,10.30,1.11 (12.05 %),828800,10.10,10.30,10.10
2011-02-28,10.10,0.73 (7.74 %),1198700,10.2,10.30,10.10
2011-03-01,10.10,0.91 (9.88 %),377400,10.10,10.20,10.00
2011-03-02,9.90,0.71 (7.70 %),1462000,10.0,10.00,9.80
2011-03-03,9.90,0.89 (9.88 %),685800,9.80,10.00,9.70
2011-03-04,9.90,0.89 (9.88 %),726700,9.9,10.00,9.90
2011-03-07,9.90,0.89 (9.88 %),311600,10.00,10.00,9.90
2011-03-08,9.90,0.89 (9.88 %),566400,10.0,10.10,9.90
2011-03-09,9.80,0.79 (8.77 %),328000,9.90,9.90,9.70
2011-03-10,10.20,1.28 (14.36 %),2767900,9.8,10.40,9.80
2011-03-11,10.30,1.02 (10.96 %),2910100,10.30,10.60,10.30
2011-03-14,10.00,0.63 (6.68 %),588300,10.4,10.40,9.90
2011-03-15,9.90,0.80 (8.78 %),584800,9.90,10.00,9.80
2011-03-16,9.90,0.89 (9.88 %),1074900,9.9,9.90,9.70
2011-03-17,9.80,0.79 (8.77 %),868400,9.80,10.00,9.70
2011-03-18,10.00,1.08 (12.12 %),1581300,10.0,10.10,9.70
2011-03-21,9.90,0.80 (8.78 %),864600,10.10,10.10,9.80
2011-03-22,9.90,0.89 (9.88 %),304700,9.9,9.90,9.80
2011-03-23,9.90,0.89 (9.88 %),361200,9.90,9.90,9.70
2011-03-24,9.80,0.79 (8.77 %),305900,9.8,9.80,9.70
2011-03-25,9.70,0.78 (8.76 %),785200,9.80,9.80,9.60
2011-03-28,9.70,0.87 (9.88 %),354800,9.8,9.80,9.60
2011-03-29,9.80,0.97 (11.01 %),577400,9.70,9.80,9.60
2011-03-30,9.60,0.68 (7.64 %),583000,9.6,9.70,9.50
2011-03-31,9.60,0.86 (9.88 %),258200,9.70,9.90,9.50
2011-04-01,9.50,0.76 (8.73 %),546800,9.5,9.60,9.40
2011-04-04,9.50,0.85 (9.88 %),200800,9.50,9.50,9.30
2011-04-05,9.40,0.75 (8.72 %),323300,9.4,9.50,9.30
2011-04-06,9.60,1.05 (12.22 %),253600,9.50,9.60,9.40
2011-04-07,9.50,0.76 (8.73 %),224000,9.6,9.60,9.40
2011-04-08,9.50,0.85 (9.88 %),243200,9.50,9.50,9.40
2011-04-13,9.50,0.85 (9.88 %),205400,9.6,9.60,9.40
2011-04-14,9.40,0.75 (8.72 %),243000,9.60,9.60,9.40
2011-04-15,9.30,0.75 (8.71 %),479200,9.5,9.50,9.30
2011-04-18,9.10,0.64 (7.52 %),281200,9.40,9.40,9.00
2011-04-19,9.10,0.82 (9.88 %),310300,9.1,9.20,9.00
2011-04-20,9.00,0.72 (8.67 %),384700,9.00,9.10,8.90
2011-04-21,8.90,0.71 (8.66 %),592900,9.1,9.10,8.80
2011-04-22,8.90,0.80 (9.88 %),503900,9.00,9.00,8.80
2011-04-25,9.00,0.90 (11.11 %),881300,9.0,9.20,8.90
2011-04-26,9.00,0.81 (9.88 %),756700,9.10,9.60,8.90
2011-04-27,8.80,0.61 (7.44 %),875000,9.0,9.00,8.70
2011-04-28,8.60,0.59 (7.38 %),1023300,8.90,8.90,8.50
2011-04-29,8.60,0.77 (9.88 %),441800,8.7,8.70,8.50
2011-05-04,8.60,0.77 (9.88 %),446100,8.80,8.90,8.50
2011-05-05,8.50,0.67 (8.60 %),252600,8.6,8.70,8.40
2011-05-06,8.40,0.66 (8.58 %),350300,8.50,8.50,8.30
2011-05-09,8.40,0.76 (9.88 %),563200,8.4,8.60,8.30
2011-05-10,8.40,0.76 (9.88 %),419800,8.40,8.40,8.20
2011-05-11,8.30,0.66 (8.57 %),203100,8.3,8.40,8.20
2011-05-12,8.30,0.75 (9.88 %),213000,8.30,8.30,8.10
2011-05-13,8.30,0.75 (9.88 %),422600,8.4,8.40,8.10
2011-05-16,8.00,0.45 (5.91 %),987000,8.20,8.40,8.00
2011-05-17,8.00,0.72 (9.88 %),1479900,8.0,8.10,7.90
2011-05-18,8.00,0.72 (9.88 %),2450200,7.50,8.10,7.50
2011-05-19,8.00,0.72 (9.88 %),387000,8.0,8.10,7.90
2011-05-20,7.90,0.62 (8.50 %),484000,7.90,8.00,7.80
2011-05-23,7.80,0.61 (8.49 %),994000,7.9,7.90,7.60
2011-05-24,7.70,0.60 (8.47 %),1638500,7.70,7.80,7.40
2011-05-25,7.50,0.49 (7.02 %),1398800,7.7,7.70,7.20
2011-05-26,7.90,1.07 (15.74 %),906600,7.20,8.00,7.00
2011-05-27,8.10,0.91 (12.66 %),1179300,7.1,8.10,7.10
2011-05-30,8.00,0.63 (8.52 %),561100,8.20,8.40,8.00
2011-05-31,8.00,0.72 (9.88 %),480000,8.1,8.10,7.80
2011-06-01,8.30,1.02 (14.00 %),556500,8.00,8.30,7.90
2011-06-02,8.60,1.05 (13.85 %),904000,8.3,8.60,8.30
2011-06-03,8.50,0.67 (8.60 %),652900,8.70,8.80,8.40
2011-06-06,8.60,0.86 (11.17 %),368800,8.7,8.70,8.40
2011-06-07,8.80,0.97 (12.43 %),359300,8.60,8.80,8.50
2011-06-08,8.60,0.59 (7.38 %),257300,8.8,8.80,8.50
2011-06-09,8.70,0.87 (11.16 %),270100,8.60,8.70,8.40
2011-06-10,9.00,1.08 (13.67 %),1223900,8.5,9.00,8.50
2011-06-13,9.00,0.81 (9.88 %),693500,8.90,9.00,8.60
2011-06-14,9.00,0.81 (9.88 %),850500,9.0,9.10,8.70
2011-06-15,8.70,0.51 (6.22 %),602500,8.90,9.00,8.60
2011-06-16,8.80,0.88 (11.14 %),476900,8.8,8.90,8.70
2011-06-17,8.50,0.49 (6.13 %),500700,8.90,8.90,8.40
2011-06-20,8.40,0.66 (8.58 %),380700,8.8,8.80,8.30
2011-06-21,8.70,1.06 (13.80 %),488800,8.50,8.70,8.40
2011-06-22,8.60,0.68 (8.61 %),568100,8.6,8.70,8.40
2011-06-23,8.60,0.77 (9.88 %),354800,8.70,8.80,8.50
2011-06-24,8.60,0.77 (9.88 %),302800,8.6,8.80,8.50
