date,close,change,volume,open,high,low
2018-11-12,27.95,4.65 (19.96 %),147670,27.95,27.95,27.95
2018-11-13,29.90,1.95 (6.98 %),256400,29.90,29.90,29.90
2018-11-14,30.20,0.30 (1.00 %),332170,30.00,31.50,28.70
2018-11-15,30.40,0.20 (0.66 %),214090,28.60,30.60,28.60
2018-11-16,30.40,0.00 (0.00 %),274160,29.50,31.00,29.50
2018-11-19,30.50,0.10 (0.33 %),241150,30.20,30.50,29.30
2018-11-20,29.50,-1.00 (-3.28 %),130070,30.50,30.50,29.50
2018-11-21,29.00,-0.50 (-1.69 %),119290,29.50,29.60,29.00
2018-11-22,29.50,0.50 (1.72 %),192500,29.70,29.70,28.10
2018-11-23,29.10,-0.40 (-1.36 %),152850,29.50,29.80,29.00
2018-11-26,30.00,0.90 (3.09 %),209270,29.85,30.20,29.50
2018-11-27,30.20,0.20 (0.67 %),265630,30.00,30.20,29.70
2018-11-28,30.20,0.00 (0.00 %),457020,30.00,30.35,29.70
2018-11-29,30.20,0.00 (0.00 %),322000,30.00,30.30,29.75
2018-11-30,25.10,0.14 (0.57 %),116870,26.50,26.50,25.10
2018-12-03,25.30,0.20 (0.80 %),193120,25.10,25.65,25.10
2018-12-04,24.30,-1.00 (-3.95 %),177060,24.50,24.75,24.00
2018-12-05,23.80,-0.50 (-2.06 %),230920,24.00,24.20,23.50
2018-12-06,24.50,0.70 (2.94 %),238730,23.50,24.50,23.50
2018-12-07,24.20,-0.30 (-1.22 %),137610,23.80,24.60,23.50
2018-12-10,23.70,-0.50 (-2.07 %),96290,23.75,24.25,23.40
2018-12-11,23.70,0.00 (0.00 %),87890,23.70,23.90,23.30
2018-12-12,23.75,0.05 (0.21 %),100300,23.65,23.85,23.40
2018-12-13,23.50,-0.25 (-1.05 %),82280,23.60,23.80,23.30
2018-12-14,23.00,-0.50 (-2.13 %),34080,23.45,23.45,23.00
2018-12-17,22.90,-0.10 (-0.43 %),12810,23.00,23.10,22.65
2018-12-18,21.40,-1.50 (-6.55 %),17080,21.40,22.85,21.40
2018-12-19,21.40,0.00 (0.00 %),13640,22.00,22.00,21.00
2018-12-20,21.50,0.10 (0.47 %),9800,21.90,21.90,20.20
2018-12-21,23.00,1.50 (6.98 %),199450,21.70,23.00,20.70
2018-12-24,23.90,0.90 (3.91 %),34740,24.50,24.50,23.00
2018-12-25,23.65,-0.25 (-1.05 %),23060,23.90,23.90,23.00
2018-12-26,23.30,-0.35 (-1.48 %),16140,23.00,24.00,23.00
2018-12-27,23.35,0.05 (0.21 %),128010,23.70,23.70,23.35
2018-12-28,23.00,-0.35 (-1.50 %),22110,23.50,24.00,23.00
2019-01-02,23.10,0.10 (0.43 %),19450,23.10,23.50,22.80
2019-01-03,23.00,-0.10 (-0.43 %),196230,23.20,23.25,21.60
2019-01-04,22.90,-0.10 (-0.43 %),350,23.00,23.00,22.90
2019-01-07,22.90,0.00 (0.00 %),12580,23.15,23.15,22.10
2019-01-08,22.15,-0.75 (-3.28 %),2180,22.90,22.90,22.15
2019-01-09,22.30,0.15 (0.68 %),18260,22.15,22.90,22.15
2019-01-10,22.00,-0.30 (-1.35 %),14950,22.50,22.50,22.00
2019-01-11,22.40,0.40 (1.82 %),26220,22.40,22.45,22.00
2019-01-14,22.20,-0.20 (-0.89 %),9800,22.00,23.00,22.00
2019-01-15,21.85,-0.35 (-1.58 %),73360,22.30,22.90,21.85
2019-01-16,22.50,0.65 (2.97 %),10840,22.50,22.60,21.85
2019-01-17,22.55,0.05 (0.22 %),7410,22.40,22.80,21.90
2019-01-18,22.70,0.15 (0.67 %),19880,22.55,22.70,21.75
2019-01-21,22.70,0.00 (0.00 %),23410,22.50,22.80,22.00
2019-01-22,22.60,-0.10 (-0.44 %),2490,22.60,22.75,22.30
2019-01-23,22.70,0.10 (0.44 %),15780,22.65,22.75,22.50
2019-01-24,22.50,-0.20 (-0.88 %),10060,22.80,22.80,22.50
2019-01-25,22.70,0.20 (0.89 %),55230,22.50,24.00,22.50
2019-01-28,23.15,0.45 (1.98 %),68180,24.00,24.00,22.90
2019-01-29,22.15,-1.00 (-4.32 %),30440,23.50,23.50,22.15
2019-01-30,22.60,0.45 (2.03 %),12610,22.80,22.80,22.20
2019-01-31,22.60,0.00 (0.00 %),18090,22.60,23.00,22.15
2019-02-01,23.00,0.40 (1.77 %),21900,22.60,23.00,22.60
2019-02-11,23.15,0.15 (0.65 %),49560,23.00,23.15,22.50
2019-02-12,22.70,-0.45 (-1.94 %),42290,23.10,23.20,22.50
2019-02-13,22.65,-0.05 (-0.22 %),13320,22.70,22.70,22.40
2019-02-14,22.75,0.10 (0.44 %),50050,22.60,22.75,22.00
2019-02-15,22.50,-0.25 (-1.10 %),15270,22.65,22.70,22.30
2019-02-18,22.50,0.00 (0.00 %),82190,22.50,22.55,21.90
2019-02-19,22.50,0.00 (0.00 %),29950,22.00,22.50,22.00
2019-02-20,22.10,-0.40 (-1.78 %),44280,22.05,22.40,22.05
2019-02-21,22.00,-0.10 (-0.45 %),20220,22.10,22.10,21.50
2019-02-22,21.35,-0.65 (-2.95 %),20760,21.90,22.00,21.00
2019-02-25,21.80,0.45 (2.11 %),64190,21.00,21.90,21.00
2019-02-26,21.65,-0.15 (-0.69 %),32770,21.60,21.80,21.45
2019-02-27,21.50,-0.15 (-0.69 %),22680,21.55,21.65,21.00
2019-02-28,21.00,-0.50 (-2.33 %),11250,21.50,21.50,21.00
2019-03-01,21.10,0.10 (0.48 %),136070,21.00,21.55,20.90
2019-03-04,21.30,0.20 (0.95 %),17120,21.50,21.50,21.30
2019-03-05,21.30,0.00 (0.00 %),15230,21.30,21.40,21.05
2019-03-06,21.15,-0.15 (-0.70 %),80250,21.10,21.35,21.00
2019-03-07,21.00,-0.15 (-0.71 %),34630,21.15,21.25,21.00
2019-03-08,21.05,0.05 (0.24 %),50180,21.00,21.05,21.00
2019-03-11,21.00,-0.05 (-0.24 %),28070,21.45,21.45,20.95
2019-03-12,21.10,0.10 (0.48 %),25440,21.20,21.20,20.85
