date,close,change,volume,open,high,low
2017-03-03,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-06,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-07,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-08,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-09,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-10,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-13,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-14,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-15,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-16,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-17,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-20,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-21,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-22,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-23,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-24,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-27,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-28,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-29,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-03-30,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-03-31,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-03,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-04,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-05,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-07,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-10,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-11,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-12,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-13,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-14,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-17,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-18,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-19,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-20,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-21,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-24,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-25,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-26,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-27,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-28,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-03,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-04,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-05,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-08,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-09,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-10,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-11,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-12,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-15,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-16,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-17,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-18,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-19,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-22,17.40,0.00 (0.00 %),100,17.40,17.40,17.40
2017-05-23,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-24,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-25,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-26,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-29,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-05-30,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-05-31,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-01,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-02,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-05,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-06,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-07,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-08,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-09,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-12,17.40,0.00 (0.00 %),20,17.4,17.40,17.40
2017-06-13,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-14,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-15,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-16,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-19,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-20,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-21,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-22,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-23,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-26,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-06-27,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-28,17.40,0.00 (0.00 %),20,17.4,17.40,17.40
2017-06-29,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-06-30,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-03,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-04,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-05,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-06,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-07,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-10,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-11,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-12,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-13,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-14,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-17,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-18,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-19,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-07-20,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-07-21,17.00,-0.40 (-2.30 %),100,17.00,17.00,17.00
2017-07-24,15.30,-1.70 (-10.00 %),100,15.3,15.30,15.30
2017-07-25,13.80,-1.50 (-9.80 %),100,13.80,13.80,13.80
2017-07-26,12.60,-1.20 (-8.70 %),100,12.6,12.60,12.60
2017-07-27,11.40,-1.20 (-9.52 %),100,11.40,11.40,11.40
2017-07-28,10.30,-1.10 (-9.65 %),700,10.3,10.30,10.30
2017-07-31,9.30,-1.00 (-9.71 %),120,9.30,9.30,9.30
2017-08-01,8.50,-0.80 (-8.60 %),100,8.5,8.50,8.50
2017-08-02,8.50,0.00 (0.00 %),0,8.50,8.50,8.50
2017-08-03,8.50,0.00 (0.00 %),0,8.5,8.50,8.50
2017-08-04,8.50,0.00 (0.00 %),0,8.50,8.50,8.50
2017-08-07,8.50,0.00 (0.00 %),0,8.5,8.50,8.50
2017-08-08,8.50,0.00 (0.00 %),0,8.50,8.50,8.50
2017-08-09,7.70,-0.80 (-9.41 %),120,7.7,7.70,7.70
2017-08-10,7.70,0.00 (0.00 %),0,7.70,7.70,7.70
2017-08-11,7.70,0.00 (0.00 %),0,7.7,7.70,7.70
2017-08-14,7.70,0.00 (0.00 %),30,7.70,7.70,7.70
2017-08-15,7.70,0.00 (0.00 %),0,7.7,7.70,7.70
2017-08-16,7.00,-0.70 (-9.09 %),100,7.00,7.00,7.00
2017-08-17,7.00,0.00 (0.00 %),10,7.0,7.00,7.00
2017-08-18,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2017-08-21,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2017-08-22,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2017-08-23,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2017-08-24,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2017-08-25,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2017-08-28,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2017-08-29,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2017-08-30,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2017-08-31,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2017-09-01,7.50,0.50 (7.14 %),1500,7.50,7.50,7.50
2017-09-05,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2017-09-06,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2017-09-07,6.80,-0.70 (-9.33 %),100,6.8,6.80,6.80
2017-09-08,6.80,0.00 (0.00 %),0,6.80,6.80,6.80
2017-09-11,6.80,0.00 (0.00 %),0,6.8,6.80,6.80
2017-09-12,6.20,-0.60 (-8.82 %),100,6.20,6.20,6.20
2017-09-13,5.60,-0.60 (-9.68 %),100,5.6,5.60,5.60
2017-09-14,5.20,-0.40 (-7.14 %),100,5.20,5.20,5.20
2017-09-15,5.20,0.00 (0.00 %),100,5.2,5.20,5.20
2017-09-18,5.20,0.00 (0.00 %),0,5.20,5.20,5.20
2017-09-19,5.00,-0.20 (-3.85 %),300,5.2,5.20,5.00
2017-09-20,5.00,0.00 (0.00 %),0,5.00,5.00,5.00
2017-09-21,5.00,0.00 (0.00 %),0,5.0,5.00,5.00
2017-09-22,5.00,0.00 (0.00 %),0,5.00,5.00,5.00
2017-09-25,5.00,0.00 (0.00 %),0,5.0,5.00,5.00
2017-09-26,5.00,0.00 (0.00 %),0,5.00,5.00,5.00
2017-09-27,5.00,0.00 (0.00 %),0,5.0,5.00,5.00
2017-09-28,5.00,0.00 (0.00 %),0,5.00,5.00,5.00
2017-09-29,5.00,0.00 (0.00 %),0,5.0,5.00,5.00
2017-10-02,5.00,0.00 (0.00 %),0,5.00,5.00,5.00
2017-10-03,5.50,0.50 (10.00 %),100,5.5,5.50,5.50
2017-10-04,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-10-05,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-10-06,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-10-09,6.00,0.50 (9.09 %),100,6.0,6.00,6.00
2017-10-10,6.60,0.60 (10.00 %),100,6.60,6.60,6.60
2017-10-11,7.20,0.60 (9.09 %),200,7.2,7.20,7.20
2017-10-12,7.20,0.00 (0.00 %),0,7.20,7.20,7.20
2017-10-13,7.20,0.00 (0.00 %),0,7.2,7.20,7.20
2017-10-16,7.20,0.00 (0.00 %),0,7.20,7.20,7.20
2017-10-17,7.20,0.00 (0.00 %),0,7.2,7.20,7.20
