date,close,change,volume,open,high,low
2017-03-06,106.00,0.10 (0.09 %),6000,105.0,106.00,104.50
2017-03-07,105.00,-1.00 (-0.94 %),5110,104.50,105.50,104.50
2017-03-08,105.80,0.80 (0.76 %),4604,105.5,106.00,105.50
2017-03-09,105.60,-0.20 (-0.19 %),4084,105.80,105.80,105.60
2017-03-10,105.00,-0.60 (-0.57 %),4900,105.2,105.50,104.70
2017-03-13,105.00,0.00 (0.00 %),2200,104.80,105.00,104.80
2017-03-14,106.00,1.00 (0.95 %),3730,105.5,106.00,105.00
2017-03-15,105.90,-0.10 (-0.09 %),5100,106.50,106.50,105.50
2017-03-16,105.00,-0.90 (-0.85 %),6500,105.5,105.50,105.00
2017-03-17,104.70,-0.30 (-0.29 %),5217,105.00,105.00,104.50
2017-03-20,104.90,0.20 (0.19 %),1410,104.5,107.90,104.50
2017-03-21,105.20,0.30 (0.29 %),16200,106.00,106.00,104.90
2017-03-22,104.90,-0.30 (-0.29 %),10445,105.9,105.90,104.90
2017-03-23,104.60,-0.30 (-0.29 %),3550,104.90,105.00,104.60
2017-03-24,104.30,-0.30 (-0.29 %),3429,104.6,104.60,104.30
2017-03-27,104.00,-0.30 (-0.29 %),3380,104.30,104.30,104.00
2017-03-28,103.90,-0.10 (-0.10 %),5000,103.0,104.00,100.90
2017-03-29,101.60,-2.30 (-2.21 %),2800,101.20,102.30,101.20
2017-03-30,101.80,0.20 (0.20 %),7600,103.3,104.90,101.60
2017-03-31,101.30,-0.50 (-0.49 %),5830,102.00,102.00,101.00
2017-04-03,101.20,-0.10 (-0.10 %),10700,101.3,101.30,100.00
2017-04-04,100.30,-0.90 (-0.89 %),9500,100.10,100.90,100.00
2017-04-05,100.30,0.00 (0.00 %),11800,100.0,100.50,100.00
2017-04-07,100.00,-0.30 (-0.30 %),3100,100.00,100.00,99.90
2017-04-10,100.10,0.10 (0.10 %),6200,99.1,100.40,99.10
2017-04-11,99.00,-1.10 (-1.10 %),11200,100.30,100.30,98.00
2017-04-12,95.90,-3.10 (-3.13 %),23141,100.0,100.30,95.00
2017-04-13,93.00,-2.90 (-3.02 %),8400,93.90,93.90,90.00
2017-04-14,91.50,-1.50 (-1.61 %),500,89.1,95.90,89.10
2017-04-17,89.00,-2.50 (-2.73 %),4360,90.00,95.00,89.00
2017-04-18,89.20,0.20 (0.22 %),1400,89.0,90.00,89.00
2017-04-19,91.00,1.80 (2.02 %),3900,90.00,91.00,89.20
2017-04-20,90.00,-1.00 (-1.10 %),10460,93.0,93.00,90.00
2017-04-21,91.00,1.00 (1.11 %),27200,91.00,91.90,89.60
2017-04-24,90.50,-0.50 (-0.55 %),28400,94.0,94.00,88.00
2017-04-25,90.20,-0.30 (-0.33 %),10000,91.00,91.00,90.00
2017-04-26,91.00,0.80 (0.89 %),15200,90.1,91.00,90.00
2017-04-27,92.80,1.80 (1.98 %),20500,91.00,92.80,90.00
2017-04-28,100.00,7.20 (7.76 %),31900,92.8,101.90,92.80
2017-05-03,103.50,3.50 (3.50 %),10650,103.00,103.90,102.00
2017-05-04,102.00,-1.50 (-1.45 %),11200,103.5,103.50,101.70
2017-05-05,103.10,1.10 (1.08 %),22610,101.80,107.00,101.80
2017-05-08,103.50,0.40 (0.39 %),11775,105.6,105.60,103.50
2017-05-09,103.00,-0.50 (-0.48 %),8900,103.10,103.70,102.20
2017-05-10,103.60,0.60 (0.58 %),32205,103.0,104.30,102.70
2017-05-11,100.30,0.30 (0.30 %),3410,99.20,101.50,99.10
2017-05-12,99.90,-0.40 (-0.40 %),7400,100.0,100.10,99.90
2017-05-15,99.80,-0.10 (-0.10 %),22510,101.40,101.40,95.00
2017-05-16,99.80,0.00 (0.00 %),47000,100.2,100.50,99.80
2017-05-17,99.80,0.00 (0.00 %),12445,89.90,100.00,89.90
2017-05-18,99.90,0.10 (0.10 %),3805,100.0,100.00,99.80
