date,close,change,volume,open,high,low
2017-03-02,30.20,0.00 (0.00 %),101710,30.20,30.40,30.10
2017-03-03,30.25,0.05 (0.17 %),111250,30.20,30.30,30.00
2017-03-06,30.40,0.15 (0.50 %),121400,30.25,30.60,30.25
2017-03-07,30.40,0.00 (0.00 %),103720,30.40,30.45,30.10
2017-03-08,30.45,0.05 (0.16 %),124450,30.45,30.50,30.20
2017-03-09,30.40,-0.05 (-0.16 %),95610,30.45,30.50,30.20
2017-03-10,30.20,-0.20 (-0.66 %),115330,30.20,30.50,30.10
2017-03-13,30.10,-0.10 (-0.33 %),105910,30.20,30.30,30.00
2017-03-14,30.20,0.10 (0.33 %),112530,30.10,30.40,30.10
2017-03-15,30.20,0.00 (0.00 %),107050,30.20,30.30,30.00
2017-03-16,30.30,0.10 (0.33 %),107800,30.20,30.40,30.05
2017-03-17,30.30,0.00 (0.00 %),109890,30.30,30.50,30.10
2017-03-20,30.35,0.05 (0.17 %),111690,30.30,30.50,30.20
2017-03-21,30.35,0.00 (0.00 %),111120,30.35,30.50,30.20
2017-03-22,30.35,0.00 (0.00 %),136080,30.35,30.50,30.30
2017-03-23,30.40,0.05 (0.16 %),119710,30.40,30.60,30.40
2017-03-24,30.30,-0.10 (-0.33 %),117720,30.50,30.60,30.20
2017-03-27,30.30,0.00 (0.00 %),123760,30.30,30.50,30.20
2017-03-28,30.10,-0.20 (-0.66 %),117600,30.30,30.50,30.00
2017-03-29,30.10,0.00 (0.00 %),110430,30.15,30.30,30.00
2017-03-30,30.20,0.10 (0.33 %),111770,30.20,30.40,30.15
2017-03-31,30.00,-0.20 (-0.66 %),114270,30.25,30.30,29.95
2017-04-03,30.00,0.00 (0.00 %),119800,30.10,30.20,29.90
2017-04-04,30.10,0.10 (0.33 %),109640,30.10,30.20,29.90
2017-04-05,29.90,-0.20 (-0.66 %),114630,30.10,30.20,29.80
2017-04-07,29.95,0.05 (0.17 %),90930,30.00,30.00,29.75
2017-04-10,30.10,0.15 (0.50 %),122620,29.95,30.20,29.95
