date,close,change,volume,open,high,low
2010-11-02,17.80,7.36 (70.54 %),0,17.8,17.80,17.80
2010-11-03,17.70,7.26 (69.58 %),1400,18.00,18.00,17.70
2010-11-04,18.00,7.62 (73.43 %),700,18.0,18.00,18.00
2010-11-05,18.20,7.65 (72.43 %),300,18.20,18.30,18.20
2010-11-08,18.20,7.53 (70.54 %),2300,18.2,18.20,18.20
2010-11-09,17.10,6.43 (60.23 %),5800,17.60,17.60,17.10
2010-11-10,18.00,7.97 (79.52 %),1000,18.0,18.00,18.00
2010-11-11,17.80,7.25 (68.64 %),1300,17.50,17.80,17.50
2010-11-12,17.20,6.76 (64.79 %),10700,16.6,17.20,16.40
2010-11-15,15.60,5.51 (54.67 %),6300,16.60,16.60,15.50
2010-11-16,15.70,6.55 (71.63 %),25600,15.6,15.70,15.60
2010-11-17,15.60,6.39 (69.45 %),2000,15.40,15.60,15.40
2010-11-18,16.00,6.85 (74.91 %),7100,16.0,16.40,15.80
2010-11-19,16.10,6.72 (71.61 %),6300,15.60,16.10,15.20
2010-11-22,16.10,6.66 (70.54 %),9500,15.6,16.10,15.60
2010-11-23,16.40,6.96 (73.72 %),1700,16.90,16.90,16.40
2010-11-24,17.20,7.58 (78.86 %),100,17.2,17.20,17.20
2010-11-25,16.80,6.71 (66.57 %),12000,17.00,17.20,16.80
2010-11-26,17.10,7.25 (73.58 %),8000,17.1,17.10,17.10
2010-11-29,17.00,6.97 (69.54 %),6000,16.50,17.00,16.30
2010-11-30,17.70,7.73 (77.56 %),12800,17.6,17.70,17.50
2010-12-01,17.00,6.62 (63.79 %),5400,18.20,18.20,17.00
2010-12-02,17.70,7.73 (77.56 %),16600,17.0,17.70,17.00
2010-12-03,18.70,8.32 (80.17 %),20600,18.50,18.70,18.00
2010-12-06,18.90,7.93 (72.36 %),7800,19.0,19.00,18.10
2010-12-07,17.50,6.42 (57.91 %),13300,18.00,18.00,17.50
2010-12-08,17.00,6.74 (65.67 %),21200,17.2,17.20,16.50
2010-12-09,17.00,7.03 (70.54 %),6200,16.50,17.00,16.50
2010-12-10,17.70,7.73 (77.56 %),12000,17.6,17.70,17.60
2010-12-13,17.90,7.52 (72.47 %),26100,18.70,18.70,17.90
2010-12-14,18.00,7.50 (71.49 %),11100,17.2,18.00,17.20
2010-12-15,17.20,6.65 (62.96 %),1000,17.20,17.20,17.20
2010-12-16,16.50,6.41 (63.60 %),6200,16.9,16.90,16.50
2010-12-17,17.30,7.62 (78.81 %),11000,17.20,17.50,16.80
2010-12-20,17.00,6.86 (67.58 %),3500,17.0,17.00,16.80
2010-12-21,18.00,8.03 (80.57 %),12300,17.20,18.00,17.20
2010-12-22,17.60,7.05 (66.75 %),100,17.6,17.60,17.60
2010-12-23,17.00,6.68 (64.73 %),200,17.10,17.10,17.00
2010-12-24,17.80,7.83 (78.56 %),100,17.8,17.80,17.80
2010-12-27,17.80,7.36 (70.54 %),1000,17.80,17.80,17.80
2010-12-28,17.60,7.16 (68.62 %),500,17.0,17.70,17.00
2010-12-29,17.80,7.48 (72.48 %),1600,17.70,17.80,17.70
2010-12-30,17.50,7.06 (67.66 %),100,17.5,17.50,17.50
2010-12-31,17.30,7.04 (68.59 %),21700,17.10,17.50,17.10
2011-01-04,17.30,7.16 (70.54 %),800,17.3,17.30,17.30
2011-01-05,16.80,6.66 (65.61 %),5700,16.80,17.00,16.80
2011-01-06,17.20,7.35 (74.60 %),1400,17.2,17.20,17.20
2011-01-07,17.20,7.11 (70.54 %),200,16.90,17.20,16.90
2011-01-10,17.00,6.91 (68.56 %),3000,17.5,17.50,17.00
2011-01-11,17.20,7.23 (72.55 %),500,17.20,17.20,17.20
2011-01-12,17.30,7.21 (71.53 %),300,17.3,17.30,17.30
2011-01-13,17.30,7.16 (70.54 %),0,17.30,17.30,17.30
2011-01-14,17.30,7.16 (70.54 %),900,17.3,17.30,17.30
2011-01-17,17.50,7.36 (72.51 %),3100,17.30,17.50,17.30
2011-01-18,17.10,6.84 (66.64 %),2100,17.3,17.30,16.70
2011-01-19,16.90,6.87 (68.54 %),0,16.90,16.90,16.90
2011-01-20,16.90,6.99 (70.54 %),0,16.9,16.90,16.90
2011-01-21,17.50,7.59 (76.59 %),700,17.10,17.50,17.10
2011-01-24,17.40,7.14 (69.56 %),8000,17.5,17.50,17.10
2011-01-25,17.00,6.80 (66.62 %),4100,17.40,17.40,17.00
2011-01-26,17.00,7.03 (70.54 %),0,17.0,17.00,17.00
2011-01-27,17.10,7.13 (71.54 %),3100,17.00,17.10,17.00
2011-01-28,17.00,6.97 (69.54 %),300,17.0,17.00,17.00
2011-02-08,17.00,7.03 (70.54 %),0,17.00,17.00,17.00
2011-02-09,17.00,7.03 (70.54 %),0,17.0,17.00,17.00
2011-02-10,17.00,7.03 (70.54 %),2500,17.00,17.00,17.00
2011-02-11,17.00,7.03 (70.54 %),1000,17.0,17.00,17.00
2011-02-14,17.50,7.53 (75.55 %),3700,17.90,17.90,17.50
2011-02-15,17.90,7.64 (74.44 %),200,17.9,17.90,17.90
2011-02-16,17.90,7.40 (70.54 %),0,17.90,17.90,17.90
2011-02-17,17.50,7.00 (66.73 %),200,17.5,17.50,17.50
2011-02-18,17.90,7.64 (74.44 %),500,17.90,17.90,17.90
2011-02-21,17.90,7.40 (70.54 %),0,17.9,17.90,17.90
2011-02-22,17.90,7.40 (70.54 %),0,17.90,17.90,17.90
2011-02-23,17.20,6.70 (63.87 %),5500,17.2,17.20,16.70
2011-02-24,16.70,6.61 (65.58 %),100,16.70,16.70,16.70
2011-02-25,16.70,6.91 (70.54 %),0,16.7,16.70,16.70
2011-02-28,15.80,6.01 (61.35 %),2000,15.90,15.90,15.70
2011-03-01,15.80,6.54 (70.54 %),1200,16.0,16.00,15.80
2011-03-02,14.70,5.44 (58.67 %),3600,14.80,14.80,14.70
2011-03-03,14.80,6.18 (71.70 %),700,14.9,14.90,14.80
2011-03-04,13.90,5.22 (60.17 %),2200,13.90,15.00,13.90
2011-03-07,13.50,5.35 (65.63 %),1700,14.3,14.30,13.50
2011-03-08,13.70,5.78 (73.07 %),12300,14.00,14.00,13.70
2011-03-09,14.00,5.97 (74.27 %),16300,13.8,14.00,13.60
2011-03-10,14.50,6.29 (76.63 %),2800,13.60,14.50,13.60
2011-03-11,14.80,6.30 (74.07 %),2900,15.0,15.00,14.80
2011-03-14,13.80,5.12 (59.02 %),2000,14.00,14.00,13.80
2011-03-15,13.80,5.71 (70.54 %),0,13.8,13.80,13.80
2011-03-16,14.70,6.61 (81.66 %),1000,14.50,14.70,14.50
2011-03-17,14.60,5.98 (69.38 %),2700,14.3,14.60,14.30
2011-03-18,14.50,5.94 (69.37 %),5000,14.10,14.50,14.00
2011-03-21,14.20,5.70 (67.01 %),7900,14.2,14.30,14.20
2011-03-22,14.30,5.97 (71.74 %),5400,14.20,14.60,14.20
2011-03-23,14.50,6.11 (72.92 %),3900,14.5,14.50,14.50
2011-03-24,14.50,6.00 (70.54 %),0,14.50,14.50,14.50
2011-03-25,14.40,5.90 (69.36 %),400,14.2,14.40,13.60
2011-03-28,14.20,5.76 (68.17 %),4000,14.10,14.20,14.10
2011-03-29,14.30,5.97 (71.74 %),8000,14.2,14.30,14.10
2011-03-30,14.00,5.61 (66.96 %),4000,14.00,14.20,14.00
2011-03-31,14.00,5.79 (70.54 %),2200,14.1,14.20,14.00
2011-04-01,14.10,5.89 (71.76 %),0,14.10,14.10,14.10
2011-04-04,14.00,5.73 (69.33 %),4300,14.0,14.00,13.90
2011-04-05,14.00,5.79 (70.54 %),4900,14.00,14.10,14.00
2011-04-06,14.00,5.79 (70.54 %),7200,14.1,14.10,14.00
2011-04-07,14.00,5.79 (70.54 %),1200,14.00,14.00,14.00
2011-04-08,14.00,5.79 (70.54 %),2000,13.9,14.00,13.90
2011-04-13,14.10,5.89 (71.76 %),100,14.10,14.10,14.10
2011-04-14,14.20,5.93 (71.75 %),5100,14.2,14.20,14.20
2011-04-15,14.20,5.87 (70.54 %),3000,14.20,14.20,14.20
2011-04-18,14.00,5.67 (68.14 %),1000,14.0,14.00,14.00
2011-04-19,14.00,5.79 (70.54 %),1900,13.90,14.00,13.90
2011-04-20,14.00,5.79 (70.54 %),800,14.0,14.00,14.00
2011-04-21,13.10,4.89 (59.58 %),4500,13.40,13.40,13.10
2011-04-22,13.00,5.32 (69.24 %),15500,13.2,13.20,13.00
2011-04-25,13.80,6.18 (81.03 %),700,14.00,14.00,13.80
2011-04-26,14.00,5.91 (73.01 %),2800,14.0,14.00,14.00
2011-04-27,14.00,5.79 (70.54 %),3000,14.00,14.00,14.00
2011-04-28,13.90,5.69 (69.32 %),13600,14.0,14.00,13.90
2011-04-29,14.00,5.85 (71.77 %),0,14.00,14.00,14.00
2011-05-04,14.00,5.79 (70.54 %),5800,14.0,14.00,14.00
2011-05-05,14.10,5.89 (71.76 %),15300,14.00,14.20,14.00
2011-05-06,14.20,5.93 (71.75 %),18400,14.0,14.20,14.00
2011-05-09,14.20,5.87 (70.54 %),9000,14.20,14.20,14.00
2011-05-10,14.20,5.87 (70.54 %),8700,14.2,14.20,14.10
2011-05-11,14.20,5.87 (70.54 %),5200,14.10,14.20,14.10
2011-05-12,14.20,5.87 (70.54 %),4200,13.9,14.20,13.90
2011-05-13,14.10,5.77 (69.34 %),400,14.20,14.20,14.10
2011-05-16,14.10,5.83 (70.54 %),22400,14.2,14.20,14.10
2011-05-17,14.00,5.73 (69.33 %),9000,14.20,14.20,14.00
2011-05-18,14.20,5.99 (72.97 %),13300,14.2,14.20,13.50
2011-05-19,14.20,5.87 (70.54 %),5000,14.20,14.20,14.20
2011-05-20,14.10,5.77 (69.34 %),11600,14.2,14.20,13.90
2011-05-23,13.40,5.13 (62.07 %),18000,13.50,13.50,13.30
2011-05-24,12.50,4.64 (59.09 %),16900,12.8,14.00,12.50
2011-05-25,12.00,4.67 (63.72 %),37000,12.00,12.50,12.00
2011-05-26,12.80,5.76 (81.91 %),16000,12.8,12.80,12.30
2011-05-27,13.40,5.89 (78.53 %),50200,13.40,13.40,13.40
2011-05-30,13.80,5.94 (75.63 %),17400,13.7,13.90,13.60
2011-05-31,13.90,5.81 (71.77 %),9300,13.50,14.20,13.50
2011-06-01,14.40,6.25 (76.67 %),2000,13.0,14.40,13.00
2011-06-02,15.20,6.76 (80.01 %),33300,14.30,15.20,14.30
2011-06-03,14.70,5.79 (64.93 %),20100,15.0,15.00,14.60
2011-06-06,14.80,6.18 (71.70 %),7600,14.40,14.80,14.40
2011-06-07,14.90,6.22 (71.69 %),45600,15.0,15.70,14.90
2011-06-08,13.50,4.76 (54.52 %),15200,13.90,13.90,13.20
2011-06-09,12.90,3.78 (41.51 %),19200,13.5,13.50,12.90
2011-06-10,12.90,4.19 (48.10 %),15600,13.10,13.30,12.90
2011-06-13,12.50,3.79 (43.50 %),1600,12.7,12.80,12.50
2011-06-14,12.60,4.16 (49.28 %),4500,12.60,12.60,12.60
2011-06-15,12.10,3.59 (42.22 %),3700,12.2,12.20,12.10
2011-06-16,12.50,4.33 (52.99 %),1800,12.40,12.50,12.30
2011-06-17,12.80,4.36 (51.65 %),400,12.3,12.80,12.30
2011-06-20,12.40,3.76 (43.47 %),0,12.40,12.40,12.40
2011-06-21,12.40,4.03 (48.10 %),0,12.4,12.40,12.40
2011-06-22,12.30,3.93 (46.90 %),19300,12.40,12.40,12.10
2011-06-23,12.00,3.69 (44.48 %),18700,12.1,12.10,12.00
2011-06-24,12.40,4.30 (53.03 %),12400,12.40,12.40,11.60
2011-06-27,12.50,4.13 (49.29 %),11500,11.8,12.50,11.80
2011-06-28,12.30,3.86 (45.73 %),0,12.30,12.30,12.30
2011-06-29,12.20,3.89 (46.89 %),2900,12.0,12.20,12.00
2011-06-30,11.90,3.66 (44.45 %),1300,11.90,11.90,11.90
2011-07-01,12.00,3.96 (49.34 %),1700,11.8,12.00,11.80
2011-07-04,12.30,4.20 (51.80 %),9100,12.00,12.30,12.00
2011-07-05,12.30,3.99 (48.10 %),800,12.5,12.50,12.30
2011-07-06,12.30,3.99 (48.10 %),6800,12.30,12.30,12.30
2011-07-07,12.10,3.79 (45.69 %),4000,12.4,12.40,12.10
2011-07-08,12.60,4.43 (54.22 %),500,12.60,12.60,12.60
2011-07-11,12.70,4.19 (49.27 %),1100,12.6,12.70,12.60
2011-07-12,12.70,4.12 (48.10 %),14500,12.70,12.70,12.70
2011-07-13,12.70,4.12 (48.10 %),0,12.7,12.70,12.70
2011-07-14,12.80,4.22 (49.26 %),9100,12.70,12.80,12.70
2011-07-15,12.70,4.06 (46.94 %),18200,12.7,12.70,12.50
2011-07-18,12.70,4.12 (48.10 %),11800,12.40,12.70,12.40
2011-07-19,12.50,3.92 (45.76 %),900,12.5,12.50,12.50
2011-07-20,12.90,4.46 (52.83 %),19000,12.80,12.90,12.80
2011-07-21,12.90,4.19 (48.10 %),7500,12.9,12.90,12.80
2011-07-22,12.80,4.09 (46.95 %),2800,12.80,12.80,12.80
2011-07-25,12.80,4.16 (48.10 %),9600,12.8,12.80,12.80
2011-07-26,12.70,4.06 (46.94 %),18800,12.80,12.80,12.70
2011-07-27,12.90,4.32 (50.43 %),5700,12.9,12.90,12.90
2011-07-28,12.80,4.09 (46.95 %),500,12.80,12.80,12.80
2011-07-29,12.80,4.16 (48.10 %),300,12.8,12.80,12.80
2011-08-01,12.90,4.26 (49.25 %),500,12.90,12.90,12.90
2011-08-02,12.60,3.89 (44.65 %),3500,12.1,12.60,12.10
2011-08-03,12.50,3.99 (46.92 %),3000,12.50,12.50,12.50
2011-08-04,12.80,4.36 (51.65 %),1300,13.0,13.00,12.80
2011-08-05,12.90,4.26 (49.25 %),1000,12.90,12.90,12.90
2011-08-08,12.90,4.19 (48.10 %),2900,12.8,12.90,12.80
2011-08-09,12.10,3.39 (38.91 %),11100,12.10,12.20,12.10
2011-08-10,12.80,4.63 (56.66 %),100,12.8,12.80,12.80
2011-08-11,12.40,3.76 (43.47 %),8200,12.50,12.50,12.40
2011-08-12,12.80,4.43 (52.87 %),1000,12.7,12.80,12.70
2011-08-15,12.80,4.16 (48.10 %),100,12.80,12.80,12.80
2011-08-16,12.80,4.16 (48.10 %),100,12.8,12.80,12.80
2011-08-17,13.00,4.36 (50.41 %),2000,12.90,13.00,12.90
2011-08-18,12.90,4.12 (46.96 %),0,12.9,12.90,12.90
2011-08-19,12.80,4.09 (46.95 %),1000,12.70,12.80,12.70
2011-08-22,12.70,4.06 (46.94 %),0,12.7,12.70,12.70
2011-08-23,12.70,4.12 (48.10 %),200,12.70,12.70,12.70
2011-08-24,12.80,4.22 (49.26 %),2400,12.7,12.80,12.70
2011-08-25,12.80,4.16 (48.10 %),300,12.80,12.80,12.80
2011-08-26,13.00,4.36 (50.41 %),5000,13.0,13.00,13.00
2011-08-29,13.20,4.42 (50.37 %),2000,13.10,13.20,13.10
2011-08-30,13.30,4.39 (49.22 %),8100,13.2,13.30,13.20
2011-08-31,12.80,3.82 (42.53 %),600,13.80,13.80,12.80
2011-09-01,13.80,5.16 (59.67 %),1000,13.7,13.80,13.70
2011-09-05,13.20,3.88 (41.66 %),400,13.00,13.20,13.00
2011-09-06,13.50,4.59 (51.46 %),18000,13.5,13.70,13.50
2011-09-07,14.10,4.98 (54.68 %),6100,13.50,14.10,13.50
2011-09-08,13.80,4.28 (44.95 %),500,13.8,13.80,13.80
2011-09-09,13.90,4.58 (49.17 %),6000,13.90,14.00,13.90
2011-09-12,14.30,4.91 (52.36 %),16200,13.5,14.30,13.50
2011-09-13,14.80,5.14 (53.27 %),3200,14.40,14.90,14.40
2011-09-14,15.00,5.01 (50.10 %),400,15.7,15.70,15.00
2011-09-15,14.30,4.17 (41.18 %),100,14.30,14.30,14.30
2011-09-16,13.70,4.04 (41.88 %),2700,13.4,13.70,13.30
2011-09-19,13.80,4.55 (49.18 %),200,13.40,13.80,13.40
2011-09-20,13.90,4.58 (49.17 %),100,13.9,13.90,13.90
2011-09-21,13.50,4.11 (43.83 %),9000,13.60,13.60,13.50
2011-09-22,13.10,3.98 (43.71 %),24000,13.1,13.10,13.10
2011-09-23,13.50,4.65 (52.62 %),1700,12.50,13.50,12.50
2011-09-26,13.50,4.38 (48.10 %),3300,13.5,13.50,13.50
2011-09-27,13.70,4.58 (50.29 %),8200,13.50,13.90,13.50
2011-09-28,13.80,4.55 (49.18 %),0,13.8,13.80,13.80
2011-09-29,13.70,4.38 (47.02 %),2500,13.80,13.80,13.70
2011-09-30,13.70,4.45 (48.10 %),3600,13.3,13.80,13.30
2011-10-03,13.40,4.15 (44.85 %),1000,13.40,13.40,13.40
2011-10-04,13.40,4.35 (48.10 %),0,13.4,13.40,13.40
2011-10-05,13.50,4.45 (49.20 %),4300,13.20,13.60,13.20
2011-10-06,13.50,4.38 (48.10 %),900,13.5,13.50,13.50
2011-10-07,13.80,4.68 (51.39 %),1000,13.80,13.80,13.80
2011-10-10,13.60,4.28 (45.95 %),3300,13.6,13.60,13.60
2011-10-11,13.70,4.52 (49.19 %),4800,13.70,13.70,13.60
2011-10-12,13.70,4.45 (48.10 %),0,13.7,13.70,13.70
2011-10-13,13.70,4.45 (48.10 %),500,13.70,13.70,13.70
2011-10-14,13.50,4.25 (45.93 %),100,13.5,13.50,13.50
2011-10-17,13.50,4.38 (48.10 %),0,13.50,13.50,13.50
2011-10-18,13.50,4.38 (48.10 %),2000,13.5,13.50,13.50
2011-10-19,13.50,4.38 (48.10 %),0,13.50,13.50,13.50
2011-10-20,13.50,4.38 (48.10 %),400,13.5,13.50,13.50
2011-10-21,13.50,4.38 (48.10 %),100,13.50,13.50,13.50
2011-10-24,13.50,4.38 (48.10 %),6000,13.5,13.50,13.50
2011-10-25,13.20,4.08 (44.81 %),500,13.20,13.20,13.20
2011-10-26,13.20,4.29 (48.10 %),0,13.2,13.20,13.20
2011-10-27,13.20,4.29 (48.10 %),0,13.20,13.20,13.20
2011-10-28,13.90,4.99 (55.95 %),700,13.9,13.90,13.90
2011-10-31,13.20,3.81 (40.64 %),2500,14.40,14.40,13.20
2011-11-01,14.20,5.29 (59.32 %),0,14.2,14.20,14.20
2011-11-02,14.20,4.61 (48.10 %),0,14.20,14.20,14.20
2011-11-03,14.20,4.61 (48.10 %),0,14.2,14.20,14.20
2011-11-04,14.20,4.61 (48.10 %),0,14.20,14.20,14.20
2011-11-07,14.70,5.11 (53.31 %),400,13.3,14.70,13.30
2011-11-08,14.40,4.47 (45.07 %),7000,14.20,14.40,14.20
2011-11-09,14.30,4.58 (47.07 %),0,14.3,14.30,14.30
2011-11-10,13.40,3.74 (38.78 %),3200,14.00,14.00,13.30
2011-11-11,13.80,4.75 (52.52 %),400,13.8,13.80,13.80
2011-11-14,12.90,3.58 (38.44 %),100,12.90,12.90,12.90
2011-11-15,12.90,4.19 (48.10 %),0,12.9,12.90,12.90
2011-11-16,12.90,4.19 (48.10 %),0,12.90,12.90,12.90
2011-11-17,13.80,5.09 (58.43 %),200,13.8,13.80,13.80
2011-11-18,13.80,4.48 (48.10 %),0,13.80,13.80,13.80
2011-11-21,13.00,3.68 (39.51 %),500,13.0,13.00,13.00
2011-11-22,13.00,4.22 (48.10 %),2700,13.00,13.00,13.00
2011-11-23,12.30,3.52 (40.12 %),200,12.3,12.30,12.30
2011-11-24,13.10,4.79 (57.73 %),900,13.10,13.10,13.10
2011-11-25,12.50,3.65 (41.31 %),200,12.5,12.50,12.50
2011-11-28,12.50,4.06 (48.10 %),8100,12.00,13.30,12.00
2011-11-29,12.80,4.36 (51.65 %),0,12.8,12.80,12.80
2011-11-30,12.20,3.56 (41.15 %),100,12.20,12.20,12.20
2011-12-01,12.10,3.86 (46.88 %),600,12.1,12.30,12.10
2011-12-02,13.00,4.83 (59.11 %),1000,13.00,13.00,13.00
2011-12-05,13.00,4.22 (48.10 %),1000,13.0,13.00,13.00
2011-12-06,13.20,4.42 (50.37 %),5300,13.00,13.20,13.00
2011-12-07,13.10,4.19 (46.97 %),2800,13.1,13.10,13.10
2011-12-08,13.10,4.25 (48.10 %),0,13.10,13.10,13.10
2011-12-09,12.50,3.65 (41.31 %),100,12.5,12.50,12.50
2011-12-12,12.50,4.06 (48.10 %),600,12.50,12.50,12.50
2011-12-13,12.50,4.06 (48.10 %),0,12.5,12.50,12.50
2011-12-14,12.20,3.76 (44.54 %),200,12.20,12.20,12.20
2011-12-15,12.20,3.96 (48.10 %),3000,12.5,12.50,12.20
2011-12-16,13.00,4.76 (57.81 %),100,13.00,13.00,13.00
2011-12-19,13.00,4.22 (48.10 %),0,13.0,13.00,13.00
2011-12-20,13.00,4.22 (48.10 %),0,13.00,13.00,13.00
2011-12-21,13.00,4.22 (48.10 %),1000,13.0,13.00,13.00
2011-12-22,13.00,4.22 (48.10 %),2800,13.00,13.00,13.00
2011-12-23,13.00,4.22 (48.10 %),200,13.0,13.00,13.00
2011-12-26,12.50,3.72 (42.40 %),1400,12.10,12.50,12.10
2011-12-27,12.20,3.76 (44.54 %),3000,12.1,12.20,12.10
2011-12-28,12.70,4.46 (54.17 %),700,12.70,12.70,12.70
2011-12-29,12.70,4.12 (48.10 %),0,12.7,12.70,12.70
2011-12-30,13.00,4.42 (51.59 %),4800,13.00,13.00,13.00
2012-01-03,12.50,3.72 (42.40 %),300,12.5,12.50,12.50
2012-01-04,12.50,4.06 (48.10 %),0,12.50,12.50,12.50
2012-01-05,12.50,4.06 (48.10 %),1200,12.5,12.50,12.50
2012-01-06,12.50,4.06 (48.10 %),0,12.50,12.50,12.50
2012-01-09,12.50,4.06 (48.10 %),0,12.5,12.50,12.50
2012-01-10,12.50,4.06 (48.10 %),100,12.50,12.50,12.50
2012-01-11,13.20,4.76 (56.39 %),100,13.2,13.20,13.20
2012-01-12,13.20,4.29 (48.10 %),0,13.20,13.20,13.20
2012-01-13,13.20,4.29 (48.10 %),0,13.2,13.20,13.20
2012-01-16,13.20,4.29 (48.10 %),0,13.20,13.20,13.20
2012-01-17,13.20,4.29 (48.10 %),900,13.2,13.20,13.20
2012-01-18,13.50,4.59 (51.46 %),100,13.50,13.50,13.50
2012-01-19,13.50,4.38 (48.10 %),0,13.5,13.50,13.50
2012-01-20,14.40,5.28 (57.97 %),100,14.40,14.40,14.40
2012-01-30,14.40,4.68 (48.10 %),0,14.4,14.40,14.40
2012-01-31,14.00,4.28 (43.98 %),600,13.50,14.00,13.50
2012-02-01,13.40,3.95 (41.75 %),2600,13.5,13.50,13.40
2012-02-02,14.40,5.35 (59.15 %),1000,14.40,14.40,14.40
2012-02-03,13.50,3.78 (38.84 %),300,14.0,14.00,13.50
2012-02-06,13.40,4.28 (47.00 %),2000,13.40,13.40,13.40
2012-02-07,14.20,5.15 (56.94 %),100,14.2,14.20,14.20
2012-02-08,13.80,4.21 (43.92 %),100,13.80,13.80,13.80
2012-02-09,13.80,4.48 (48.10 %),200,14.0,14.00,13.80
2012-02-10,14.00,4.68 (50.24 %),100,14.00,14.00,14.00
