date,close,change,volume,open,high,low
2017-02-22,11.40,0.20 (1.79 %),2096,10.6,11.40,10.60
2017-02-23,11.50,0.10 (0.88 %),1000,11.50,11.50,11.50
2017-02-24,11.50,0.00 (0.00 %),0,11.5,11.50,11.50
2017-02-27,11.50,0.00 (0.00 %),2000,11.50,11.50,11.50
2017-02-28,11.80,0.30 (2.61 %),2000,10.6,11.80,10.60
2017-03-01,11.50,0.30 (2.68 %),100,11.50,11.50,11.50
2017-03-02,11.60,0.10 (0.87 %),4000,11.8,11.80,10.70
2017-03-03,10.70,-0.70 (-6.14 %),2000,10.70,10.70,10.70
2017-03-06,11.80,1.10 (10.28 %),1000,11.8,11.80,11.80
2017-03-07,11.80,0.00 (0.00 %),0,11.80,11.80,11.80
2017-03-08,11.80,0.00 (0.00 %),0,11.8,11.80,11.80
2017-03-09,11.80,0.00 (0.00 %),0,11.80,11.80,11.80
2017-03-10,11.80,0.00 (0.00 %),0,11.8,11.80,11.80
2017-03-13,11.80,0.00 (0.00 %),0,11.80,11.80,11.80
2017-03-14,11.80,0.00 (0.00 %),0,11.8,11.80,11.80
2017-03-15,11.30,-0.50 (-4.24 %),1005,10.20,11.30,10.20
2017-03-16,11.20,0.10 (0.90 %),1500,10.1,11.20,10.10
2017-03-17,11.30,0.50 (4.63 %),500,11.30,11.30,11.30
2017-03-20,10.90,-0.40 (-3.54 %),500,10.9,10.90,10.90
2017-03-21,11.80,0.90 (8.26 %),10900,11.20,11.80,11.20
2017-03-22,12.30,0.60 (5.13 %),600,12.3,12.30,12.30
2017-03-23,11.40,-0.90 (-7.32 %),2200,10.60,11.40,10.60
2017-03-24,11.20,0.00 (0.00 %),0,11.2,11.20,11.20
2017-03-27,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2017-03-28,11.40,0.20 (1.79 %),200,11.4,11.40,11.40
2017-03-29,12.30,0.90 (7.89 %),806,12.30,12.30,12.30
2017-03-30,12.30,0.00 (0.00 %),0,12.3,12.30,12.30
2017-03-31,12.30,0.00 (0.00 %),0,12.30,12.30,12.30
2017-04-03,12.30,0.00 (0.00 %),54,12.3,12.30,12.30
2017-04-04,11.20,-1.10 (-8.94 %),1830,10.80,11.20,10.50
2017-04-05,11.20,0.10 (0.90 %),630,11.6,11.60,11.20
2017-04-07,11.50,0.00 (0.00 %),1200,11.90,11.90,11.20
2017-04-10,11.30,-0.50 (-4.24 %),701,10.5,11.30,10.50
2017-04-11,11.00,-0.20 (-1.79 %),200,11.00,11.00,11.00
2017-04-12,11.20,0.20 (1.82 %),900,11.1,11.20,11.10
2017-04-13,11.20,0.00 (0.00 %),26,11.20,11.20,11.20
2017-04-14,10.00,-1.20 (-10.71 %),6000,10.0,10.30,10.00
2017-04-17,10.00,-0.10 (-0.99 %),3000,10.00,10.00,10.00
2017-04-18,10.50,0.50 (5.00 %),100,10.5,10.50,10.50
2017-04-19,9.10,-1.40 (-13.33 %),600,10.30,10.30,9.10
2017-04-20,9.20,-0.10 (-1.08 %),1500,10.4,10.40,9.20
