date,close,change,volume,open,high,low
2017-03-02,2.13,-0.02 (-0.93 %),180240,2.14,2.17,2.11
2017-03-03,2.13,0.00 (0.00 %),41180,2.17,2.17,2.10
2017-03-06,2.05,-0.08 (-3.76 %),216870,2.15,2.15,2.05
2017-03-07,2.05,0.00 (0.00 %),165880,2.04,2.14,2.04
2017-03-08,2.12,0.07 (3.41 %),218610,2.06,2.19,2.05
2017-03-09,2.15,0.03 (1.42 %),88740,2.17,2.19,2.12
2017-03-10,2.10,-0.05 (-2.33 %),49520,2.10,2.15,2.10
2017-03-13,2.12,0.02 (0.95 %),58640,2.09,2.12,2.06
2017-03-14,2.09,-0.03 (-1.42 %),106380,2.13,2.13,2.05
2017-03-15,2.03,-0.06 (-2.87 %),76520,2.10,2.10,2.02
2017-03-16,2.05,0.02 (0.99 %),100980,2.03,2.14,2.03
2017-03-17,2.06,0.01 (0.49 %),104800,2.06,2.10,2.05
2017-03-20,2.06,0.00 (0.00 %),105610,2.14,2.14,2.06
2017-03-21,2.00,-0.06 (-2.91 %),172390,2.09,2.09,2.00
2017-03-22,2.00,0.00 (0.00 %),159260,2.04,2.05,1.98
2017-03-23,2.00,0.00 (0.00 %),27650,2.04,2.04,1.99
2017-03-24,2.03,0.03 (1.50 %),83190,2.00,2.05,1.98
2017-03-27,2.00,-0.03 (-1.48 %),66280,2.03,2.06,1.99
2017-03-28,2.06,0.06 (3.00 %),53200,2.02,2.08,2.00
2017-03-29,2.07,0.01 (0.49 %),23060,2.06,2.09,2.04
2017-03-30,2.11,0.04 (1.93 %),255010,2.07,2.21,2.06
2017-03-31,2.12,0.01 (0.47 %),131710,2.15,2.15,2.08
2017-04-03,2.02,-0.10 (-4.72 %),132810,2.10,2.15,2.01
2017-04-04,2.03,0.01 (0.50 %),59470,2.02,2.10,2.02
2017-04-05,2.03,0.00 (0.00 %),71400,2.08,2.08,2.00
2017-04-07,2.03,0.00 (0.00 %),49000,2.03,2.05,2.00
2017-04-10,2.05,0.02 (0.99 %),89410,2.02,2.05,2.00
2017-04-11,2.05,0.00 (0.00 %),40580,2.02,2.07,2.00
2017-04-12,2.03,-0.02 (-0.98 %),88550,2.00,2.05,1.95
2017-04-13,1.99,-0.04 (-1.97 %),42120,2.01,2.03,1.96
2017-04-14,1.99,0.00 (0.00 %),116860,1.95,1.99,1.93
2017-04-17,1.94,-0.05 (-2.51 %),225210,1.98,1.99,1.92
2017-04-18,1.94,0.00 (0.00 %),399160,1.91,1.94,1.88
2017-04-19,1.93,-0.01 (-0.52 %),176110,1.90,1.93,1.90
2017-04-20,1.94,0.01 (0.52 %),81500,1.91,1.94,1.91
2017-04-21,1.94,0.00 (0.00 %),9880,1.95,1.95,1.93
2017-04-24,1.91,-0.03 (-1.55 %),58540,1.95,1.99,1.89
2017-04-25,1.91,0.00 (0.00 %),32720,1.94,1.96,1.91
2017-04-26,1.92,0.01 (0.52 %),110510,1.94,1.96,1.90
2017-04-27,1.92,0.00 (0.00 %),137660,1.92,1.93,1.91
2017-04-28,1.93,0.01 (0.52 %),77700,1.91,1.98,1.91
2017-05-03,2.06,0.13 (6.74 %),481860,1.97,2.06,1.97
2017-05-04,2.12,0.06 (2.91 %),395560,2.10,2.18,2.10
2017-05-05,2.08,-0.04 (-1.89 %),160300,2.12,2.15,2.08
2017-05-08,2.22,0.14 (6.73 %),589970,2.18,2.22,2.15
2017-05-09,2.37,0.15 (6.76 %),532720,2.37,2.37,2.36
2017-05-10,2.26,-0.11 (-4.64 %),1233050,2.52,2.52,2.26
2017-05-11,2.41,0.15 (6.64 %),699150,2.27,2.41,2.26
2017-05-12,2.57,0.16 (6.64 %),666180,2.57,2.57,2.57
2017-05-15,2.74,0.17 (6.61 %),114170,2.74,2.74,2.74
2017-05-16,2.93,0.19 (6.93 %),3979290,2.93,2.93,2.72
2017-05-17,3.13,0.20 (6.83 %),2020820,2.99,3.13,2.95
2017-05-18,3.34,0.21 (6.71 %),269090,3.34,3.34,3.34
2017-05-19,3.57,0.23 (6.89 %),164280,3.57,3.57,3.57
2017-05-22,3.81,0.24 (6.72 %),198810,3.81,3.81,3.81
2017-05-23,4.07,0.26 (6.82 %),274730,4.07,4.07,4.07
2017-05-24,4.35,0.28 (6.88 %),199270,4.35,4.35,4.35
2017-05-25,4.65,0.30 (6.90 %),52930,4.65,4.65,4.65
2017-05-26,4.97,0.32 (6.88 %),77230,4.97,4.97,4.97
2017-05-29,4.63,-0.34 (-6.84 %),4540530,5.31,5.31,4.63
2017-05-30,4.31,-0.32 (-6.91 %),274120,4.31,4.31,4.31
2017-05-31,4.01,-0.30 (-6.96 %),86840,4.01,4.01,4.01
2017-06-01,3.73,-0.28 (-6.98 %),29490,3.73,3.73,3.73
2017-06-02,3.47,-0.26 (-6.97 %),5108730,3.47,3.98,3.47
2017-06-05,3.71,0.24 (6.92 %),209030,3.71,3.71,3.71
2017-06-06,3.88,0.17 (4.58 %),2207140,3.96,3.96,3.46
2017-06-07,3.70,-0.18 (-4.64 %),2410800,3.65,3.76,3.61
2017-06-08,3.63,-0.07 (-1.89 %),444050,3.61,3.85,3.61
2017-06-09,3.39,-0.24 (-6.61 %),1963650,3.50,3.58,3.38
2017-06-12,3.18,-0.21 (-6.19 %),966450,3.20,3.35,3.18
2017-06-13,3.40,0.22 (6.92 %),2032130,3.17,3.40,2.96
2017-06-14,3.62,0.22 (6.47 %),2088940,3.60,3.63,3.55
2017-06-15,3.63,0.01 (0.28 %),711940,3.43,3.85,3.43
2017-06-16,3.74,0.11 (3.03 %),840990,3.55,3.79,3.47
2017-06-19,3.95,0.21 (5.61 %),1534670,4.00,4.00,3.88
2017-06-20,4.22,0.27 (6.84 %),1591340,3.97,4.22,3.97
2017-06-21,4.50,0.28 (6.64 %),1433170,4.22,4.51,4.16
2017-06-22,4.19,-0.31 (-6.89 %),1341110,4.50,4.60,4.19
2017-06-23,3.98,-0.21 (-5.01 %),1734150,3.97,4.20,3.90
2017-06-26,4.24,0.26 (6.53 %),1048220,3.98,4.25,3.97
2017-06-27,3.95,-0.29 (-6.84 %),979850,4.20,4.35,3.95
2017-06-28,3.99,0.04 (1.01 %),864430,3.91,4.04,3.91
2017-06-29,4.02,0.03 (0.75 %),826450,3.99,4.15,3.96
2017-06-30,3.99,-0.03 (-0.75 %),411350,3.98,4.03,3.96
2017-07-03,4.11,0.12 (3.01 %),885520,4.00,4.23,3.90
2017-07-04,4.15,0.04 (0.97 %),746610,4.20,4.23,4.01
2017-07-05,4.38,0.23 (5.54 %),1719080,4.22,4.40,4.15
2017-07-06,4.38,0.00 (0.00 %),608720,4.39,4.48,4.32
2017-07-07,4.20,-0.18 (-4.11 %),812300,4.40,4.40,4.20
2017-07-10,3.95,-0.25 (-5.95 %),695540,4.20,4.29,3.95
2017-07-11,4.20,0.25 (6.33 %),1085800,3.95,4.22,3.95
2017-07-12,4.20,0.00 (0.00 %),353400,4.05,4.25,4.05
2017-07-13,4.18,-0.02 (-0.48 %),377460,4.22,4.23,4.11
2017-07-14,4.10,-0.08 (-1.91 %),483200,4.10,4.17,4.07
2017-07-17,4.10,0.00 (0.00 %),375900,4.10,4.17,4.07
2017-07-18,4.38,0.28 (6.83 %),1417330,4.10,4.38,4.06
2017-07-19,4.67,0.29 (6.62 %),1727050,4.48,4.68,4.48
2017-07-20,4.45,-0.22 (-4.71 %),424170,4.66,4.69,4.40
2017-07-21,4.34,-0.11 (-2.47 %),552680,4.43,4.70,4.20
2017-07-24,4.46,0.12 (2.76 %),1310890,4.34,4.63,4.33
2017-07-25,4.52,0.06 (1.35 %),1026450,4.55,4.58,4.50
2017-07-26,4.58,0.06 (1.33 %),735430,4.52,4.59,4.40
2017-07-27,4.48,-0.10 (-2.18 %),445570,4.58,4.59,4.48
2017-07-28,4.39,-0.09 (-2.01 %),605380,4.53,4.53,4.32
2017-07-31,4.11,-0.28 (-6.38 %),1062680,4.32,4.37,4.09
2017-08-01,3.83,-0.28 (-6.81 %),583310,3.83,3.83,3.83
2017-08-02,3.57,-0.26 (-6.79 %),357720,3.57,3.57,3.57
2017-08-03,3.50,-0.07 (-1.96 %),2737040,3.33,3.80,3.33
2017-08-04,3.55,0.05 (1.43 %),701700,3.50,3.63,3.50
2017-08-07,3.79,0.24 (6.76 %),1180020,3.61,3.79,3.47
2017-08-08,4.05,0.26 (6.86 %),978380,3.80,4.05,3.80
2017-08-09,3.85,-0.20 (-4.94 %),717450,4.20,4.30,3.78
2017-08-10,3.74,-0.11 (-2.86 %),508960,3.67,3.90,3.67
2017-08-11,3.76,0.02 (0.53 %),296900,3.74,3.89,3.70
2017-08-14,3.79,0.03 (0.80 %),188820,3.76,3.86,3.72
2017-08-15,3.69,-0.10 (-2.64 %),340830,3.78,3.80,3.66
2017-08-16,3.44,-0.25 (-6.78 %),509320,3.69,3.69,3.44
2017-08-17,3.52,0.08 (2.33 %),770030,3.21,3.67,3.21
2017-08-18,3.47,-0.05 (-1.42 %),92620,3.56,3.56,3.30
2017-08-21,3.41,-0.06 (-1.73 %),185150,3.47,3.47,3.36
2017-08-22,3.47,0.06 (1.76 %),406680,3.41,3.56,3.41
2017-08-23,3.43,-0.04 (-1.15 %),236060,3.49,3.49,3.30
2017-08-24,3.38,-0.05 (-1.46 %),293370,3.40,3.46,3.32
2017-08-25,3.33,-0.05 (-1.48 %),339380,3.35,3.37,3.27
2017-08-28,3.29,-0.04 (-1.20 %),396160,3.35,3.35,3.27
2017-08-29,3.33,0.04 (1.22 %),235870,3.29,3.42,3.24
2017-08-30,3.40,0.07 (2.10 %),365920,3.40,3.40,3.27
2017-08-31,3.38,-0.02 (-0.59 %),293100,3.40,3.40,3.32
