date,close,change,volume,open,high,low
2018-11-22,6.70,-4.00 (-37.38 %),4300,14.5,14.50,6.70
2018-11-23,11.00,0.70 (6.80 %),100,11.00,11.00,11.00
2018-11-26,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2018-11-27,9.50,-1.50 (-13.64 %),100,9.50,9.50,9.50
2018-11-28,10.60,1.10 (11.58 %),300,8.1,10.60,8.10
2018-11-29,7.80,-1.10 (-12.36 %),100,7.80,7.80,7.80
2018-11-30,6.70,-1.10 (-14.10 %),300,8.9,8.90,6.70
2018-12-03,6.60,-0.80 (-10.81 %),100,6.60,6.60,6.60
2018-12-04,5.80,-0.80 (-12.12 %),100,5.8,5.80,5.80
2018-12-05,6.60,0.80 (13.79 %),1000,6.60,6.60,5.60
2018-12-06,6.90,0.90 (15.00 %),100,6.9,6.90,6.90
2018-12-07,7.90,1.00 (14.49 %),100,7.90,7.90,7.90
2018-12-10,8.00,0.10 (1.27 %),100,8.0,8.00,8.00
2018-12-11,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2018-12-12,9.10,1.10 (13.75 %),100,9.1,9.10,9.10
2018-12-13,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2018-12-14,9.50,0.40 (4.40 %),100,9.5,9.50,9.50
2018-12-17,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2018-12-18,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2018-12-19,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2018-12-20,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2018-12-21,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2018-12-24,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2018-12-25,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2018-12-26,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2018-12-27,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2018-12-28,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-02,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-03,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-04,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-07,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-08,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-09,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-10,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-11,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-14,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-15,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-16,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-17,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-18,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-21,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-22,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-23,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-24,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-25,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-28,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-29,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-01-30,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-01-31,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2019-02-01,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2019-02-11,10.70,1.20 (12.63 %),100,10.7,10.70,10.70
2019-02-12,10.70,0.00 (0.00 %),0,10.70,10.70,10.70
2019-02-13,11.00,0.30 (2.80 %),100,11.0,11.00,11.00
2019-02-14,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2019-02-15,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2019-02-18,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2019-02-19,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2019-02-20,11.00,0.00 (0.00 %),0,11.00,11.00,11.00
2019-02-21,11.00,0.00 (0.00 %),0,11.0,11.00,11.00
2019-02-22,9.40,-1.60 (-14.55 %),100,9.40,9.40,9.40
2019-02-25,9.40,0.00 (0.00 %),0,9.4,9.40,9.40
2019-02-26,9.40,0.00 (0.00 %),0,9.40,9.40,9.40
2019-02-27,9.40,0.00 (0.00 %),0,9.4,9.40,9.40
2019-02-28,9.40,0.00 (0.00 %),0,9.40,9.40,9.40
2019-03-01,9.40,0.00 (0.00 %),0,9.4,9.40,9.40
2019-03-04,8.00,-1.40 (-14.89 %),1200,8.00,8.00,8.00
2019-03-05,6.80,-1.20 (-15.00 %),3200,6.8,6.80,6.80
2019-03-06,6.80,0.00 (0.00 %),0,6.80,6.80,6.80
2019-03-07,5.90,-0.90 (-13.24 %),200,5.9,5.90,5.90
2019-03-08,6.70,0.80 (13.56 %),100,6.70,6.70,6.70
2019-03-11,6.70,0.00 (0.00 %),0,6.7,6.70,6.70
2019-03-12,6.70,0.00 (0.00 %),0,6.70,6.70,6.70
2019-03-13,7.60,0.90 (13.43 %),1900,7.6,7.60,7.60
2019-03-14,7.60,0.00 (0.00 %),0,7.60,7.60,7.60
2019-03-15,7.60,0.00 (0.00 %),0,7.6,7.60,7.60
2019-03-18,7.60,0.00 (0.00 %),0,7.60,7.60,7.60
2019-03-19,7.60,0.00 (0.00 %),0,7.6,7.60,7.60
2019-03-20,7.60,0.00 (0.00 %),0,7.60,7.60,7.60
2019-03-21,7.60,0.00 (0.00 %),0,7.6,7.60,7.60
2019-03-22,7.60,0.00 (0.00 %),0,7.60,7.60,7.60
2019-03-25,7.60,0.00 (0.00 %),0,7.6,7.60,7.60
2019-03-26,7.60,0.00 (0.00 %),0,7.60,7.60,7.60
2019-03-27,8.70,1.10 (14.47 %),200,8.7,8.70,8.70
2019-03-28,8.00,-0.70 (-8.05 %),500,8.00,8.00,8.00
2019-03-29,8.00,0.00 (0.00 %),400,8.0,8.00,8.00
2019-04-01,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-04-02,9.00,1.00 (12.50 %),100,9.0,9.00,9.00
2019-04-03,9.00,0.00 (0.00 %),1000,9.00,9.00,9.00
2019-04-04,8.50,-0.50 (-5.56 %),1100,8.5,8.50,8.50
2019-04-05,8.00,-0.50 (-5.88 %),800,8.30,8.30,8.00
2019-04-08,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-04-09,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-04-10,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-04-11,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-04-12,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-04-16,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-04-17,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-04-18,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-04-19,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-04-22,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-04-23,9.00,1.00 (12.50 %),1300,9.0,9.00,9.00
2019-04-24,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2019-04-25,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2019-04-26,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2019-05-02,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2019-05-03,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2019-05-06,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2019-05-07,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2019-05-08,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2019-05-09,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2019-05-10,9.10,0.10 (1.11 %),100,9.1,9.10,9.10
2019-05-13,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2019-05-14,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2019-05-15,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2019-05-16,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2019-05-17,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2019-05-20,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2019-05-21,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2019-05-22,8.00,-1.10 (-12.09 %),100,8.0,8.00,8.00
2019-05-23,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-05-24,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-05-27,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-05-28,6.80,-1.20 (-15.00 %),100,6.8,6.80,6.80
2019-05-29,7.80,1.00 (14.71 %),100,7.80,7.80,7.80
2019-05-30,7.80,0.00 (0.00 %),0,7.8,7.80,7.80
2019-05-31,6.70,-1.10 (-14.10 %),200,6.70,6.70,6.70
2019-06-03,6.70,0.00 (0.00 %),0,6.7,6.70,6.70
2019-06-04,6.70,0.00 (0.00 %),0,6.70,6.70,6.70
2019-06-05,7.30,0.60 (8.96 %),400,5.7,7.30,5.70
2019-06-06,6.10,0.00 (0.00 %),0,6.10,6.10,6.10
2019-06-07,6.10,0.00 (0.00 %),0,6.1,6.10,6.10
2019-06-10,6.10,0.00 (0.00 %),0,6.10,6.10,6.10
2019-06-11,6.10,0.00 (0.00 %),0,6.1,6.10,6.10
2019-06-12,7.00,0.90 (14.75 %),100,7.00,7.00,7.00
2019-06-13,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-06-14,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-06-17,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-06-18,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-06-19,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-06-20,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-06-21,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-06-24,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-06-25,7.00,0.00 (0.00 %),400,7.0,7.00,7.00
2019-06-26,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-06-27,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-06-28,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-07-01,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-07-02,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-07-03,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-07-04,7.00,0.00 (0.00 %),0,7.00,7.00,7.00
2019-07-05,7.00,0.00 (0.00 %),0,7.0,7.00,7.00
2019-07-08,8.00,1.00 (14.29 %),100,8.00,8.00,8.00
2019-07-09,8.00,0.00 (0.00 %),2100,8.0,9.20,7.50
2019-07-10,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-07-11,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-07-12,8.00,0.00 (0.00 %),3000,8.00,8.00,8.00
2019-07-15,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-07-16,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-07-17,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-07-18,8.00,0.00 (0.00 %),0,8.00,8.00,8.00
2019-07-19,8.00,0.00 (0.00 %),0,8.0,8.00,8.00
2019-07-22,7.50,-0.50 (-6.25 %),1000,7.50,7.50,7.50
2019-07-23,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-07-24,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-07-25,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-07-26,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-07-29,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-07-30,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-07-31,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-01,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-02,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-05,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-06,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-07,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-08,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-09,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-12,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-13,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-14,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-15,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-16,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2019-08-19,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2019-08-20,6.50,-1.00 (-13.33 %),300,6.5,6.50,6.50
2019-08-21,5.80,-0.70 (-10.77 %),100,5.80,5.80,5.80
2019-08-22,5.80,0.00 (0.00 %),0,5.8,5.80,5.80
2019-08-23,5.80,0.00 (0.00 %),100,5.80,5.80,5.80
2019-08-26,5.80,0.00 (0.00 %),0,5.8,5.80,5.80
2019-08-27,5.80,0.00 (0.00 %),0,5.80,5.80,5.80
2019-08-28,5.80,0.00 (0.00 %),0,5.8,5.80,5.80
2019-08-29,5.80,0.00 (0.00 %),100,5.80,5.80,5.80
2019-08-30,5.80,0.00 (0.00 %),0,5.8,5.80,5.80
2019-09-03,5.80,0.00 (0.00 %),0,5.80,5.80,5.80
2019-09-04,5.80,0.00 (0.00 %),0,5.8,5.80,5.80
2019-09-05,5.80,0.00 (0.00 %),300,5.80,5.80,5.80
2019-09-06,5.80,0.00 (0.00 %),0,5.8,5.80,5.80
2019-09-09,6.60,0.80 (13.79 %),100,6.60,6.60,6.60
2019-09-10,7.50,0.90 (13.64 %),200,5.8,7.50,5.80
2019-09-11,6.00,-0.70 (-10.45 %),200,7.70,7.70,6.00
2019-09-12,6.50,-0.40 (-5.80 %),100,6.5,6.50,6.50
2019-09-13,6.50,0.00 (0.00 %),0,6.50,6.50,6.50
2019-09-16,6.50,0.00 (0.00 %),0,6.5,6.50,6.50
2019-09-17,6.50,0.00 (0.00 %),0,6.50,6.50,6.50
2019-09-18,6.00,-0.50 (-7.69 %),100,6.0,6.00,6.00
2019-09-19,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-09-20,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-09-23,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-09-24,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-09-25,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-09-26,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-09-27,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-09-30,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-01,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-02,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-03,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-04,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-07,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-08,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-09,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-10,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-11,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-14,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-15,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-16,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-17,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-18,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-21,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-22,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-23,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-24,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-25,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-28,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2019-10-29,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2019-10-30,8.40,2.40 (40.00 %),300,8.4,8.40,4.00
2019-10-31,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2019-11-01,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2019-11-04,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2019-11-05,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2019-11-06,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
2019-11-07,6.90,0.00 (0.00 %),0,6.9,6.90,6.90
2019-11-08,6.90,0.00 (0.00 %),0,6.90,6.90,6.90
