date,close,change,volume,open,high,low
2017-04-20,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-04-21,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-04-24,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-04-25,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-04-26,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-04-27,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-04-28,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-03,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-04,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-05,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-08,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-09,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-10,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-11,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-12,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-15,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-16,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-17,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-18,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-19,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-22,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-23,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-24,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-25,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-26,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-29,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-05-30,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-05-31,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-06-01,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-06-02,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-06-05,10.20,0.00 (0.00 %),0,10.20,10.20,10.20
2017-06-06,10.20,0.00 (0.00 %),0,10.2,10.20,10.20
2017-06-07,6.20,-4.00 (-39.22 %),100,6.20,6.20,6.20
2017-06-08,6.20,0.00 (0.00 %),0,6.2,6.20,6.20
2017-06-09,6.20,0.00 (0.00 %),0,6.20,6.20,6.20
2017-06-12,5.30,-0.90 (-14.52 %),100,5.3,5.30,5.30
2017-06-13,5.30,0.00 (0.00 %),0,5.30,5.30,5.30
2017-06-14,5.20,-0.10 (-1.89 %),100,5.2,5.20,5.20
2017-06-16,5.20,0.00 (0.00 %),0,5.20,5.20,5.20
2017-06-19,5.20,0.00 (0.00 %),1000,5.2,5.20,5.20
2017-06-20,5.90,0.70 (13.46 %),100,5.90,5.90,5.90
2017-06-21,5.90,0.00 (0.00 %),0,5.9,5.90,5.90
2017-06-22,5.90,0.00 (0.00 %),0,5.90,5.90,5.90
2017-06-23,5.90,0.00 (0.00 %),0,5.9,5.90,5.90
2017-06-26,5.90,0.00 (0.00 %),0,5.90,5.90,5.90
2017-06-27,5.90,0.00 (0.00 %),0,5.9,5.90,5.90
2017-06-28,6.70,0.80 (13.56 %),100,6.70,6.70,6.70
2017-06-29,6.70,0.00 (0.00 %),0,6.7,6.70,6.70
2017-06-30,6.70,0.00 (0.00 %),0,6.70,6.70,6.70
2017-07-03,5.70,-1.00 (-14.93 %),100,5.7,5.70,5.70
2017-07-04,4.90,-0.80 (-14.04 %),100,4.90,4.90,4.90
