date,close,change,volume,open,high,low
2019-07-17,17.50,5.00 (40.00 %),1000,17.50,17.50,17.50
2019-07-18,17.50,0.00 (0.00 %),0,17.5,17.50,17.50
2019-07-19,17.50,0.00 (0.00 %),0,17.50,17.50,17.50
2019-07-22,20.10,2.60 (14.86 %),100,20.1,20.10,20.10
2019-07-23,23.10,3.00 (14.93 %),100,23.10,23.10,23.10
2019-07-24,26.50,3.40 (14.72 %),400,26.5,26.50,26.50
2019-07-25,30.40,3.90 (14.72 %),200,30.40,30.40,30.40
2019-07-26,34.90,4.50 (14.80 %),100,34.9,34.90,34.90
2019-07-29,40.10,5.20 (14.90 %),100,40.10,40.10,40.10
2019-07-30,46.00,5.90 (14.71 %),2200,41.5,46.00,41.00
2019-07-31,45.50,2.00 (4.60 %),2500,45.00,45.50,45.00
2019-08-01,38.30,-6.70 (-14.89 %),300,38.3,38.30,38.30
2019-08-02,32.70,-5.60 (-14.62 %),100,32.70,32.70,32.70
2019-08-05,32.70,0.00 (0.00 %),300,27.9,32.70,27.90
2019-08-06,30.00,0.50 (1.69 %),200,30.00,30.00,30.00
2019-08-07,25.50,-4.50 (-15.00 %),100,25.5,25.50,25.50
2019-08-08,25.50,0.00 (0.00 %),0,25.50,25.50,25.50
2019-08-09,24.70,0.00 (0.00 %),0,24.7,24.70,24.70
2019-08-12,21.00,-3.70 (-14.98 %),100,21.00,21.00,21.00
2019-08-13,24.10,3.10 (14.76 %),100,24.1,24.10,24.10
2019-08-14,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-08-15,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-08-16,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-08-19,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-08-20,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-08-21,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-08-22,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-08-23,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-08-26,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-08-27,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-08-28,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-08-29,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-08-30,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-03,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-04,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-05,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-06,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-09,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-10,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-11,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-12,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-13,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-16,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-17,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-18,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-19,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-20,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-23,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-24,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-25,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-26,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-09-27,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-09-30,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-10-01,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-10-02,24.10,0.00 (0.00 %),0,24.10,24.10,24.10
2019-10-03,24.10,0.00 (0.00 %),0,24.1,24.10,24.10
2019-10-04,27.70,3.60 (14.94 %),30000,27.70,27.70,20.50
2019-10-07,31.80,4.10 (14.80 %),1400,29.0,31.80,29.00
2019-10-08,34.90,4.50 (14.80 %),100,34.90,34.90,34.90
2019-10-09,34.90,0.00 (0.00 %),0,34.9,34.90,34.90
2019-10-10,35.00,0.10 (0.29 %),100,35.00,35.00,35.00
2019-10-11,33.00,-2.00 (-5.71 %),500,29.8,33.00,29.80
2019-10-14,33.00,1.20 (3.77 %),1200,35.50,35.50,33.00
2019-10-16,33.00,0.70 (2.17 %),500,33.0,33.00,33.00
