date,close,change,volume,open,high,low
2017-06-19,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-06-20,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-06-21,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-06-22,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-06-23,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-06-26,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-06-27,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-06-28,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-06-29,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-06-30,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-07-03,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-07-04,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-07-05,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-07-06,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-07-07,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-07-10,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-07-11,9.10,0.00 (0.00 %),0,9.1,9.10,9.10
2017-07-12,9.10,0.00 (0.00 %),0,9.10,9.10,9.10
2017-07-13,12.70,3.60 (39.56 %),1000,12.7,12.70,12.70
2017-07-14,12.70,0.00 (0.00 %),0,12.70,12.70,12.70
2017-07-17,12.70,0.00 (0.00 %),0,12.7,12.70,12.70
2017-07-18,14.50,1.80 (14.17 %),100,14.50,14.50,14.50
2017-07-19,16.50,2.00 (13.79 %),100,16.5,16.50,16.50
2017-07-20,16.50,0.00 (0.00 %),0,16.50,16.50,16.50
2017-07-21,16.50,0.00 (0.00 %),0,16.5,16.50,16.50
2017-07-24,18.70,2.20 (13.33 %),100,18.70,18.70,18.70
2017-07-25,18.70,0.00 (0.00 %),0,18.7,18.70,18.70
2017-07-26,18.70,0.00 (0.00 %),0,18.70,18.70,18.70
2017-07-27,15.90,-2.80 (-14.97 %),22100,18.7,18.70,15.90
2017-07-28,18.70,0.00 (0.00 %),0,18.70,18.70,18.70
2017-07-31,18.70,0.00 (0.00 %),0,18.7,18.70,18.70
2017-08-01,18.70,0.00 (0.00 %),0,18.70,18.70,18.70
2017-08-02,18.70,0.00 (0.00 %),0,18.7,18.70,18.70
2017-08-03,18.70,0.00 (0.00 %),0,18.70,18.70,18.70
2017-08-04,18.70,0.00 (0.00 %),0,18.7,18.70,18.70
2017-08-07,18.70,0.00 (0.00 %),0,18.70,18.70,18.70
2017-08-08,15.90,-2.80 (-14.97 %),100,15.9,15.90,15.90
2017-08-09,13.60,-2.30 (-14.47 %),100,13.60,13.60,13.60
2017-08-10,13.60,0.00 (0.00 %),0,13.6,13.60,13.60
2017-08-11,11.60,-2.00 (-14.71 %),100,11.60,11.60,11.60
2017-08-14,9.90,-1.70 (-14.66 %),100,9.9,9.90,9.90
2017-08-15,8.50,-1.40 (-14.14 %),100,8.50,8.50,8.50
2017-08-16,7.30,-1.20 (-14.12 %),100,7.3,7.30,7.30
2017-08-17,6.30,-1.00 (-13.70 %),100,6.30,6.30,6.30
2017-08-18,5.40,-0.90 (-14.29 %),100,5.4,5.40,5.40
2017-08-21,4.60,-0.80 (-14.81 %),100,4.60,4.60,4.60
2017-08-22,4.00,-0.60 (-13.04 %),100,4.0,4.00,4.00
2017-08-23,3.40,-0.60 (-15.00 %),3000,3.40,3.40,3.40
2017-08-24,3.00,-0.40 (-11.76 %),200,3.9,3.90,3.00
2017-08-25,3.10,-0.40 (-11.43 %),22000,3.10,3.10,3.10
2017-08-28,2.90,-0.20 (-6.45 %),100,2.9,2.90,2.90
2017-08-29,2.90,0.00 (0.00 %),0,2.90,2.90,2.90
2017-08-30,3.30,0.40 (13.79 %),200,3.2,3.30,3.20
2017-08-31,3.40,0.10 (3.03 %),2048,3.70,3.70,3.40
2017-09-01,3.40,-0.10 (-2.86 %),487,3.4,3.40,3.40
2017-09-05,3.90,0.50 (14.71 %),600,3.00,3.90,3.00
2017-09-06,3.80,0.00 (0.00 %),200,4.3,3.80,3.80
2017-09-07,4.90,0.60 (13.95 %),200,4.90,4.90,4.90
2017-09-08,5.60,0.70 (14.29 %),100,5.6,5.60,5.60
2017-09-12,7.30,0.90 (14.06 %),1200,7.20,7.30,7.20
2017-09-13,8.30,1.00 (13.70 %),200,8.3,8.30,8.30
2017-09-14,9.40,1.10 (13.25 %),800,9.40,9.40,9.40
2017-09-15,10.70,1.30 (13.83 %),100,10.7,10.70,10.70
2017-09-18,12.10,1.40 (13.08 %),100,12.10,12.10,12.10
2017-09-19,12.00,-0.10 (-0.83 %),6000,12.0,12.00,12.00
2017-09-20,10.20,-1.80 (-15.00 %),100,10.20,10.20,10.20
2017-09-21,8.70,-1.50 (-14.71 %),100,8.7,8.70,8.70
2017-09-22,8.70,0.00 (0.00 %),0,8.70,8.70,8.70
2017-09-25,8.70,0.00 (0.00 %),0,8.7,8.70,8.70
2017-09-26,7.40,-1.30 (-14.94 %),100,7.40,7.40,7.40
2017-09-27,6.40,-1.00 (-13.51 %),100,6.4,6.40,6.40
2017-09-28,5.50,-0.90 (-14.06 %),100,5.50,5.50,5.50
2017-09-29,4.70,-0.80 (-14.55 %),100,4.7,4.70,4.70
2017-10-02,4.00,-0.70 (-14.89 %),200,4.10,4.10,4.00
2017-10-03,3.60,-0.50 (-12.20 %),100,3.6,3.60,3.60
2017-10-04,3.20,-0.40 (-11.11 %),6000,3.20,3.20,3.20
2017-10-05,3.20,0.00 (0.00 %),0,3.2,3.20,3.20
2017-10-06,3.60,0.40 (12.50 %),100,3.60,3.60,3.60
2017-10-09,4.10,0.50 (13.89 %),100,4.1,4.10,4.10
2017-10-10,4.70,0.60 (14.63 %),100,4.70,4.70,4.70
2017-10-11,5.40,0.70 (14.89 %),300,5.4,5.40,5.40
2017-10-12,6.20,0.80 (14.81 %),4500,6.20,6.20,6.20
2017-10-13,7.00,0.80 (12.90 %),100,7.0,7.00,7.00
2017-10-16,7.80,0.80 (11.43 %),100,7.80,7.80,7.80
2017-10-17,7.80,0.00 (0.00 %),0,7.8,7.80,7.80
2017-10-18,7.80,0.00 (0.00 %),0,7.80,7.80,7.80
2017-10-19,7.80,0.00 (0.00 %),10,7.8,7.80,7.80
2017-10-20,7.80,0.00 (0.00 %),0,7.80,7.80,7.80
2017-10-23,7.80,0.00 (0.00 %),0,7.8,7.80,7.80
2017-10-24,7.80,0.00 (0.00 %),0,7.80,7.80,7.80
2017-10-25,8.50,0.70 (8.97 %),100,8.5,8.50,8.50
2017-10-26,8.50,0.00 (0.00 %),0,8.50,8.50,8.50
2017-10-27,8.50,0.00 (0.00 %),0,8.5,8.50,8.50
2017-10-30,8.30,-0.20 (-2.35 %),2800,8.30,8.30,8.30
