date,close,change,volume,open,high,low
2015-02-09,24.40,2.10 (9.42 %),15000,24.4,24.40,24.40
2015-02-10,26.70,2.30 (9.43 %),500,26.70,26.70,26.70
2015-02-11,29.30,2.60 (9.74 %),300,29.3,29.30,29.30
2015-02-12,32.00,2.70 (9.22 %),4000,32.00,32.00,32.00
2015-02-13,35.20,3.20 (10.00 %),17482,33.5,35.20,33.50
2015-02-24,33.50,0.00 (0.00 %),0,33.50,33.50,33.50
2015-02-25,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-02-26,33.50,0.00 (0.00 %),4500,33.50,33.50,33.50
2015-02-27,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-03-02,33.50,0.00 (0.00 %),0,33.50,33.50,33.50
2015-03-03,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-03-04,33.50,0.00 (0.00 %),0,33.50,33.50,33.50
2015-03-05,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-03-06,33.50,0.00 (0.00 %),0,33.50,33.50,33.50
2015-03-09,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-03-10,33.50,0.00 (0.00 %),0,33.50,33.50,33.50
2015-03-11,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-03-12,33.50,0.00 (0.00 %),0,33.50,33.50,33.50
2015-03-13,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-03-16,30.20,-3.30 (-9.85 %),100,30.20,30.20,30.20
2015-03-17,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-03-18,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-03-19,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-03-20,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-03-23,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-03-24,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-03-25,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-03-26,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-03-27,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-03-30,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-03-31,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-01,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-02,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-03,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-06,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-07,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-08,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-09,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-10,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-13,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-14,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-15,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-16,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-17,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-20,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-21,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-22,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-23,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-04-24,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-04-27,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-04,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-05,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-06,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-07,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-08,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-11,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-12,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-13,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-14,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-15,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-18,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-19,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-20,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-21,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-22,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-25,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-26,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-27,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-05-28,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-05-29,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-01,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-02,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-03,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-04,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-05,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-08,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-09,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-10,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-11,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-12,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-15,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-16,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-17,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-18,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-19,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-22,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-23,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-24,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-25,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-26,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-06-29,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-06-30,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-07-01,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-07-02,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-07-03,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-07-06,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-07-07,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-07-08,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-07-09,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-07-10,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-07-13,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-07-14,30.20,0.00 (0.00 %),0,30.20,30.20,30.20
2015-07-15,30.20,0.00 (0.00 %),0,30.2,30.20,30.20
2015-07-16,27.20,0.00 (0.00 %),0,27.20,27.20,27.20
2015-07-17,27.20,0.00 (0.00 %),0,27.2,27.20,27.20
2015-07-20,27.20,0.00 (0.00 %),0,27.20,27.20,27.20
2015-07-21,27.20,0.00 (0.00 %),0,27.2,27.20,27.20
2015-07-22,27.20,0.00 (0.00 %),0,27.20,27.20,27.20
2015-07-23,27.20,0.00 (0.00 %),0,27.2,27.20,27.20
2015-07-24,27.20,0.00 (0.00 %),0,27.20,27.20,27.20
2015-07-27,27.20,0.00 (0.00 %),0,27.2,27.20,27.20
2015-07-28,33.50,6.30 (23.16 %),731700,33.50,33.50,33.50
2015-07-29,33.50,0.00 (0.00 %),0,33.5,33.50,33.50
2015-07-30,33.00,-0.50 (-1.49 %),104,33.00,33.00,33.00
2015-07-31,33.00,0.00 (0.00 %),0,33.0,33.00,33.00
2015-08-03,33.00,0.00 (0.00 %),0,33.00,33.00,33.00
2015-08-04,28.10,-4.90 (-14.85 %),100,28.1,28.10,28.10
2015-08-05,25.00,-3.10 (-11.03 %),82861,25.00,25.00,25.00
2015-08-06,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-07,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-10,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-11,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-12,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-13,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-14,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-17,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-18,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-19,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-20,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-21,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-24,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-25,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-26,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-27,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-08-28,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-08-31,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-01,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-03,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-04,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-07,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-08,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-09,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-10,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-11,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-14,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-15,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-16,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-17,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-18,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-21,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-22,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
2015-09-23,25.00,0.00 (0.00 %),0,25.00,25.00,25.00
2015-09-24,25.00,0.00 (0.00 %),0,25.0,25.00,25.00
