date,close,change,volume,open,high,low
2017-02-22,10.60,1.30 (13.98 %),25468,8.0,10.60,8.00
2017-02-23,10.60,1.30 (13.98 %),29300,8.00,10.60,8.00
2017-02-24,7.80,-1.00 (-11.36 %),11000,10.1,10.10,7.80
2017-02-27,10.30,1.30 (14.44 %),84100,8.00,10.30,8.00
2017-02-28,9.50,1.20 (14.46 %),1500,9.5,9.50,9.50
2017-03-01,10.90,1.40 (14.74 %),44700,10.90,10.90,8.50
2017-03-02,8.30,-0.70 (-7.78 %),47100,10.3,10.30,8.30
2017-03-03,10.30,1.30 (14.44 %),16320,7.90,10.30,7.90
2017-03-06,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-03-07,7.80,-0.10 (-1.27 %),15400,7.70,9.00,7.70
2017-03-08,7.80,0.00 (0.00 %),2200,8.3,8.30,7.80
2017-03-09,8.10,0.00 (0.00 %),10300,8.00,9.30,8.00
2017-03-10,9.60,1.20 (14.29 %),20113,9.6,9.60,7.20
2017-03-13,7.70,0.10 (1.32 %),6800,8.70,8.70,7.70
2017-03-14,7.90,0.20 (2.60 %),6050,8.8,8.80,7.90
2017-03-15,7.10,-1.00 (-12.35 %),11500,9.30,9.30,7.10
2017-03-16,8.90,1.10 (14.10 %),3400,8.9,8.90,8.90
2017-03-17,10.20,1.30 (14.61 %),14100,10.20,10.20,10.20
2017-03-20,11.70,1.50 (14.71 %),4400,11.7,11.70,11.70
2017-03-21,13.40,1.70 (14.53 %),77950,13.40,13.40,10.00
2017-03-22,9.60,-1.60 (-14.29 %),14900,12.8,12.80,9.60
2017-03-23,12.50,1.60 (14.68 %),15200,12.50,12.50,9.50
2017-03-24,9.70,-0.80 (-7.62 %),13400,12.0,12.00,9.70
2017-03-27,11.60,1.50 (14.85 %),35400,11.60,11.60,9.40
2017-03-28,11.90,1.50 (14.42 %),23700,11.9,11.90,9.90
2017-03-29,11.70,1.50 (14.71 %),22800,11.70,11.70,9.10
2017-03-30,9.30,-0.10 (-1.06 %),5700,9.6,10.80,9.10
2017-03-31,9.30,0.00 (0.00 %),0,9.30,9.30,9.30
2017-04-03,10.60,1.30 (13.98 %),19300,10.6,10.60,8.00
2017-04-04,9.50,1.20 (14.46 %),2800,8.30,9.50,8.30
2017-04-05,9.80,1.20 (13.95 %),25525,8.5,9.80,7.40
2017-04-07,7.60,0.00 (0.00 %),0,7.60,7.60,7.60
2017-04-10,7.60,0.00 (0.00 %),0,7.6,7.60,7.60
2017-04-11,7.30,-0.30 (-3.95 %),16300,7.10,8.70,7.10
2017-04-12,7.80,0.30 (4.00 %),10400,8.6,8.60,7.80
2017-04-13,9.20,1.20 (15.00 %),2100,9.20,9.20,9.20
2017-04-14,10.50,1.30 (14.13 %),33900,8.1,10.50,8.10
2017-04-17,8.40,0.00 (0.00 %),0,8.40,8.40,8.40
2017-04-18,8.40,0.00 (0.00 %),0,8.4,8.40,8.40
2017-04-19,8.50,0.10 (1.19 %),11000,9.60,9.60,8.50
2017-04-20,8.70,0.10 (1.16 %),41900,9.8,9.80,8.70
2017-04-21,9.10,0.10 (1.11 %),18100,10.30,10.30,9.10
2017-04-24,9.40,0.10 (1.08 %),20818,10.6,10.60,9.40
2017-04-25,9.50,0.10 (1.06 %),29000,10.80,10.80,9.50
2017-04-26,11.10,1.40 (14.43 %),18100,11.1,11.10,8.50
2017-04-27,9.20,0.10 (1.10 %),6700,10.40,10.40,9.20
2017-04-28,8.60,-0.60 (-6.52 %),5500,10.5,10.50,8.60
2017-05-03,8.90,0.00 (0.00 %),0,8.90,8.90,8.90
2017-05-04,8.80,-0.10 (-1.12 %),27000,10.2,10.20,8.60
