date,close,change,volume,open,high,low
2017-02-21,10.30,0.00 (0.00 %),0,10.3,10.30,10.30
2017-02-22,10.30,0.00 (0.00 %),0,10.30,10.30,10.30
2017-02-23,10.30,0.00 (0.00 %),0,10.3,10.30,10.30
2017-02-24,10.30,0.00 (0.00 %),0,10.30,10.30,10.30
2017-02-27,10.30,0.00 (0.00 %),0,10.3,10.30,10.30
2017-02-28,10.30,0.00 (0.00 %),0,10.30,10.30,10.30
2017-03-01,10.30,0.00 (0.00 %),0,10.3,10.30,10.30
2017-03-02,10.30,0.00 (0.00 %),0,10.30,10.30,10.30
2017-03-03,6.20,-4.10 (-39.81 %),2700,6.2,6.20,6.20
2017-03-06,6.20,0.00 (0.00 %),0,6.20,6.20,6.20
2017-03-07,6.20,0.00 (0.00 %),0,6.2,6.20,6.20
2017-03-08,6.20,0.00 (0.00 %),0,6.20,6.20,6.20
2017-03-09,6.20,0.00 (0.00 %),0,6.2,6.20,6.20
2017-03-10,6.20,0.00 (0.00 %),0,6.20,6.20,6.20
2017-03-13,5.30,-0.90 (-14.52 %),5000,5.3,5.30,5.30
2017-03-14,6.00,0.70 (13.21 %),4400,6.00,6.00,6.00
2017-03-15,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2017-03-16,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2017-03-17,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2017-03-20,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2017-03-21,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2017-03-22,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2017-03-23,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2017-03-24,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2017-03-27,6.00,0.00 (0.00 %),0,6.0,6.00,6.00
2017-03-28,6.00,0.00 (0.00 %),0,6.00,6.00,6.00
2017-03-29,6.90,0.90 (15.00 %),100,6.9,6.90,6.90
2017-03-30,7.90,1.00 (14.49 %),100,7.90,7.90,7.90
2017-03-31,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-03,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-04,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-05,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-07,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-10,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-11,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-12,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-13,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-14,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-17,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-18,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-19,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-20,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-21,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-24,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-25,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-26,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-04-27,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-04-28,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-03,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-04,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-05,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-08,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-09,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-10,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-11,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-12,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-15,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-16,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-17,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-18,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-19,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-22,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-23,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-24,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-25,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-26,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-29,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-05-30,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-05-31,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-06-01,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-06-02,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-06-05,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-06-06,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-06-07,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-06-08,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-06-09,7.90,0.00 (0.00 %),0,7.90,7.90,7.90
2017-06-12,7.90,0.00 (0.00 %),0,7.9,7.90,7.90
2017-06-13,7.50,-0.40 (-5.06 %),2500,7.50,7.50,7.50
2017-06-14,7.50,0.00 (0.00 %),6700,7.5,7.50,7.50
2017-06-16,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2017-06-19,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2017-06-20,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2017-06-21,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2017-06-22,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2017-06-23,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2017-06-26,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
2017-06-27,7.50,0.00 (0.00 %),0,7.5,7.50,7.50
2017-06-28,7.50,0.00 (0.00 %),0,7.50,7.50,7.50
