date,close,change,volume,open,high,low
2017-02-22,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-02-23,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-02-24,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-02-27,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-02-28,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-01,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-02,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-03,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-06,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-07,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-08,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-09,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-10,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-13,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-14,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-15,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-16,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-17,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-20,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-21,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-22,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-23,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-24,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-27,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-28,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-29,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-03-30,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-03-31,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-03,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-04,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-05,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-07,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-10,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-11,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-12,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-13,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-14,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-17,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-18,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-19,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-20,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-21,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-24,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-25,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-26,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-04-27,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-04-28,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-05-03,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-05-04,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-05-05,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-05-08,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-05-09,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-05-10,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-05-11,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-05-12,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-05-15,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-05-16,18.00,0.00 (0.00 %),0,18.0,18.00,18.00
2017-05-17,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-05-18,16.80,0.00 (0.00 %),0,16.8,16.80,16.80
2017-05-19,16.80,0.00 (0.00 %),0,16.80,16.80,16.80
2017-05-22,16.80,0.00 (0.00 %),0,16.8,16.80,16.80
2017-05-23,16.80,0.00 (0.00 %),0,16.80,16.80,16.80
2017-05-24,16.80,0.00 (0.00 %),0,16.8,16.80,16.80
2017-05-25,16.80,0.00 (0.00 %),0,16.80,16.80,16.80
2017-05-26,16.80,0.00 (0.00 %),0,16.8,16.80,16.80
2017-05-29,16.80,0.00 (0.00 %),0,16.80,16.80,16.80
2017-05-30,16.80,0.00 (0.00 %),0,16.8,16.80,16.80
2017-05-31,16.80,0.00 (0.00 %),0,16.80,16.80,16.80
2017-06-01,23.50,6.70 (39.88 %),100,23.5,23.50,23.50
2017-06-02,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
2017-06-05,23.50,0.00 (0.00 %),0,23.5,23.50,23.50
2017-06-06,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
2017-06-07,23.50,0.00 (0.00 %),0,23.5,23.50,23.50
2017-06-08,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
2017-06-09,23.50,0.00 (0.00 %),0,23.5,23.50,23.50
2017-06-12,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
2017-06-13,23.50,0.00 (0.00 %),0,23.5,23.50,23.50
2017-06-14,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
2017-06-16,23.50,0.00 (0.00 %),0,23.5,23.50,23.50
2017-06-19,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
2017-06-20,23.50,0.00 (0.00 %),0,23.5,23.50,23.50
2017-06-21,23.50,0.00 (0.00 %),0,23.50,23.50,23.50
