date,close,change,volume,open,high,low
2019-01-15,11.00,-1.50 (-12.00 %),109570,15.00,15.00,11.00
2019-01-16,11.75,0.75 (6.82 %),27940,11.00,11.75,11.00
2019-01-17,12.55,0.80 (6.81 %),119080,12.55,12.55,12.55
2019-01-18,12.55,0.00 (0.00 %),50480,13.10,13.20,12.55
2019-01-21,11.90,-0.65 (-5.18 %),13560,12.55,12.55,11.90
2019-01-22,11.20,-0.70 (-5.88 %),44240,11.60,11.60,11.20
2019-01-23,11.00,-0.20 (-1.79 %),32640,11.00,11.20,11.00
2019-01-24,10.90,-0.10 (-0.91 %),25700,11.00,11.50,10.90
2019-01-25,10.90,0.00 (0.00 %),49630,10.80,11.00,10.70
2019-01-28,10.50,-0.40 (-3.67 %),14490,11.00,11.00,10.50
2019-01-29,10.30,-0.20 (-1.90 %),17290,10.50,10.50,10.30
2019-01-30,11.00,0.70 (6.80 %),13100,10.50,11.00,10.50
2019-01-31,11.60,0.60 (5.45 %),13540,10.30,11.60,10.30
2019-02-01,12.00,0.40 (3.45 %),26280,11.80,12.20,11.80
2019-02-11,11.90,-0.10 (-0.83 %),19240,11.90,12.15,11.20
2019-02-12,12.00,0.10 (0.84 %),6110,12.20,12.20,11.60
2019-02-13,11.35,-0.65 (-5.42 %),12030,11.45,12.00,11.35
2019-02-14,11.90,0.55 (4.85 %),44960,11.40,11.90,11.40
2019-02-15,11.95,0.05 (0.42 %),710,12.00,12.00,11.75
2019-02-18,11.70,-0.25 (-2.09 %),8130,11.75,11.85,11.55
2019-02-19,11.50,-0.20 (-1.71 %),10110,11.50,11.75,11.50
2019-02-20,11.70,0.20 (1.74 %),240,11.50,11.80,11.50
2019-02-21,11.70,0.00 (0.00 %),11650,11.40,11.80,11.40
2019-02-22,11.35,-0.35 (-2.99 %),4700,11.20,11.65,11.20
2019-02-25,11.45,0.10 (0.88 %),6120,11.75,11.75,11.30
2019-02-26,11.40,-0.05 (-0.44 %),26740,11.35,11.60,11.30
2019-02-27,11.35,-0.05 (-0.44 %),9660,11.40,11.40,11.35
2019-02-28,11.10,-0.25 (-2.20 %),28330,11.30,11.30,11.10
2019-03-01,11.35,0.25 (2.25 %),6140,11.40,11.40,11.20
2019-03-04,11.35,0.00 (0.00 %),34570,11.30,11.35,11.20
2019-03-05,11.50,0.15 (1.32 %),56010,11.35,11.50,11.10
2019-03-06,11.60,0.10 (0.87 %),33470,11.30,11.80,11.30
2019-03-07,12.40,0.80 (6.90 %),267080,12.40,12.40,11.35
2019-03-08,12.90,0.50 (4.03 %),111620,12.75,13.10,12.75
2019-03-11,13.80,0.90 (6.98 %),278650,12.90,13.80,12.90
2019-03-12,14.75,0.95 (6.88 %),641940,14.10,14.75,14.00
2019-03-13,14.80,0.05 (0.34 %),142590,15.00,15.00,14.20
2019-03-14,14.90,0.10 (0.68 %),137890,14.60,15.00,14.35
2019-03-15,14.70,-0.20 (-1.34 %),267670,14.90,15.10,14.50
2019-03-18,14.50,-0.20 (-1.36 %),182310,14.75,14.80,14.20
2019-03-19,14.60,0.10 (0.69 %),134560,14.30,14.65,14.30
2019-03-20,15.40,0.80 (5.48 %),220550,14.70,15.40,14.40
2019-03-21,16.45,1.05 (6.82 %),561890,15.60,16.45,15.40
2019-03-22,17.50,1.05 (6.38 %),594160,16.40,17.60,16.40
2019-03-25,16.30,-1.20 (-6.86 %),305200,17.50,17.50,16.30
2019-03-26,15.30,-1.00 (-6.13 %),268880,15.20,15.90,15.20
2019-03-27,16.35,1.05 (6.86 %),154760,15.05,16.35,15.05
2019-03-28,15.80,-0.55 (-3.36 %),146440,16.40,16.40,15.70
2019-03-29,16.20,0.40 (2.53 %),75910,15.40,16.40,15.40
2019-04-01,16.70,0.50 (3.09 %),123850,16.20,16.75,15.80
2019-04-02,16.45,-0.25 (-1.50 %),93040,17.40,17.40,16.30
2019-04-03,16.10,-0.35 (-2.13 %),46680,16.10,16.65,16.10
2019-04-04,16.40,0.30 (1.86 %),151510,16.40,16.80,16.10
