date,close,change,volume,open,high,low
2017-03-03,24.00,-0.20 (-0.83 %),11400,24.2,24.20,24.00
2017-03-06,21.90,0.40 (1.86 %),41579,23.20,23.20,21.20
2017-03-07,21.60,-0.30 (-1.37 %),24650,22.2,22.20,20.70
2017-03-08,21.10,-0.50 (-2.31 %),16100,21.00,21.30,21.00
2017-03-09,21.40,0.30 (1.42 %),33300,21.2,21.80,21.00
2017-03-10,21.70,0.30 (1.40 %),18489,21.50,21.70,21.40
2017-03-13,22.60,0.90 (4.15 %),30800,21.3,22.60,21.30
2017-03-14,22.70,0.10 (0.44 %),38500,22.50,23.00,22.40
2017-03-15,23.20,0.50 (2.20 %),51000,22.7,23.50,22.70
2017-03-16,22.90,-0.30 (-1.29 %),60450,23.40,23.40,22.80
2017-03-17,22.90,0.00 (0.00 %),15100,22.9,23.90,22.50
2017-03-20,22.70,-0.20 (-0.87 %),25400,22.80,22.80,22.50
2017-03-21,22.60,-0.10 (-0.44 %),25155,22.7,22.70,22.20
2017-03-22,22.60,0.00 (0.00 %),12765,22.60,23.00,22.00
2017-03-23,22.50,-0.10 (-0.44 %),5040,22.5,22.50,22.20
2017-03-24,22.40,-0.10 (-0.44 %),13800,22.40,22.50,21.70
2017-03-27,22.00,-0.40 (-1.79 %),1500,21.7,22.00,21.70
2017-03-28,21.40,-0.60 (-2.73 %),6900,21.80,22.00,21.40
2017-03-29,21.50,0.10 (0.47 %),2600,21.9,21.90,21.20
2017-03-30,22.00,0.50 (2.33 %),40300,21.50,22.00,21.50
2017-03-31,22.10,0.10 (0.45 %),15322,22.0,22.50,21.10
2017-04-03,22.10,0.00 (0.00 %),200,22.10,22.10,22.10
2017-04-04,22.30,0.20 (0.90 %),11100,22.1,22.50,22.00
2017-04-05,21.90,-0.40 (-1.79 %),3900,22.10,22.10,21.50
2017-04-07,22.00,0.10 (0.46 %),4222,21.0,22.00,21.00
2017-04-10,22.00,0.00 (0.00 %),0,22.00,22.00,22.00
2017-04-11,20.80,-1.20 (-5.45 %),28000,20.7,22.20,19.90
2017-04-12,22.00,1.20 (5.77 %),22600,21.00,22.10,21.00
2017-04-13,22.40,0.40 (1.82 %),19900,21.9,22.50,21.60
2017-04-14,22.40,0.00 (0.00 %),7042,22.40,22.50,21.50
2017-04-17,21.60,-0.80 (-3.57 %),5100,22.0,22.30,21.60
2017-04-18,21.60,0.00 (0.00 %),11400,22.00,22.00,21.50
2017-04-19,21.50,-0.10 (-0.46 %),8200,22.1,22.10,21.10
2017-04-20,21.60,0.10 (0.47 %),7400,21.50,22.00,21.20
2017-04-21,21.70,0.10 (0.46 %),10500,21.5,21.70,21.50
2017-04-24,21.50,-0.20 (-0.92 %),9000,21.50,21.60,21.20
2017-04-25,21.30,-0.20 (-0.93 %),7000,21.1,21.50,20.80
2017-04-26,20.80,-0.50 (-2.35 %),3900,21.00,21.00,20.10
2017-04-27,21.00,0.20 (0.96 %),300,20.7,21.00,20.70
2017-04-28,20.50,-0.50 (-2.38 %),4500,20.50,21.80,20.20
2017-05-03,19.20,-1.30 (-6.34 %),33300,20.2,20.20,18.50
2017-05-04,19.30,0.10 (0.52 %),33990,19.50,19.50,18.50
2017-05-05,18.70,-0.60 (-3.11 %),7415,19.0,19.00,18.00
2017-05-08,18.70,0.00 (0.00 %),4013,18.70,18.70,17.70
2017-05-09,18.50,-0.20 (-1.07 %),30100,18.7,18.70,17.90
2017-05-10,18.70,0.20 (1.08 %),5830,18.10,18.70,18.10
2017-05-11,18.70,0.00 (0.00 %),500,18.6,18.70,18.60
2017-05-12,18.70,0.00 (0.00 %),10920,18.70,18.80,18.70
2017-05-15,18.70,0.00 (0.00 %),2525,18.5,18.70,18.30
2017-05-16,18.20,-0.50 (-2.67 %),5920,18.20,18.30,18.20
2017-05-17,19.20,1.00 (5.49 %),16000,18.2,19.40,18.20
2017-05-18,19.00,-0.20 (-1.04 %),500,18.30,19.00,18.30
2017-05-19,19.00,0.00 (0.00 %),9600,18.4,19.00,18.40
2017-05-22,19.00,0.00 (0.00 %),400,18.50,19.00,18.50
2017-05-23,19.00,0.00 (0.00 %),0,19.0,19.00,19.00
2017-05-24,19.00,0.00 (0.00 %),1100,19.00,19.00,18.50
2017-05-25,18.80,-0.20 (-1.05 %),12700,18.5,19.00,18.40
2017-05-26,18.80,0.00 (0.00 %),11200,18.50,18.80,18.50
2017-05-29,19.00,0.20 (1.06 %),2900,18.6,19.00,18.50
2017-05-30,19.00,0.00 (0.00 %),12800,18.50,19.00,18.00
2017-05-31,19.10,0.10 (0.53 %),34800,19.0,19.20,18.80
2017-06-01,19.10,0.00 (0.00 %),6300,19.20,19.20,19.00
2017-06-02,19.10,0.00 (0.00 %),5503,19.1,19.10,18.50
2017-06-05,19.00,-0.10 (-0.52 %),8900,18.90,19.00,18.10
2017-06-06,19.10,0.10 (0.53 %),5165,19.8,19.80,17.80
2017-06-07,19.00,-0.10 (-0.52 %),3242,19.00,19.00,18.90
2017-06-08,19.00,0.00 (0.00 %),800,19.0,19.00,18.30
2017-06-09,18.90,-0.10 (-0.53 %),4800,18.90,19.00,18.50
2017-06-12,19.00,0.10 (0.53 %),200,19.0,19.00,19.00
2017-06-13,19.00,0.00 (0.00 %),900,18.50,19.00,18.50
2017-06-14,18.90,-0.10 (-0.53 %),2000,18.9,18.90,18.90
2017-06-15,18.90,0.00 (0.00 %),2000,18.90,18.90,18.40
2017-06-16,18.90,0.00 (0.00 %),3500,18.4,18.90,18.40
2017-06-19,18.80,-0.10 (-0.53 %),12800,18.80,18.80,18.50
2017-06-20,18.80,0.00 (0.00 %),1500,18.8,18.80,18.50
2017-06-21,18.80,0.00 (0.00 %),6800,18.50,18.80,18.50
2017-06-22,18.90,0.10 (0.53 %),14900,18.9,18.90,17.10
2017-06-23,18.90,0.00 (0.00 %),0,18.90,18.90,18.90
2017-06-26,18.90,0.00 (0.00 %),0,18.9,18.90,18.90
2017-06-27,18.50,-0.40 (-2.12 %),1600,18.30,18.50,18.30
2017-06-28,18.40,-0.10 (-0.54 %),2800,18.4,18.40,18.40
2017-06-29,18.80,0.40 (2.17 %),100,18.80,18.80,18.80
2017-06-30,18.40,-0.40 (-2.13 %),11400,18.1,18.40,18.10
2017-07-03,18.40,0.00 (0.00 %),0,18.40,18.40,18.40
2017-07-04,18.00,-0.40 (-2.17 %),15900,18.8,18.80,16.70
2017-07-05,18.00,0.00 (0.00 %),2110,17.80,18.00,17.80
2017-07-06,18.00,0.00 (0.00 %),100,18.0,18.00,18.00
2017-07-07,18.00,0.00 (0.00 %),0,18.00,18.00,18.00
2017-07-10,18.00,0.00 (0.00 %),1100,18.0,18.00,17.50
2017-07-11,17.50,-0.50 (-2.78 %),700,18.00,18.00,17.50
2017-07-12,17.90,0.40 (2.29 %),7000,17.5,17.90,17.20
2017-07-13,17.20,-0.70 (-3.91 %),8500,17.00,17.90,17.00
2017-07-14,17.40,0.20 (1.16 %),12700,17.0,17.40,16.40
2017-07-17,16.80,-0.60 (-3.45 %),9600,17.00,17.00,16.50
2017-07-18,17.00,0.20 (1.19 %),1840,17.0,18.00,17.00
2017-07-19,16.90,-0.10 (-0.59 %),6210,17.00,17.60,16.60
2017-07-20,16.50,-0.40 (-2.37 %),17114,16.7,16.70,16.20
2017-07-21,17.20,0.70 (4.24 %),22150,16.20,17.90,16.00
2017-07-24,16.50,-0.70 (-4.07 %),4205,17.5,18.00,16.50
2017-07-25,16.10,-0.40 (-2.42 %),5400,16.20,16.90,16.10
2017-07-26,16.10,0.00 (0.00 %),8648,16.0,16.50,16.00
2017-07-27,17.60,1.50 (9.32 %),8120,16.10,17.60,16.10
2017-07-28,19.20,1.60 (9.09 %),11220,17.5,19.30,16.90
2017-07-31,17.80,-1.40 (-7.29 %),7050,17.70,17.90,17.30
2017-08-01,17.20,-0.60 (-3.37 %),5810,18.0,18.00,16.10
