date,close,change,volume,open,high,low
2017-03-01,30.95,0.00 (0.00 %),11640,30.95,31.00,29.80
2017-03-02,30.90,-0.05 (-0.16 %),7800,30.95,31.50,30.80
2017-03-03,30.90,0.00 (0.00 %),0,30.90,30.90,30.90
2017-03-06,31.00,0.10 (0.32 %),270,29.80,31.00,29.80
2017-03-07,30.90,-0.10 (-0.32 %),4790,29.90,31.00,29.90
2017-03-08,30.90,0.00 (0.00 %),0,30.90,30.90,30.90
2017-03-09,30.90,0.00 (0.00 %),7680,30.90,30.90,30.40
2017-03-10,30.90,0.00 (0.00 %),33330,30.90,31.40,30.30
2017-03-13,30.50,-0.40 (-1.29 %),540,30.90,30.90,30.50
2017-03-14,30.00,-0.50 (-1.64 %),10200,30.50,30.50,30.00
2017-03-15,30.10,0.10 (0.33 %),3590,30.00,30.50,30.00
2017-03-16,30.50,0.40 (1.33 %),34840,30.50,31.00,30.30
2017-03-17,31.50,1.00 (3.28 %),44580,30.90,32.00,30.90
2017-03-20,32.00,0.50 (1.59 %),4340,31.90,32.00,30.80
2017-03-21,31.90,-0.10 (-0.31 %),2400,30.85,31.90,30.80
2017-03-22,31.30,-0.60 (-1.88 %),10820,30.90,31.50,30.70
2017-03-23,31.70,0.40 (1.28 %),3040,31.80,31.80,30.00
2017-03-24,31.50,-0.20 (-0.63 %),6980,31.60,31.60,31.50
2017-03-27,30.00,0.00 (0.00 %),6450,31.20,31.50,29.90
2017-03-28,30.30,0.30 (1.00 %),490,30.00,30.45,29.00
2017-03-29,30.50,0.20 (0.66 %),80,30.50,30.50,29.00
2017-03-30,30.20,-0.30 (-0.98 %),3440,30.00,30.50,29.20
2017-03-31,30.00,-0.20 (-0.66 %),1730,28.40,30.10,28.40
2017-04-03,30.00,0.00 (0.00 %),0,30.00,30.00,30.00
2017-04-04,30.10,0.10 (0.33 %),5100,29.10,30.50,29.00
2017-04-05,30.90,0.80 (2.66 %),10,30.90,30.90,30.90
2017-04-07,29.40,-1.50 (-4.85 %),1100,29.40,29.40,29.40
2017-04-10,29.80,0.40 (1.36 %),50,30.00,30.00,29.10
2017-04-11,29.80,0.00 (0.00 %),2500,28.30,29.80,28.15
2017-04-12,29.80,0.00 (0.00 %),12070,29.00,29.80,28.50
2017-04-13,29.80,0.00 (0.00 %),100,29.80,29.80,29.80
2017-04-14,30.50,0.70 (2.35 %),13110,29.80,31.00,29.80
2017-04-17,30.20,-0.30 (-0.98 %),810,30.10,30.20,30.10
2017-04-18,30.00,-0.20 (-0.66 %),21890,28.60,30.00,28.50
2017-04-19,30.00,0.00 (0.00 %),0,30.00,30.00,30.00
2017-04-20,29.90,-0.10 (-0.33 %),2240,29.50,29.90,28.70
2017-04-21,28.10,-1.80 (-6.02 %),8190,29.00,29.50,28.00
2017-04-24,28.90,0.80 (2.85 %),30,28.90,28.90,28.90
2017-04-25,29.40,0.50 (1.73 %),1250,29.65,29.80,28.90
2017-04-26,29.80,0.40 (1.36 %),5610,28.35,29.90,28.20
2017-04-27,31.85,2.05 (6.88 %),3270,28.40,31.85,28.40
2017-04-28,31.85,0.00 (0.00 %),12290,31.85,31.85,29.65
2017-05-03,31.00,-0.85 (-2.67 %),2830,29.70,31.85,29.70
2017-05-04,30.95,-0.05 (-0.16 %),210,31.50,31.50,30.95
2017-05-05,31.50,0.55 (1.78 %),270,31.00,31.70,31.00
2017-05-08,31.85,0.35 (1.11 %),230,31.85,31.85,31.85
2017-05-09,31.80,-0.05 (-0.16 %),10560,31.50,31.80,31.50
2017-05-10,31.20,-0.60 (-1.89 %),2000,31.20,31.20,31.20
2017-05-11,31.10,-0.10 (-0.32 %),6950,31.55,31.60,29.30
2017-05-12,31.50,0.40 (1.29 %),230,31.50,31.50,31.50
2017-05-15,31.50,0.00 (0.00 %),0,31.50,31.50,31.50
2017-05-16,29.50,-2.00 (-6.35 %),6770,29.45,31.30,29.35
2017-05-17,29.50,0.00 (0.00 %),8880,29.50,30.15,29.50
2017-05-18,30.00,0.50 (1.69 %),1310,29.40,30.00,28.60
2017-05-19,30.50,0.50 (1.67 %),280,30.50,30.50,28.60
