date,close,change,volume,open,high,low
2017-03-01,12.00,0.00 (0.00 %),1129550,11.65,12.00,11.30
2017-03-02,11.80,-0.20 (-1.67 %),759510,12.00,12.20,11.70
2017-03-03,11.45,-0.35 (-2.97 %),722810,11.65,11.90,11.20
2017-03-06,12.25,0.80 (6.99 %),1490320,11.50,12.25,11.30
2017-03-07,12.90,0.65 (5.31 %),1918890,12.50,13.00,12.50
2017-03-08,12.90,0.00 (0.00 %),1440090,12.90,13.00,12.75
2017-03-09,12.65,-0.25 (-1.94 %),1112340,12.80,12.80,12.50
2017-03-10,12.50,-0.15 (-1.19 %),660610,12.50,12.90,12.50
2017-03-13,13.30,0.80 (6.40 %),1883000,12.70,13.35,12.20
2017-03-14,13.30,0.00 (0.00 %),1127830,13.40,13.65,13.20
2017-03-15,13.20,-0.10 (-0.75 %),687760,13.10,13.35,13.05
2017-03-16,13.55,0.35 (2.65 %),1096720,13.20,13.70,12.80
2017-03-17,13.55,0.00 (0.00 %),871000,13.65,13.85,13.50
2017-03-20,14.25,0.70 (5.17 %),1494430,13.65,14.25,13.60
2017-03-21,14.05,-0.20 (-1.40 %),915050,14.25,14.25,13.80
2017-03-22,13.55,-0.50 (-3.56 %),813210,14.00,14.00,13.50
2017-03-23,13.40,-0.15 (-1.11 %),1435450,13.40,13.65,13.15
2017-03-24,13.30,-0.10 (-0.75 %),389250,13.40,13.60,13.15
2017-03-27,13.70,0.40 (3.01 %),885310,13.30,13.70,13.20
2017-03-28,13.30,-0.40 (-2.92 %),918380,13.80,13.80,13.20
2017-03-29,13.25,-0.05 (-0.38 %),544310,13.35,13.40,13.05
2017-03-30,13.60,0.35 (2.64 %),824060,13.40,13.60,13.30
2017-03-31,13.65,0.05 (0.37 %),829820,13.60,13.90,13.50
2017-04-03,14.30,0.65 (4.76 %),1483270,13.65,14.30,13.50
2017-04-04,14.40,0.10 (0.70 %),1614000,14.50,14.85,14.35
2017-04-05,14.10,-0.30 (-2.08 %),637150,14.40,14.40,14.10
2017-04-07,14.00,-0.10 (-0.71 %),1159610,14.00,14.20,13.75
2017-04-10,14.40,0.40 (2.86 %),878850,14.10,14.60,14.05
2017-04-11,14.30,-0.10 (-0.69 %),1064890,14.50,14.75,14.30
2017-04-12,13.80,-0.50 (-3.50 %),1476840,13.85,14.45,13.75
2017-04-13,13.40,-0.40 (-2.90 %),1214110,13.70,13.95,13.20
2017-04-14,13.40,0.00 (0.00 %),1201280,13.30,13.60,12.70
2017-04-17,12.90,-0.50 (-3.73 %),879980,13.15,13.50,12.80
2017-04-18,13.30,0.40 (3.10 %),758770,12.90,13.30,12.55
2017-04-19,13.25,-0.05 (-0.38 %),521260,13.00,13.30,12.95
2017-04-20,13.30,0.05 (0.38 %),693570,13.25,13.75,13.10
2017-04-21,13.15,-0.15 (-1.13 %),562200,13.30,13.35,13.10
2017-04-24,12.90,-0.25 (-1.90 %),654440,13.15,13.15,12.75
2017-04-25,12.90,0.00 (0.00 %),663580,12.70,12.95,12.65
2017-04-26,13.00,0.10 (0.78 %),450440,12.95,13.20,12.90
2017-04-27,13.90,0.90 (6.92 %),1233650,13.10,13.90,13.05
2017-04-28,13.95,0.05 (0.36 %),1873680,14.00,14.30,13.70
2017-05-03,14.90,0.95 (6.81 %),2597300,14.50,14.90,14.30
2017-05-04,15.35,0.45 (3.02 %),1406180,15.40,15.85,15.30
