date,close,change,volume,open,high,low
2018-12-10,16.20,2.70 (20.00 %),3200,16.20,16.20,16.20
2018-12-11,17.30,1.10 (6.79 %),1100,17.30,17.30,17.30
2018-12-12,18.50,1.20 (6.94 %),1000,18.50,18.50,18.50
2018-12-13,19.10,1.20 (6.70 %),4860,19.15,19.15,19.10
2018-12-14,20.40,1.30 (6.81 %),110,20.40,20.40,20.40
2018-12-17,19.00,-1.40 (-6.86 %),600,19.00,19.00,19.00
2018-12-18,17.70,-1.30 (-6.84 %),140,17.70,17.70,17.70
2018-12-19,17.70,0.00 (0.00 %),0,17.70,17.70,17.70
2018-12-20,16.50,-1.20 (-6.78 %),10,16.50,16.50,16.50
2018-12-21,15.35,-1.15 (-6.97 %),2410,15.35,15.35,15.35
2018-12-24,14.30,-1.05 (-6.84 %),10,14.30,14.30,14.30
2018-12-25,13.30,-1.00 (-6.99 %),50,13.30,13.30,13.30
2018-12-26,12.40,-0.90 (-6.77 %),520,12.40,12.40,12.40
2018-12-27,11.55,-0.85 (-6.85 %),1070,11.55,13.25,11.55
2018-12-28,10.75,-0.80 (-6.93 %),590,10.80,12.35,10.75
2019-01-02,11.50,0.75 (6.98 %),1360,11.50,11.50,10.00
2019-01-03,12.25,0.75 (6.52 %),70,12.25,12.25,12.25
2019-01-04,12.95,0.70 (5.71 %),10,12.95,12.95,12.95
2019-01-07,12.95,0.00 (0.00 %),0,12.95,12.95,12.95
2019-01-08,12.95,0.00 (0.00 %),0,12.95,12.95,12.95
2019-01-09,12.95,0.00 (0.00 %),0,12.95,12.95,12.95
2019-01-10,12.95,0.00 (0.00 %),0,12.95,12.95,12.95
2019-01-11,12.95,0.00 (0.00 %),0,12.95,12.95,12.95
2019-01-14,12.05,-0.90 (-6.95 %),10,12.05,12.05,12.05
2019-01-15,12.05,0.00 (0.00 %),0,12.05,12.05,12.05
2019-01-16,12.05,0.00 (0.00 %),0,12.05,12.05,12.05
2019-01-17,12.05,0.00 (0.00 %),0,12.05,12.05,12.05
2019-01-18,11.25,-0.80 (-6.64 %),10,11.25,11.25,11.25
2019-01-21,10.50,-0.75 (-6.67 %),130,10.50,10.50,10.50
2019-01-22,11.20,0.70 (6.67 %),230,9.77,11.20,9.77
2019-01-23,11.20,0.00 (0.00 %),0,11.20,11.20,11.20
2019-01-24,10.45,-0.75 (-6.70 %),1000,10.45,10.45,10.45
2019-01-25,9.72,-0.73 (-6.99 %),160,9.72,10.45,9.72
2019-01-28,10.30,0.58 (5.97 %),480,9.04,10.30,9.04
2019-01-29,10.30,0.00 (0.00 %),100,11.00,11.00,10.30
2019-01-30,10.45,0.15 (1.46 %),10,10.45,10.45,10.45
2019-01-31,10.50,0.05 (0.48 %),10,10.50,10.50,10.50
2019-02-01,10.50,0.00 (0.00 %),0,10.50,10.50,10.50
2019-02-11,9.77,-0.73 (-6.95 %),610,10.50,10.50,9.77
2019-02-12,10.40,0.63 (6.45 %),1970,9.09,10.40,9.09
2019-02-13,10.70,0.30 (2.88 %),110,11.10,11.10,10.70
2019-02-14,9.96,-0.74 (-6.92 %),90,11.00,11.00,9.96
2019-02-15,9.27,-0.69 (-6.93 %),680,9.27,10.20,9.27
2019-02-18,9.27,0.00 (0.00 %),40,9.50,9.50,9.27
2019-02-19,8.64,-0.63 (-6.80 %),570,8.63,8.64,8.63
2019-02-20,8.06,-0.58 (-6.71 %),40,9.20,9.20,8.05
2019-02-21,8.50,0.44 (5.46 %),50,7.50,8.60,7.50
2019-02-22,7.91,-0.59 (-6.94 %),280,7.91,9.00,7.91
2019-02-25,8.40,0.49 (6.19 %),30,7.36,8.46,7.36
2019-02-26,8.97,0.57 (6.79 %),200,8.90,8.98,8.90
2019-02-27,9.50,0.53 (5.91 %),300,9.57,9.57,9.40
2019-02-28,9.90,0.40 (4.21 %),110,9.50,9.90,9.50
2019-03-01,10.00,0.10 (1.01 %),680,9.95,10.00,9.50
2019-03-04,9.60,-0.40 (-4.00 %),150,10.40,10.40,9.60
2019-03-05,9.60,0.00 (0.00 %),100,9.60,9.60,9.60
2019-03-06,9.60,0.00 (0.00 %),0,9.60,9.60,9.60
2019-03-07,9.60,0.00 (0.00 %),10,9.60,9.60,9.60
2019-03-08,9.60,0.00 (0.00 %),0,9.60,9.60,9.60
2019-03-11,9.60,0.00 (0.00 %),0,9.60,9.60,9.60
2019-03-12,9.80,0.20 (2.08 %),1000,9.80,9.80,9.80
2019-03-13,10.00,0.20 (2.04 %),100,10.00,10.00,10.00
2019-03-14,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2019-03-15,10.00,0.00 (0.00 %),100,10.00,10.00,10.00
2019-03-18,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2019-03-19,10.00,0.00 (0.00 %),0,10.00,10.00,10.00
2019-03-20,10.00,0.00 (0.00 %),80,10.00,10.00,10.00
2019-03-21,10.00,0.00 (0.00 %),100,10.70,10.70,10.00
2019-03-22,10.00,0.00 (0.00 %),20,10.00,10.00,10.00
2019-03-25,10.70,0.70 (7.00 %),560,10.70,10.70,10.70
2019-03-26,10.70,0.00 (0.00 %),0,10.70,10.70,10.70
2019-03-27,11.40,0.70 (6.54 %),760,11.40,11.40,11.40
2019-03-28,12.15,0.75 (6.58 %),20,12.15,12.15,12.15
2019-03-29,12.90,0.75 (6.17 %),10,12.90,12.90,12.90
2019-04-01,12.00,-0.90 (-6.98 %),830,13.70,13.70,12.00
2019-04-02,12.80,0.80 (6.67 %),50,12.80,12.80,12.80
2019-04-03,13.30,0.50 (3.91 %),10,13.30,13.30,13.30
2019-04-04,13.80,0.50 (3.76 %),30,0.00,13.90,13.80
2019-04-05,14.70,0.90 (6.52 %),1510,12.85,14.70,12.85
2019-04-08,14.70,0.00 (0.00 %),0,14.70,14.70,14.70
2019-04-09,15.00,0.30 (2.04 %),50,15.00,15.00,15.00
2019-04-10,15.00,0.00 (0.00 %),0,15.00,15.00,15.00
2019-04-11,15.00,0.00 (0.00 %),30,16.00,16.00,15.00
2019-04-12,13.95,-1.05 (-7.00 %),10,13.95,13.95,13.95
2019-04-16,13.95,0.00 (0.00 %),0,13.95,13.95,13.95
2019-04-17,13.80,-0.15 (-1.08 %),50,13.80,13.80,13.80
2019-04-18,13.80,0.00 (0.00 %),0,13.80,13.80,13.80
2019-04-19,13.50,-0.30 (-2.17 %),30,13.50,13.50,13.50
2019-04-22,13.50,0.00 (0.00 %),0,13.50,13.50,13.50
