date,close,change,volume,open,high,low
2017-02-20,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-02-21,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-02-22,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-02-23,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-02-24,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-02-27,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-02-28,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-01,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-02,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-03,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-06,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-07,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-08,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-09,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-10,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-13,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-14,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-15,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-16,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-17,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-20,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-21,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-22,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-23,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-24,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-27,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-28,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-29,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-03-30,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-03-31,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-04-03,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-04-04,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-04-05,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-04-07,9.50,0.00 (0.00 %),0,9.50,9.50,9.50
2017-04-10,9.50,0.00 (0.00 %),0,9.5,9.50,9.50
2017-04-11,8.50,-1.00 (-10.53 %),18600,9.00,9.00,8.50
2017-04-12,8.50,0.00 (0.00 %),0,8.5,8.50,8.50
2017-04-13,8.50,0.00 (0.00 %),0,8.50,8.50,8.50
2017-04-14,8.50,0.00 (0.00 %),0,8.5,8.50,8.50
2017-04-17,7.30,-1.20 (-14.12 %),277,7.30,7.30,7.30
2017-04-18,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-04-19,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-04-20,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-04-21,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-04-24,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-04-25,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-04-26,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-04-27,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-04-28,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-05-03,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-05-04,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-05-05,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-05-08,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-05-09,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-05-10,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-05-11,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-05-12,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-05-15,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-05-16,7.30,0.00 (0.00 %),0,7.3,7.30,7.30
2017-05-17,7.30,0.00 (0.00 %),0,7.30,7.30,7.30
2017-05-18,6.50,0.00 (0.00 %),0,6.5,6.50,6.50
2017-05-19,6.50,0.00 (0.00 %),0,6.50,6.50,6.50
2017-05-22,6.50,0.00 (0.00 %),0,6.5,6.50,6.50
2017-05-23,6.50,0.00 (0.00 %),0,6.50,6.50,6.50
2017-05-24,6.50,0.00 (0.00 %),0,6.5,6.50,6.50
2017-05-25,6.50,0.00 (0.00 %),0,6.50,6.50,6.50
2017-05-26,9.00,2.50 (38.46 %),100,9.0,9.00,9.00
2017-05-29,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-05-30,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-05-31,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-01,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-02,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-05,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-06,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-07,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-08,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-09,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-12,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-13,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-14,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-16,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-19,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-20,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-21,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-22,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-23,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-26,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-27,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-28,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-06-29,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-06-30,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-07-03,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-07-04,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-07-05,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-07-06,9.00,0.00 (0.00 %),0,9.0,9.00,9.00
2017-07-07,9.00,0.00 (0.00 %),0,9.00,9.00,9.00
2017-07-10,10.20,1.20 (13.33 %),200,10.0,10.20,10.00
2017-07-11,11.50,1.40 (13.86 %),100,11.50,11.50,11.50
2017-07-12,13.00,1.50 (13.04 %),300,12.0,13.00,12.00
2017-07-13,14.10,1.60 (12.80 %),100,14.10,14.10,14.10
