date,close,change,volume,open,high,low
2017-03-03,16.20,-0.40 (-2.41 %),9300,16.4,16.70,15.60
2017-03-06,16.80,0.60 (3.70 %),4900,16.90,16.90,15.60
2017-03-07,16.20,-0.60 (-3.57 %),16702,16.2,16.70,15.60
2017-03-08,16.10,-0.10 (-0.62 %),24225,15.60,16.70,15.50
2017-03-09,16.60,0.50 (3.11 %),23000,16.4,17.00,15.50
2017-03-10,18.00,1.40 (8.43 %),39169,16.70,18.20,16.60
2017-03-13,18.60,0.60 (3.33 %),25840,17.5,19.70,17.00
2017-03-14,18.60,0.00 (0.00 %),13375,19.00,19.00,18.50
2017-03-15,18.70,0.10 (0.54 %),13900,18.6,18.70,18.40
2017-03-16,18.70,0.00 (0.00 %),2780,18.90,18.90,18.40
2017-03-17,18.20,-0.50 (-2.67 %),34345,18.4,18.50,17.00
2017-03-20,18.50,0.30 (1.65 %),14560,18.20,19.00,18.20
2017-03-21,18.40,-0.10 (-0.54 %),3710,18.8,18.80,18.00
2017-03-22,18.30,-0.10 (-0.54 %),34048,18.40,18.40,17.10
2017-03-23,17.90,-0.40 (-2.19 %),13752,17.5,18.00,17.10
2017-03-24,18.50,0.60 (3.35 %),12600,17.40,18.50,17.00
2017-03-27,18.00,-0.50 (-2.70 %),2025,17.5,18.00,17.50
2017-03-28,17.50,-0.50 (-2.78 %),6220,17.70,18.00,17.10
2017-03-29,17.10,-0.40 (-2.29 %),9900,17.5,17.50,17.10
2017-03-30,17.00,-0.10 (-0.58 %),7400,17.00,17.10,17.00
2017-03-31,16.50,-0.50 (-2.94 %),2627,16.8,17.00,16.50
2017-04-03,16.80,0.30 (1.82 %),2725,14.90,17.00,14.90
2017-04-04,16.80,0.00 (0.00 %),1920,16.7,16.80,16.70
2017-04-05,16.00,-0.80 (-4.76 %),4000,16.70,16.70,16.00
2017-04-07,16.80,0.80 (5.00 %),3800,15.9,16.90,15.90
2017-04-10,16.80,0.00 (0.00 %),30700,16.60,16.80,16.10
2017-04-11,17.40,0.60 (3.57 %),100,17.4,17.40,17.40
2017-04-12,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-13,17.40,0.00 (0.00 %),0,17.4,17.40,17.40
2017-04-14,17.40,0.00 (0.00 %),0,17.40,17.40,17.40
2017-04-17,17.00,-0.40 (-2.30 %),7450,17.0,17.00,16.10
2017-04-18,16.90,-0.10 (-0.59 %),2006,15.80,16.90,15.80
2017-04-19,16.90,0.00 (0.00 %),3900,16.1,16.90,16.00
2017-04-20,16.90,0.00 (0.00 %),0,16.90,16.90,16.90
2017-04-21,18.00,1.10 (6.51 %),85308,17.1,18.00,17.10
2017-04-24,18.20,0.20 (1.11 %),8300,19.00,19.00,18.00
2017-04-25,17.90,-0.30 (-1.65 %),17100,17.7,18.10,17.50
2017-04-26,18.50,0.60 (3.35 %),71200,17.50,18.50,17.50
2017-04-27,18.70,0.20 (1.08 %),6700,18.6,18.70,18.50
2017-04-28,18.00,-0.70 (-3.74 %),9757,18.10,18.60,18.00
2017-05-03,18.40,0.40 (2.22 %),100,18.4,18.40,18.40
2017-05-04,18.50,0.10 (0.54 %),49300,18.40,18.70,17.20
2017-05-05,18.40,-0.10 (-0.54 %),6700,17.7,18.50,17.20
2017-05-08,18.40,0.00 (0.00 %),0,18.40,18.40,18.40
2017-05-09,17.90,-0.50 (-2.72 %),2500,17.5,17.90,17.00
2017-05-10,17.50,-0.40 (-2.23 %),6945,17.20,17.80,17.00
2017-05-11,17.10,-0.40 (-2.29 %),7950,17.6,17.60,17.10
2017-05-12,17.40,0.30 (1.75 %),7300,17.10,17.50,17.00
2017-05-15,17.80,0.40 (2.30 %),8810,17.6,17.80,17.40
2017-05-16,17.80,0.00 (0.00 %),4571,17.70,17.90,17.70
2017-05-17,17.70,-0.10 (-0.56 %),6916,17.7,17.80,17.20
2017-05-18,17.50,-0.20 (-1.13 %),14400,17.30,17.70,17.20
2017-05-19,17.70,0.20 (1.14 %),6480,17.5,17.70,17.10
2017-05-22,17.70,0.00 (0.00 %),31085,17.50,17.70,17.00
2017-05-23,17.50,-0.20 (-1.13 %),12362,17.3,17.50,16.10
2017-05-24,17.40,-0.10 (-0.57 %),4228,16.70,17.40,16.70
2017-05-25,17.40,0.00 (0.00 %),18400,16.8,17.40,16.40
2017-05-26,16.90,-0.50 (-2.87 %),54500,16.60,17.20,16.00
2017-05-29,16.00,-0.90 (-5.33 %),47672,17.0,17.00,15.80
2017-05-30,17.00,1.00 (6.25 %),15420,16.60,17.00,16.30
