date,close,change,volume,open,high,low
2020-11-17,1.20,0.00 (0.00 %),19200,1.20,1.20,1.20
2020-11-18,1.20,0.00 (0.00 %),42576,1.2,1.30,1.10
2020-11-19,1.30,0.10 (8.33 %),28400,1.30,1.30,1.30
2020-11-24,1.10,-0.10 (-8.33 %),5500,1.2,1.20,1.10
2020-11-25,1.10,-0.10 (-8.33 %),9500,1.20,1.20,1.10
2020-11-26,1.20,0.00 (0.00 %),7836,1.2,1.20,1.10
2020-11-27,1.20,0.00 (0.00 %),17100,1.20,1.20,1.10
2020-11-30,1.20,0.00 (0.00 %),4420,1.2,1.20,1.10
2020-12-01,1.20,0.00 (0.00 %),21000,1.20,1.20,1.20
2020-12-02,1.20,0.00 (0.00 %),3500,1.2,1.20,1.20
2020-12-03,1.10,-0.10 (-8.33 %),22800,1.30,1.30,1.10
2020-12-04,1.20,0.10 (9.09 %),18200,1.2,1.20,1.20
2020-12-07,1.20,0.00 (0.00 %),55600,1.20,1.30,1.10
2020-12-08,1.20,-0.10 (-7.69 %),2933,1.3,1.30,1.20
2020-12-09,1.30,0.00 (0.00 %),2135,1.20,1.30,1.20
2020-12-10,1.30,0.00 (0.00 %),5100,1.2,1.30,1.20
2020-12-11,1.30,0.00 (0.00 %),300,1.20,1.30,1.20
2020-12-14,1.20,0.00 (0.00 %),1200,1.3,1.30,1.20
2020-12-15,1.30,0.00 (0.00 %),20350,1.30,1.30,1.30
2020-12-17,1.40,0.10 (7.69 %),26500,1.4,1.40,1.40
2020-12-18,1.60,0.20 (14.29 %),294010,1.40,1.60,1.40
2020-12-21,1.70,0.20 (13.33 %),61400,1.6,1.70,1.60
2020-12-22,1.90,0.20 (11.76 %),77950,1.80,1.90,1.80
2020-12-23,1.90,0.00 (0.00 %),340756,2.1,2.10,1.70
2020-12-24,1.90,0.00 (0.00 %),56023,1.90,1.90,1.70
2020-12-25,1.80,0.10 (5.88 %),6240,1.8,1.80,1.70
2020-12-28,1.60,-0.20 (-11.11 %),87810,1.80,1.80,1.60
2020-12-29,1.60,0.00 (0.00 %),18456,1.6,1.70,1.60
2020-12-31,1.60,-0.10 (-5.88 %),7785,1.60,1.70,1.60
2021-01-04,1.80,0.20 (12.50 %),90900,1.7,1.80,1.70
2021-01-05,2.00,0.20 (11.11 %),259500,1.80,2.00,1.60
2021-01-06,2.10,0.20 (10.53 %),23100,2.1,2.10,2.10
2021-01-07,2.40,0.30 (14.29 %),79800,2.40,2.40,2.30
2021-01-08,2.30,-0.10 (-4.17 %),265320,2.4,2.70,2.10
2021-01-11,2.40,0.00 (0.00 %),44300,2.30,2.40,2.20
2021-01-12,2.60,0.30 (13.04 %),172602,2.4,2.60,2.40
2021-01-13,2.60,0.00 (0.00 %),91100,2.70,2.80,2.50
2021-01-14,2.50,-0.10 (-3.85 %),26900,2.5,2.50,2.40
2021-01-15,2.40,-0.10 (-4.00 %),79000,2.50,2.50,2.30
2021-01-18,2.70,0.30 (12.50 %),165922,2.4,2.70,2.40
2021-01-19,2.60,0.00 (0.00 %),112400,2.80,2.90,2.30
2021-01-20,2.40,-0.10 (-4.00 %),39800,2.2,2.50,2.20
2021-01-21,2.40,0.00 (0.00 %),95801,2.50,2.50,2.30
2021-01-22,2.30,-0.10 (-4.17 %),129200,2.4,2.40,2.20
2021-01-25,2.30,0.00 (0.00 %),50400,2.30,2.40,2.10
2021-01-26,2.20,-0.10 (-4.35 %),80400,2.4,2.40,2.10
2021-01-27,1.80,-0.30 (-14.29 %),100340,2.00,2.00,1.80
2021-01-28,1.70,-0.10 (-5.56 %),46100,1.7,1.70,1.60
2021-01-29,1.80,0.20 (12.50 %),40600,1.60,1.80,1.50
2021-02-01,1.80,0.10 (5.88 %),11700,1.8,1.80,1.70
2021-02-02,1.80,0.10 (5.88 %),1300,1.70,1.80,1.70
2021-02-03,1.90,0.10 (5.56 %),41320,1.9,1.90,1.80
2021-02-04,1.80,-0.10 (-5.26 %),4300,1.90,2.00,1.80
2021-02-05,1.80,-0.10 (-5.26 %),45400,1.9,1.90,1.70
2021-02-09,1.70,0.00 (0.00 %),5800,1.70,1.80,1.70
2021-02-17,1.90,0.20 (11.76 %),33100,1.6,1.90,1.60
2021-02-18,1.90,0.10 (5.56 %),81840,1.80,1.90,1.70
2021-02-19,1.80,0.10 (5.88 %),11200,1.7,1.90,1.70
2021-02-22,1.80,0.00 (0.00 %),44230,1.80,1.80,1.70
2021-02-23,1.70,-0.10 (-5.56 %),33800,1.8,1.80,1.60
2021-02-24,1.70,0.00 (0.00 %),26302,1.70,1.90,1.70
2021-02-25,1.80,0.10 (5.88 %),19300,1.7,1.80,1.70
2021-02-26,1.80,0.10 (5.88 %),38500,1.80,1.80,1.70
2021-03-01,2.00,0.20 (11.11 %),122068,1.8,2.00,1.80
2021-03-02,2.20,0.20 (10.00 %),111000,2.30,2.30,2.10
