date,close,change,volume,open,high,low
2017-03-03,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-06,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-07,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-08,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-09,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-10,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-13,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-14,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-15,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-16,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-17,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-20,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-21,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-22,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-23,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-24,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-27,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-28,5.50,0.00 (0.00 %),0,5.50,5.50,5.50
2017-03-29,5.50,0.00 (0.00 %),0,5.5,5.50,5.50
2017-03-30,5.00,-0.50 (-9.09 %),18100,5.50,6.00,5.00
2017-03-31,4.50,-0.50 (-10.00 %),100,4.5,4.50,4.50
2017-04-03,4.90,0.40 (8.89 %),5000,4.90,4.90,4.90
2017-04-04,4.50,-0.40 (-8.16 %),100,4.5,4.50,4.50
2017-04-05,4.10,-0.40 (-8.89 %),6200,4.10,4.70,4.10
2017-04-07,4.10,0.00 (0.00 %),0,4.1,4.10,4.10
2017-04-10,3.80,-0.30 (-7.32 %),200,3.80,3.80,3.80
2017-04-11,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-04-12,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-04-13,3.80,0.00 (0.00 %),200,3.5,3.80,3.50
2017-04-14,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-04-17,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-04-18,3.80,0.00 (0.00 %),500,4.00,4.00,3.50
2017-04-19,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-04-20,3.80,0.00 (0.00 %),100,3.80,3.80,3.80
2017-04-21,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-04-24,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-04-25,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-04-26,3.80,0.00 (0.00 %),100,3.80,3.80,3.80
2017-04-27,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-04-28,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-05-03,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-05-04,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-05-05,3.80,0.00 (0.00 %),200,3.5,3.80,3.50
2017-05-08,4.10,0.30 (7.89 %),600,3.50,4.10,3.50
2017-05-09,4.10,0.00 (0.00 %),0,4.1,4.10,4.10
2017-05-10,4.10,0.00 (0.00 %),0,4.10,4.10,4.10
2017-05-11,4.10,0.00 (0.00 %),0,4.1,4.10,4.10
2017-05-12,3.70,-0.40 (-9.76 %),100,3.70,3.70,3.70
2017-05-15,3.40,-0.30 (-8.11 %),100,3.4,3.40,3.40
2017-05-16,3.10,-0.30 (-8.82 %),5400,3.70,3.70,3.10
2017-05-17,3.40,0.30 (9.68 %),100,3.4,3.40,3.40
2017-05-18,3.70,0.30 (8.82 %),100,3.70,3.70,3.70
2017-05-19,3.70,0.00 (0.00 %),0,3.7,3.70,3.70
2017-05-22,3.70,0.00 (0.00 %),0,3.70,3.70,3.70
2017-05-23,3.80,0.10 (2.70 %),700,3.8,3.80,3.40
2017-05-24,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-05-25,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-05-26,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-05-29,3.80,0.00 (0.00 %),0,3.8,3.80,3.80
2017-05-30,3.80,0.00 (0.00 %),0,3.80,3.80,3.80
2017-05-31,4.00,0.20 (5.26 %),200,3.5,4.00,3.50
2017-06-01,4.00,0.00 (0.00 %),0,4.00,4.00,4.00
2017-06-02,4.00,0.00 (0.00 %),0,4.0,4.00,4.00
2017-06-05,4.00,0.00 (0.00 %),0,4.00,4.00,4.00
2017-06-06,4.00,0.00 (0.00 %),0,4.0,4.00,4.00
2017-06-07,4.00,0.00 (0.00 %),0,4.00,4.00,4.00
2017-06-08,4.00,0.00 (0.00 %),0,4.0,4.00,4.00
2017-06-09,4.00,0.00 (0.00 %),0,4.00,4.00,4.00
2017-06-12,4.00,0.00 (0.00 %),0,4.0,4.00,4.00
2017-06-13,4.00,0.00 (0.00 %),0,4.00,4.00,4.00
2017-06-14,4.00,0.00 (0.00 %),0,4.0,4.00,4.00
2017-06-15,4.00,0.00 (0.00 %),0,4.00,4.00,4.00
2017-06-16,4.40,0.40 (10.00 %),200,4.4,4.40,4.40
2017-06-19,4.40,0.00 (0.00 %),0,4.40,4.40,4.40
2017-06-20,4.40,0.00 (0.00 %),0,4.4,4.40,4.40
2017-06-21,4.40,0.00 (0.00 %),0,4.40,4.40,4.40
2017-06-22,4.80,0.40 (9.09 %),1000,4.8,4.80,4.80
2017-06-23,4.80,0.00 (0.00 %),0,4.80,4.80,4.80
2017-06-26,4.80,0.00 (0.00 %),0,4.8,4.80,4.80
2017-06-27,4.80,0.00 (0.00 %),0,4.80,4.80,4.80
2017-06-28,4.80,0.00 (0.00 %),0,4.8,4.80,4.80
2017-06-29,4.80,0.00 (0.00 %),0,4.80,4.80,4.80
2017-06-30,4.80,0.00 (0.00 %),0,4.8,4.80,4.80
2017-07-03,4.80,0.00 (0.00 %),0,4.80,4.80,4.80
2017-07-04,5.20,0.40 (8.33 %),600,5.2,5.20,5.20
2017-07-05,5.20,0.00 (0.00 %),0,5.20,5.20,5.20
2017-07-06,5.20,0.00 (0.00 %),0,5.2,5.20,5.20
2017-07-07,5.20,0.00 (0.00 %),0,5.20,5.20,5.20
2017-07-10,5.20,0.00 (0.00 %),0,5.2,5.20,5.20
2017-07-11,5.20,0.00 (0.00 %),0,5.20,5.20,5.20
2017-07-12,5.20,0.00 (0.00 %),0,5.2,5.20,5.20
2017-07-13,5.20,0.00 (0.00 %),0,5.20,5.20,5.20
