Stock,Gap,B,S
TCB,229,688,459
VJC,226,268,42
ACB,199,687,488
NVL,166,308,142
BSR,134,184,50
SSI,100,417,317
VRE,100,270,170
APH,93,148,55
VIX,89,177,88
PDR,87,221,134
BID,86,213,127
VCB,79,138,59
KDC,68,86,18
HDB,67,177,110
NVB,61,94,33
VNM,59,235,176
FPT,59,226,167
CTD,59,158,99
VHM,49,209,160
GTN,46,192,146
VIC,42,120,78
TPB,40,116,76
POW,38,261,223
TCM,38,53,15
HSG,36,307,271
IDI,35,65,30
NHH,33,33,0
AAA,29,78,49
PVT,28,110,82
SHS,28,106,78
PLX,27,118,91
VHC,26,98,72
BMI,25,38,13
OIL,23,46,23
KSB,21,67,46
ACV,21,53,32
MSN,20,78,58
DRC,19,64,45
CEO,19,46,27
ASM,18,82,64
CRE,18,65,47
VCS,18,38,20
ART,17,22,5
SHB,16,108,92
BWE,16,41,25
BMP,16,35,19
HQC,16,24,8
HPX,15,16,1
DBC,13,53,40
QNS,13,19,6
PVD,11,134,123
GAS,11,118,107
D2D,11,28,17
PLP,11,17,6
HUT,10,35,25
DLG,10,19,9
VPI,10,15,5
HDG,9,73,64
DPG,9,30,21
BVS,9,23,14
LHG,9,14,5
PPC,9,12,3
GKM,9,9,0
FTS,8,17,9
CTS,8,15,7
GVR,7,146,139
TV2,7,15,8
DVN,7,9,2
ANV,6,16,10
NT2,6,14,8
SHI,6,7,1
PSH,6,6,0
TAR,5,39,34
HAI,5,7,2
HII,5,5,0
TNG,4,56,52
GIL,4,30,26
ILB,4,7,3
MSH,4,6,2
SBS,4,6,2
BIC,4,5,1
DTD,4,4,0
IBC,4,4,0
SJD,4,4,0
SZL,4,4,0
REE,3,21,18
IMP,3,7,4
PVP,3,6,3
NHA,3,4,1
PAC,3,4,1
CRC,3,3,0
PHC,3,3,0
SGP,3,3,0
SMC,3,3,0
KDH,2,51,49
VOC,2,9,7
EIB,2,6,4
NCT,2,5,3
VOS,2,4,2
AMD,2,4,2
KLB,2,3,1
SLS,2,3,1
PGN,2,2,0
VNG,2,2,0
L14,2,2,0
HAP,2,2,0
DCM,1,26,25
TTF,1,19,18
MPC,1,9,8
AAS,1,8,7
MSR,1,8,7
PC1,1,6,5
VPG,1,4,3
DRH,1,4,3
PVC,1,3,2
HHS,1,3,2
EVF,1,3,2
OGC,1,3,2
BCG,1,3,2
APG,1,3,2
VIP,1,2,1
VLC,1,2,1
NAF,1,2,1
FOX,1,1,0
SBV,1,1,0
SBA,1,1,0
TTN,1,1,0
ELC,1,1,0
SD6,1,1,0
FIR,1,1,0
MLS,1,1,0
CHP,1,1,0
APC,1,1,0
CIA,1,1,0
STB,0,308,308
PAN,0,28,28
CKG,0,17,17
HVN,0,16,16
TIG,0,13,13
VC3,0,4,4
ADG,0,4,4
JVC,0,2,2
DMC,0,2,2
TCW,0,2,2
SJS,0,2,2
DBD,0,2,2
TLH,0,1,1
VCP,0,1,1
ROS,0,1,1
EVE,0,1,1
CNG,0,1,1
TAC,0,1,1
TLD,0,1,1
VGS,0,1,1
SMB,0,1,1
QBS,0,0,0
KHP,0,0,0
PFL,0,0,0
NNC,0,0,0
BMC,0,0,0
ASG,0,0,0
STH,0,0,0
DCL,0,0,0
TDC,0,0,0
VSH,0,0,0
NBB,0,0,0
MHC,0,0,0
VIG,0,0,0
HCD,0,0,0
SAM,0,0,0
TDG,0,0,0
DTA,0,0,0
DNM,0,0,0
BTD,0,0,0
VHE,0,0,0
MPT,0,0,0
TXM,0,0,0
HSL,0,0,0
TBC,0,0,0
BII,0,0,0
LGL,0,0,0
SDD,0,0,0
TTZ,0,0,0
TNT,0,0,0
PVV,0,0,0
CLG,0,0,0
SKH,0,0,0
HID,0,0,0
TTH,0,0,0
SDT,0,0,0
CCL,0,0,0
CMG,0,0,0
DHM,0,0,0
TN1,0,0,0
SHA,0,0,0
VNE,0,0,0
ABI,0,0,0
CTF,0,0,0
CMS,0,0,0
GAB,0,0,0
SFI,0,0,0
TCT,0,0,0
DS3,0,0,0
CTP,0,0,0
HDA,0,0,0
ACL,0,0,0
SPI,0,0,0
TNI,0,0,0
C47,0,0,0
TVN,0,0,0
TYA,0,0,0
SD9,0,0,0
DHA,0,0,0
PXT,0,0,0
SRC,0,0,0
ABC,0,0,0
DDG,0,0,0
PVL,0,0,0
C69,0,0,0
TTB,0,0,0
ITD,0,0,0
LSS,0,0,0
YEG,0,0,0
POM,0,0,0
KMR,0,0,0
DVP,0,0,0
S99,0,0,0
FTM,0,0,0
BOT,0,0,0
PSD,0,0,0
LAS,0,0,0
GDT,0,0,0
TGG,0,0,0
HVH,0,0,0
SAV,0,0,0
ADS,0,0,0
VPH,0,0,0
HAD,0,0,0
AGM,0,0,0
VRC,0,0,0
HT1,-1,9,10
NDN,-1,7,8
BSI,-1,6,7
TIP,-1,4,5
FMC,-1,4,5
AFX,-1,4,5
EVG,-1,2,3
IDJ,-1,2,3
AST,-1,1,2
SEA,-1,1,2
HHP,-1,1,2
DQC,-1,1,2
VRG,-1,1,2
IDV,-1,0,1
QCG,-1,0,1
KSH,-1,0,1
BCM,-1,0,1
THG,-1,0,1
SWC,-1,0,1
SSN,-1,0,1
TVS,-1,0,1
ACM,-1,0,1
NSC,-1,0,1
SJF,-1,0,1
DHT,-1,0,1
DPR,-1,0,1
SFG,-1,0,1
PVI,-1,0,1
DSN,-1,0,1
ITQ,-1,0,1
SGR,-1,0,1
NRC,-1,0,1
ORS,-1,0,1
DAH,-1,0,1
MFS,-1,0,1
TDN,-1,0,1
LTG,-2,33,35
LDG,-2,24,26
LIG,-2,5,7
MBG,-2,4,6
STK,-2,1,3
ASP,-2,1,3
VCR,-2,1,3
LIX,-2,1,3
HAR,-2,1,3
DAG,-2,0,2
VNA,-2,0,2
DST,-2,0,2
SD5,-2,0,2
KOS,-2,0,2
VTR,-2,0,2
ABS,-2,0,2
PXS,-2,0,2
SKG,-2,0,2
CSM,-2,0,2
BAX,-2,0,2
QTP,-2,0,2
PGS,-2,0,2
VPB,-3,163,166
MBS,-3,5,8
DXP,-3,3,6
AAV,-3,3,6
VGT,-3,2,5
VGC,-3,2,5
PWA,-3,1,4
CVN,-3,1,4
BFC,-3,1,4
TDT,-3,0,3
TNA,-3,0,3
MML,-3,0,3
VNP,-3,0,3
VTD,-3,0,3
SNZ,-3,0,3
MST,-3,0,3
PVS,-4,90,94
AGG,-4,77,81
PNJ,-4,50,54
SIP,-4,44,48
SZC,-4,18,22
SCR,-4,17,21
C4G,-4,13,17
G36,-4,12,16
PLC,-4,11,15
CTI,-4,7,11
CSV,-4,4,8
BCC,-4,2,6
HND,-4,0,4
HTN,-4,0,4
TVB,-4,0,4
DGC,-5,30,35
VGI,-5,25,30
DHC,-5,17,22
FCN,-5,7,12
KDF,-5,7,12
CMX,-5,4,9
HAX,-5,1,6
CVT,-5,1,6
KLF,-5,1,6
TCL,-5,0,5
BVH,-6,92,98
TSC,-6,4,10
CTG,-7,324,331
HLD,-7,5,12
SCS,-7,0,7
C32,-7,0,7
VTP,-8,8,16
PXL,-8,3,11
SRA,-8,2,10
VSC,-8,2,10
